사용승인일자,화재조기진압용스프링클러보유여부,건물일련번호,스프링클러가용여부,기본주소,시도명,시군구명,법정동명,스프링클러보유여부,화재조기진압용스프링클러가용여부,간이스프링클러보유여부,대상물명,간이스프링클러가용여부,X좌표,Y좌표
19961018.0,N,11000000088772,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,호텔 라붐(구.HOTEL YOU),N,198924.0,452252.01
19961219.0,N,11000000089218,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,G-House 신촌01(구.한림아카데미텔),N,194443.93,450233.27
19970814.0,N,11000000089279,Y,서울특별시 송파구 방이동,서울특별시,송파구,방이동,Y,N,N,동그라미호텔 (주)마그넷 앤 컴퍼니,N,210886.78,445428.16
19970819.0,N,11000000091271,Y,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,Y,N,N,씨에프호텔,N,202854.29,443685.08
19980101.0,N,11000000092833,N,서울특별시 종로구 숭인동,서울특별시,종로구,숭인동,N,N,N,신흥여관(팬더호스텔),N,201661.62,452470.77
19980101.0,N,11000000092861,N,서울특별시 종로구 창신동,서울특별시,종로구,창신동,N,N,N,한양여관,N,201063.62,452547.98
19980101.0,N,11000000093117,N,서울특별시 중구 광희동1가,서울특별시,중구,광희동1가,N,N,N,광희동1가 111-2건물,N,200500.4,451437.98
19980101.0,N,11000000093145,N,서울특별시 중구 을지로7가,서울특별시,중구,을지로7가,N,N,N,퇴계로63길 22 건물,N,200791.2,451540.77
19980511.0,N,11000000093734,Y,서울특별시 종로구 명륜4가,서울특별시,종로구,명륜4가,Y,N,N,서울씨티빌딩,N,199936.82,453325.6
19980729.0,N,11000000094483,Y,서울특별시 중구 을지로6가,서울특별시,중구,을지로6가,Y,N,N,동대문밀리오레,N,200516.4,451720.78
19981114.0,N,11000000095296,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,딜라이트관광호텔,N,210886.78,445428.16
19990105.0,N,11000000095630,N,서울특별시 중구 명동1가,서울특별시,중구,명동1가,Y,N,N,명동포커스,N,198573.18,451334.01
19990527.0,N,11000000096003,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,더스퀘어 호스텔(구.(연기)호텔그림),N,198924.0,452252.01
19990414.0,N,11000000096029,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,에스호텔(구.갤러리모텔),N,194443.93,450233.27
19990727.0,N,11000000096683,N,서울특별시 중구 을지로3가,서울특별시,중구,을지로3가,Y,N,N,일주빌딩(스타즈 을지로 호텔),N,199285.19,451574.8
19990901.0,N,11000000096909,N,서울특별시 중구 신당동,서울특별시,중구,신당동,N,N,N,J모텔(신당동),N,201206.4,451081.96
19991231.0,N,11000000097187,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,예스모텔,N,202854.29,443685.08
19991103.0,N,11000000097507,Y,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,Y,N,N,웨스틴서울파르나스,N,205485.15,445790.25
19991108.0,N,11000000097542,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,넘버25,N,210886.78,445428.16
19991108.0,N,11000000097545,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,셀레네 호텔,N,210886.78,445428.16
20000401.0,N,11000000099001,N,서울특별시 중구 필동1가,서울특별시,중구,필동1가,N,N,N,서울특별시 중구 필동1가 46-3,N,199263.58,450977.59
20000414.0,N,11000000099034,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,Y,하프레스트호스텔 인사(구. 마이홈리빙텔건물),Y,198924.0,452252.01
20000529.0,N,11000000099281,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,N,N,N,이루안빌딩,N,207735.56,445529.41
20000530.0,N,11000000099289,Y,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,Y,N,N,밀리오레 명동점,N,198354.37,451017.61
20000612.0,N,11000000099324,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,스카이모텔(건물미사용 자체점검 연기),N,194443.93,450233.27
20000704.0,N,11000000099550,N,서울특별시 송파구 잠실동,서울특별시,송파구,잠실동,N,N,N,로즈마리,N,207735.56,445529.41
20000802.0,N,11000000099674,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,호텔노바(구.아비숑모텔),N,198924.0,452252.01
20050909.0,N,11000000099686,Y,서울특별시 서초구 반포동,서울특별시,서초구,반포동,Y,N,N,JW메리어트호텔서울,N,201111.49,444769.91
20001021.0,N,11000000100313,N,서울특별시 서초구 서초동,서울특별시,서초구,서초동,N,N,N,JS호텔,N,201657.87,443098.69
20001113.0,N,11000000100502,N,서울특별시 송파구 방이동,서울특별시,송파구,방이동,N,N,N,라움호텔(구.HOTEL 2.4),N,210886.78,445428.16
20001201.0,N,11000000101003,N,서울특별시 중구 남대문로5가,서울특별시,중구,남대문로5가,N,N,N,남대문로5가 615건물,N,197659.16,450589.62
19640716.0,N,11000000101134,N,서울특별시 중구 회현동1가,서울특별시,중구,회현동1가,N,N,N,서울시티호텔,N,198269.56,450368.81
20001201.0,N,11000000101142,N,서울특별시 중구 남대문로5가,서울특별시,중구,남대문로5가,N,N,N,남대문로5가 149 건물,N,197659.16,450589.62
20001215.0,N,11000000101672,N,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,N,N,N,위드호텔(구.힐튼모텔/명보모텔),N,194443.93,450233.27
20001228.0,N,11000000101760,N,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동,N,N,N,호텔월하여관(구.울타리호스텔),N,199154.42,453338.02
20001229.0,N,11000000101807,N,서울특별시 종로구 연지동,서울특별시,종로구,연지동,N,N,N,아미가,N,199942.01,452384.0
20010110.0,N,11000000101828,N,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,N,N,N,호텔벤,N,202854.29,443685.08
19690203.0,N,11000000102019,N,서울특별시 종로구 숭인동,서울특별시,종로구,숭인동,N,N,N,그린파크모텔,N,201661.62,452470.77
