"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3010000","CDFI2260032012000002","2012-11-30","","01","영업/정상","13","영업중","","","","","757-2263","","100-801","서울특별시 중구 남대문로5가 84-16","서울특별시 중구 퇴계로 19 (남대문로5가)","04527","호텔마누","2025-07-07 11:13:14","U","2025-07-09 02:40:00.0","","197711.630119852","450541.171402454","관광숙박업","","","10","","","3성","","10","3","80","4321","HOTEL MANU","Tourist Hotel","0","0","","0","0","","0","4320.93","","0","","","","","","","100000000","","","","4321","관광호텔업"
"3010000","CDFI2260032012000003","2012-12-06","","01","영업/정상","13","영업중","","","","","750-0999","","100-861","서울특별시 중구 충무로2가 63-2","서울특별시 중구 명동10길 51 (충무로2가)","04537","나인트리 바이 파르나스 서울 명동Ⅰ","2024-09-27 19:07:25","U","2024-09-29 02:40:00.0","","198695.658587016","451034.509517585","관광숙박업","","","0","","","3성","","0","0","144","0","NINE TREE BY PARNAS SEOUL MYEONGDONG 1","Tourist Hotel","0","0","","0","0","","0","6814","","0","","","","","","","98500002000","","","","6814","관광호텔업"
"3010000","CDFI2260032013000001","2013-02-19","","01","영업/정상","13","영업중","","","","","777-7905","","100-861","서울특별시 중구 충무로2가 62-2","서울특별시 중구 명동8가길 38 (충무로2가)","04537","더 그랜드호텔 명동","2025-09-12 14:13:46","U","2025-09-14 02:40:00.0","","198797.29864019","451041.893325607","관광숙박업","","중심상업지역","0","","","3성","호텔","7","2","50","0","","","0","0","","0","0","","0","2215","","0","","","","","","","100000000","","","","2215","관광호텔업"
"3010000","CDFI2260032013000002","2013-06-10","","01","영업/정상","13","영업중","","","","","2098-0530","","100-094","서울특별시 중구 남대문로4가 17-7","서울특별시 중구 세종대로 58 (남대문로4가)","04526","프레이저플레이스남대문","2025-08-18 10:43:00","U","2025-08-20 02:40:00.0","","197847.754499522","451011.231861517","관광숙박업","","","0","","","4성","","3","16","252","0","","","0","0","","0","0","","0","17556","","0","","","","","","","0","","","","17556","관광호텔업"
"3010000","CDFI2260032013000003","2013-06-10","","01","영업/정상","13","영업중","","","","","6362-6000","","100-080","서울특별시 중구 북창동 17-1","서울특별시 중구 세종대로16길 22 (북창동)","04526","클라벤 호텔 명동 시티홀","2025-12-24 14:44:19","U","2025-12-26 02:40:00.0","","197996.303190059","451214.940443595","관광숙박업","","","14","","","3성","","11","3","129","0","Klaven Hotel Myeongdong City Hall","TOURIST HOTEL","0","0","","0","0","","0","5758.45","","0","","","","","","","0","","","","5758","관광호텔업"
"3010000","CDFI2260032013000004","2013-06-17","","03","폐업","03","폐업","2014-09-12","","","","2139-1000","","100-080","서울특별시 중구 북창동 93-37번지","서울특별시 중구 남대문로5길 21 (북창동)","100-080","신신호텔1","2014-09-12 13:25:58","I","2018-08-31 23:59:59.0","","198067.276635677","451115.055200121","관광숙박업","","","0","","","","","11","2","0","0","","","0","0","","0","0","","0","1233.29","","0","","","","","","","110000000","","","","1233",""
"3010000","CDFI2260032013000005","2013-06-17","","01","영업/정상","13","영업중","","","","","1877-2538","","100-080","서울특별시 중구 북창동 93-43 외2","서울특별시 중구 남대문로5길 17-5 (북창동)","04526","서울호텔신신","2025-07-07 10:45:17","U","2025-07-09 02:40:00.0","","198047.674063427","451117.674050616","관광숙박업","","일반상업지역","0","","","2성(기간경과)  등급미신청","호텔","7","3","75","3021","Seoul hotel shin shin","Tourist Hotel","0","0","","0","0","","0","3020.92","","0","","","","","","","110000000","","","","3021","관광호텔업"
"3010000","CDFI2260032013000006","2013-10-08","","01","영업/정상","13","영업중","","","","","2285-0540","","100-391","서울특별시 중구 장충동1가 31-7","서울특별시 중구 장충단로 198 (장충동1가)","04614","써미트호텔","2025-07-07 10:50:29","U","2025-07-09 02:40:00.0","","200538.850127418","451107.614340285","관광숙박업","","","0","","","3성","","9","3","190","0","Summit Hotel","Tourist Hotel","0","0","","0","0","","0","9026.49","","0","","","","","","","0","","","","9026","관광호텔업"
"3010000","CDFI2260032013000007","2013-10-16","","03","폐업","03","폐업","2022-05-02","","","","2098-2050","","100-013","서울특별시 중구 충무로3가 43","서울특별시 중구 충무로 15 (충무로3가)","04554","티마크호텔명동","2022-06-15 10:31:06","U","2022-06-17 02:40:00.0","","199273.815368546","451144.90452668","관광숙박업","","","0","","","3성","","13","4","288","0","Tmark Hotel Myeongdong","Tourist Hotel","0","0","","0","0","","0","14965.47","","0","","","","","","","8499999700","","","","14965","관광호텔업"
"3010000","CDFI2260032014000001","2014-06-20","","03","폐업","03","폐업","2021-12-31","","","","2176-3659","","100-197","서울특별시 중구 을지로7가 58-1","서울특별시 중구 을지로 280-2 (을지로7가)","04565","24게스트하우스동대문","2022-06-15 10:39:35","U","2022-06-17 02:40:00.0","","200730.296204033","451454.338715818","관광숙박업","","일반상업지역","6","학교정화(상대)","","","호텔","6","0","26","0","24Guesthouse Dongdaemoon","Tourist Hotel","0","0","","0","0","","0","605.09","","0","","","","","","","530000000","","","","605","호스텔업"
