"X 좌표","Y 좌표","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명 / 대지위치","연면적 / 대지면적","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","사용승인일 / 허가일","승용승강기수","비상용승강기수","내진설계적용여부"
"199602.998335774","448000.622353627","서울특별시 용산구 이태원동 126-7번지","11170","13000","0","0126","0007","누베르 서울호텔","10041100196837","서울특별시 용산구 우사단로14길 11 (이태원동) / 서울특별시 용산구 이태원동 126-7번지","2796.53 / 536.7","312.64","21","철근콘크리트구조","15000","숙박시설(관광호텔) 및 제2종근린생활시설","7","2","20130801 / 20120208","1","0","1"
"196410.233494294","446549.862090232","서울특별시 용산구 이촌동 376번지","11170","12900","0","0376","0000","스카이 스위트","10041100186202","서울특별시 용산구 양녕로 495 (이촌동) / 서울특별시 용산구 이촌동 376번지","178.07 / 20223.5","192.52","21","철근콘크리트조","15000","숙박시설(호스텔)","3","0","20090918 / 20080813","1","0","1"
"199369.871968405","447943.699776291","서울특별시 용산구 이태원동 130-9번지","11170","13000","0","0130","0009","호스텔 펠라즈(Hostel Fellaz)","100418543","서울특별시 용산구 이태원로26길 17-1 (이태원동) / 서울특별시 용산구 이태원동 130-9번지","282.47 / 145.2","84.6","21","철근콘크리트조","15000","관광숙박시설(호스텔)","3","1","19960628 / 19960413","0","0","0"
"199157.2217515","447963.871890394","서울특별시 용산구 이태원동 64-24번지","11170","13000","0","0064","0024","와이낫슬립(Why Not Sleep)","10041100191174","서울특별시 용산구 보광로59길 50 (이태원동) / 서울특별시 용산구 이태원동 64-24번지","76.92 / 85","41.07","11","연와조","03000","제1,2종근린생활시설","2","1","19710430","0","0","0"
"199223.815483747","447968.035884444","서울특별시 용산구 이태원동 66-2번지","11170","13000","0","0066","0002","스테이 파키라(Stay Pachira)","10041100189932","서울특별시 용산구 보광로59길 36 (이태원동) / 서울특별시 용산구 이태원동 66-2번지","461.78 / 127","74.56","21","철근콘크리트구조","04000","제2종근린생활시설","6","1","20110118 / 20091030","1","0","1"
"197047.024933919","450244.123927585","서울특별시 용산구 서계동 223-56번지","11170","10800","0","0223","0056","mingle stay","1004126690","서울특별시 용산구 만리재로 190-1 (서계동) / 서울특별시 용산구 서계동 223-56번지","696.88 / 197","147.11","21","철근콘크리트조","15000","숙박시설(호스텔)","4","1","19821221","0","0","1"
"196954.142298721","450212.036562714","서울특별시 용산구 서계동 232-34번지","11170","10800","0","0232","0034","스테이터울","1004116566","서울특별시 용산구 만리재로 180-1 (서계동) / 서울특별시 용산구 서계동 232-34번지","282.32 / 0","65.55","21","철근콘크리트, 세멘벽돌조","03000","근린생활시설","4","1","19831030","0","0","0"
"196534.223417583","448204.320736355","서울특별시 용산구 원효로2가 83-11번지","11170","11300","0","0083","0011","크래쉬인 용산","100413526","서울특별시 용산구 새창로 131-1 (원효로2가) / 서울특별시 용산구 원효로2가 83-11번지","351.41 / 0","203.97","51","세멘벽돌조, 목조(1층90.35), 철근콘크리트조(주1,2층79.34)","01000","주택, 영업(주1)","2","0","19580928","0","0","0"
"199695.043593433","447710.883545875","서울특별시 용산구 보광동 265-777번지","11170","13600","0","0265","0777","보광여관","1004116793","서울특별시 용산구 우사단로4길 11 (보광동) / 서울특별시 용산구 보광동 265-777번지","242.87 / 0","83.04","11","연와조","01000","주택, 여관","3","1","19690803","0","0","0"
"197307.437141875","449642.8442829","서울특별시 용산구 청파동1가 154-7번지","11170","10900","0","0154","0007","경향","1004111715","서울특별시 용산구 청파로 330-8 (청파동1가) / 서울특별시 용산구 청파동1가 154-7번지","185.23 / 0","71.41","21","철근콘크리트조","07000","영업","3","0","19661001","0","0","0"
"197580.460720773","449083.378394248","서울특별시 용산구 남영동 37-1번지","11170","10500","0","0037","0001","부킹용산닷컴1(Booking Yongsan.com1)","1004122137","서울특별시 용산구 한강대로84길 11-10 (남영동) / 서울특별시 용산구 남영동 37-1번지","47.74 / 0","47.74","51","목조","04000","제2종근린생활시설","1","0","19611006","0","0","0"
"197689.543121836","450083.417746402","서울특별시 용산구 동자동 9-6번지","11170","10700","0","0009","0006","미경여인숙","100418476","서울특별시 용산구 후암로57길 9-14 (동자동) / 서울특별시 용산구 동자동 9-6번지","101.48 / 0","0","11","세멘벽돌조","01000","주택","2","0","19611105","0","0","0"
"197751.894585138","450103.463608689","서울특별시 용산구 동자동 5-3번지","11170","10700","0","0005","0003","나나장","1004125387","서울특별시 용산구 후암로 91-3 (동자동) / 서울특별시 용산구 동자동 5-3번지","230.09 / 0","102.65","11","연와조,세멘벽돌조","03000","영업","3","0","19650420","0","0","0"
"197735.201070937","450111.10701573","서울특별시 용산구 동자동 11-26번지","11170","10700","0","0011","0026","덕성","1004111047","서울특별시 용산구 후암로 91-4 (동자동) / 서울특별시 용산구 동자동 11-26번지","95.64 / 0","44.4","11","세멘연와조","04000","근린생활시설","2","1","19591225","0","0","0"
"197574.398464527","449095.666301537","서울특별시 용산구 남영동 38번지","11170","10500","0","0038","0000","로망스모텔","100415203","서울특별시 용산구 한강대로84길 11-12 (남영동) / 서울특별시 용산구 남영동 38번지","281 / 0","145.46","51","목조","04000","사무소","2","0","19301120","0","0","0"
"197578.632782989","449156.088664685","서울특별시 용산구 남영동 7-4번지","11170","10500","0","0007","0004","코지 모텔","100417835","서울특별시 용산구 한강대로88길 17 (남영동) / 서울특별시 용산구 남영동 7-4번지","26.71 / 0","0","51","목조","01000","주택","1","0","19661228","0","0","0"
"197299.211648622","449129.404589991","서울특별시 용산구 청파동3가 24-10번지","11170","11100","0","0024","0010","한글게스트하우스","100415929","서울특별시 용산구 청파로45길 2-5 (청파동3가) / 서울특별시 용산구 청파동3가 24-10번지","285.07 / 0","133.03","11","연와조","03000","영업용","2","1","19690810","0","0","0"
"199176.412380799","448056.740193187","서울특별시 용산구 이태원동 166-33번지","11170","13000","0","0166","0033","스테이 패스포트 이태원 호텔 앤 스파","1004116377","서울특별시 용산구 이태원로17길 10-4 (이태원동) / 서울특별시 용산구 이태원동 166-33번지","122.84 / 0","64.46","31","일반철골구조","03000","영업","2","0","19591030","0","0","0"
