소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,최근접_소화용수_거리등급,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
0.2167,41,70.7,0.800201177,0.1866,1.0,2,11,5.590986981,중위험군,42.33502976,0.6104423809724883,0.9274040915597841
0.4213,53,67.9,0.616029877,0.1136,0.85,1,20,8.477412321,중위험군,31.39745444,0.26979786985821824,3.195468098580993
0.1001,23,69.6,1.706004111,0.1766,0.7,0,24,9.424644975,중위험군,27.40122378,-0.34573299496020005,4.094594469766969
0.3564,3,0.0,2.111806826,0.1922,0.55,2,6,5.883322388,저위험군,37.75795798,-1.6368928316197704,-0.13748910624523936
0.184,28,85.7,2.016351247,0.1322,0.85,1,23,9.830217691,중위험군,34.47167266,-0.25280745198747545,4.0528460903834915
0.3349,49,85.7,0.687943353,0.1565,0.85,1,10,7.778211475,중위험군,34.3849298,1.003424534795221,2.10282878467894
0.2112,15,73.3,0.123132685,0.1136,0.85,0,22,9.83091686,중위험군,21.95857565,-0.8409808897381135,3.7526579209039874
0.251,21,0.0,1.925090521,0.1823,1.0,1,5,5.883322388,중위험군,35.96093302,-0.07861470455424169,0.46056303259306614
0.2423,3,0.0,0.752336052,0.1136,0.08,1,30,10.13994212,저위험군,16.07173597,-3.7831375891606047,3.5952202802228133
0.1086,27,81.5,0.77983042,0.1794,1.0,1,11,8.677098709,중위험군,35.85209991,0.29357584323529673,2.253556501684761
0.1457,0,0.0,0.0,0.1565,0.85,2,5,6.411818268,중위험군,31.79717838,-1.9430543458094536,-0.36315580480385484
0.1658,19,68.4,1.751088429,0.1794,0.35,2,17,6.228511004,저위험군,34.19667612,-1.001087009527594,1.5549680099049528
0.1175,1,100.0,2.128231706,0.1594,0.12,1,5,6.416732283,저위험군,24.66420989,-0.39795076988656763,1.0652338016039138
0.1086,3,100.0,1.84536892,0.1194,0.7,0,6,5.564520407,중위험군,22.5027131,0.7295734312437302,1.412932300041314
0.2954,19,47.4,0.693147181,0.1551,0.85,1,15,8.649448771,중위험군,32.1453704,-0.8572543676578163,2.2436436660041807
0.3626,34,58.8,0.117783036,0.1808,0.7,0,6,6.781625002,중위험군,25.4242058,0.6319505231430267,1.2823959420535422
0.0838,37,78.4,0.299393332,0.1766,1.0,1,3,4.763881877,중위험군,32.72696791,1.4026614660603662,0.32707473816249694
0.1506,3,0.0,0.7282385,0.1265,0.08,2,4,6.419994928,저위험군,20.46007534,-2.506958279555277,-0.26961356873413767
0.3135,32,62.5,0.564343929,0.4817,0.45,1,2,3.784189634,고위험군,37.71343046,0.9521381266566584,-1.0477522655412692
0.3318,9,55.6,1.073610986,0.1837,1.0,1,6,4.382026635,중위험군,36.36215535,0.22546145208357268,0.060898717357663966
0.2597,24,95.8,0.466373861,0.1179,0.85,0,13,5.796057751,중위험군,23.15628176,0.8321979614757062,1.985087140892054
0.0898,9,88.9,0.561625839,0.1,0.08,2,8,6.955592608,저위험군,21.11462608,-1.4217422369220891,0.9257137249974886
0.3718,2,0.0,1.32931205,0.1011,0.7,1,10,7.207474612,중위험군,25.27582847,-1.7172388644014016,1.0781419701149138
0.1867,7,71.4,1.323714704,0.1766,0.85,0,18,9.235910648,중위험군,29.1958747,-0.5071700300371003,3.229400962165123
0.192,51,82.4,1.645306145,0.158,1.0,1,4,5.712147391,중위험군,36.43836708,2.0219199263496117,1.2048461576412304
0.0959,4,100.0,0.208958916,0.1,0.08,2,7,6.150602768,저위험군,20.37654026,-1.3628157877747744,0.5147284542045464
0.2452,3,33.3,1.35167416,0.1652,0.12,1,21,10.16708183,저위험군,23.5381471,-2.696183671086475,3.0298076816908655
0.1198,19,52.6,1.764509827,0.1866,0.7,1,6,5.988961417,중위험군,32.39570051,0.16527159239546363,0.8551113173417542
0.3749,26,76.9,0.894603978,0.1079,0.7,1,23,9.090768237,중위험군,29.13096002,-0.8300303674031815,3.465425336607713
0.1867,6,33.3,5.676753802,0.105,0.08,0,22,9.401043373,저위험군,21.72224023,-1.1356231173070197,4.429134521462957
0.1001,4,0.0,2.250442542,0.4535,0.55,2,7,5.686975356,고위험군,42.58601421,-1.2485345486803487,-0.6008586705904927
0.2365,9,22.2,1.291825174,0.188,1.0,1,3,5.192956851,중위험군,35.13298823,-0.13383032779093426,-0.08389472975227964
0.067,3,0.0,1.61937815,0.1851,0.7,0,4,5.625893003,중위험군,22.80810164,-0.5115357066702882,0.4403795546775466
0.3749,7,57.1,0.380945491,0.1036,0.08,0,4,4.49980967,저위험군,9.876165929,-0.5763293350389216,0.22826500405951272
0.2656,22,90.9,0.410284395,0.1408,0.85,0,6,5.192956851,중위험군,24.41990182,1.10848045069726,1.0548326472228118
0.1153,7,14.3,1.155343917,0.48,1.0,0,4,5.672257407,고위험군,36.88846481,0.33816279575064034,-0.20245603150663266
0.1408,0,0.0,0.042559614,0.1308,0.85,2,4,6.770365022,중위험군,29.89795809,-1.968188193338465,-0.26576148956484313
0.1457,25,84.0,0.29867704,0.9051,0.7,1,2,5.304299438,고위험군,53.20401401,1.4911087472629896,-1.5026710346011227
0.4735,2,0.0,0.041672696,0.1766,0.55,2,26,7.732369222,저위험군,33.59953673,-3.367098886500212,1.732581553240699
0.412,3,0.0,0.311351817,0.1108,0.18,0,28,9.55647294,저위험군,11.80515737,-3.1922798079526555,3.4949611232996403
0.2774,3,100.0,1.059592965,0.1094,0.25,0,26,9.793114495,저위험군,17.0760832,-1.5088695697099546,4.2424929018620015
0.3471,21,100.0,0.693147181,0.1094,1.0,0,5,5.129898715,중위험군,25.87779921,1.4335570311831813,1.1163292864369256
0.3441,31,58.1,0.949638497,0.105,0.25,1,24,14.13904662,저위험군,23.61681882,-2.1820798581629197,5.06167859045827
0.1787,28,82.1,0.655406853,0.148,0.7,0,6,5.420534999,중위험군,22.3773573,1.0764226572332314,1.1942512838595667
0.1313,0,0.0,1.135600858,0.1337,0.12,1,6,5.402677382,저위험군,15.95493728,-1.9424598008507366,0.037093000885721907
0.0743,1,0.0,1.519252195,0.4817,0.7,1,5,5.351858133,고위험군,38.45181873,-0.7352507949628667,-0.7189294370544329
0.067,22,54.5,0.09944493,0.4535,0.85,1,6,4.262679877,고위험군,37.18727609,0.6114887164973811,-0.6112107716213271
0.2423,25,60.0,1.867425802,0.4712,1.0,1,6,5.497168225,고위험군,47.47456513,1.1778665709743241,0.14601651006874936
0.3564,14,64.3,0.194359535,0.1808,0.08,1,7,4.828313737,저위험군,22.00564794,-0.8336787212701333,0.10259897591906902
0.078,4,0.0,0.481258947,0.1823,0.12,1,8,5.075173815,저위험군,17.67306268,-1.942610287733827,-0.0835068028675503
0.2774,15,73.3,0.172525755,0.1422,0.85,1,5,4.65396035,중위험군,29.05164303,0.252862590328477,0.14342282356773325
0.4552,25,76.0,1.13018199,0.3278,0.18,0,5,4.615120517,저위험군,26.24805979,0.7366010207156827,0.2918790033666926
0.0858,24,20.8,0.345796313,0.6113,0.7,0,5,5.204006687,고위험군,34.53618313,0.6424086753066744,-0.536812506869653
0.2597,14,100.0,0.568443702,0.1794,1.0,0,10,6.295266001,중위험군,30.6122313,0.8707381897210281,1.6776018069599201
0.0473,3,0.0,2.841286275,0.4817,0.25,1,3,5.609471795,고위험군,35.16750905,-0.790329294171277,-0.5400362264665982
0.0799,2,0.0,1.320191586,0.1494,0.08,0,16,8.549660382,저위험군,11.82885025,-2.30342371280628,2.350174444716472
0.341,6,0.0,0.693147181,0.4606,0.08,2,3,4.727387819,저위험군,35.03459486,-1.7973432475776248,-1.7340073838000243
0.122,2,0.0,1.05435728,0.1265,0.7,2,7,4.615120517,중위험군,28.94925022,-1.6403921763050362,-0.43169329801911643
0.3502,2,0.0,0.071458964,0.178,0.35,2,10,8.750683035,저위험군,29.88759052,-2.9941437477029784,0.6684012642080305
0.0818,4,0.0,0.490944253,0.105,0.12,1,9,8.062117583,저위험군,12.62878381,-2.508658614238602,1.1296300111086495
0.0858,32,65.6,0.366918978,0.6692,0.25,0,3,4.9698133,고위험군,34.04461661,1.2083103147857288,-0.5980974320223096
0.1867,2,0.0,0.026668247,0.1823,0.45,2,6,4.96284463,저위험군,28.29292059,-2.122277138250657,-0.8231894514327839
0.078,3,0.0,0.038614836,0.1509,0.04,2,8,3.761200116,저위험군,18.44214096,-2.461701621082745,-0.9409586259580754
0.2834,27,74.1,0.693147181,0.138,0.7,0,6,5.752572639,중위험군,22.59554452,0.8631376997911427,1.2305500772317954
0.3656,2,0.0,1.062022841,0.1011,0.7,2,15,7.043430622,중위험군,30.53976772,-2.4277770965580316,1.009334202385245
0.2139,73,79.5,0.02813125,0.1,1.0,1,6,6.033709529,중위험군,28.47413329,2.1263042725804877,1.4982826076521358
0.0706,4,0.0,0.264784108,0.1011,0.7,2,12,7.052314392,중위험군,25.39347081,-2.3602762773858212,0.7045189896982599
0.129,0,0.0,1.445562683,0.1808,0.08,2,7,6.660754391,저위험군,26.39627143,-2.539688604404048,0.07097354911199422
0.0838,9,11.1,0.51213624,0.1036,1.0,1,20,9.930372881,중위험군,26.2215444,-1.9810964060796765,2.921446352534715
0.078,7,42.9,1.166888057,0.2009,0.45,2,7,7.147094962,저위험군,33.98173341,-1.4262995962117795,0.524910910219986
0.1408,0,0.0,2.677441573,0.4148,0.85,2,5,6.045005314,고위험군,45.54906612,-0.9634870344344887,-0.5059826479249826
0.2112,0,0.0,0.019257817,0.42,0.25,2,5,6.284134161,저위험군,31.95824836,-2.307601947990448,-1.1232350753431306
0.1735,2,0.0,0.40755935,0.1065,0.08,0,29,9.931637596,저위험군,7.805893001,-3.36799765629437,3.7975946660719635
0.1787,42,64.3,0.608708861,0.1694,0.25,0,6,5.402677382,저위험군,17.2235547,0.8235892179206517,1.1304090370381255
0.2029,47,89.4,1.431954845,0.1494,1.0,0,5,5.247024072,중위험군,29.39322227,2.393705284990919,1.5141590880376743
0.129,12,41.7,0.028536307,0.1065,0.08,2,23,6.059123196,저위험군,18.76137306,-2.619041769133328,1.5597248416023937
0.3471,27,63.0,0.593396778,0.1079,1.0,1,13,6.442540166,중위험군,30.69696404,0.11275478453970955,1.6544832071962317
0.1607,0,0.0,2.088099604,0.4272,0.85,2,3,5.572154032,고위험군,45.03249828,-0.937557322749798,-0.9979512590449627
