구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적,cluster,최종위험점수_new,cluster_label
마포구,연남동,시스앤브로 하우스,1974,0.4735,16,100,1.568615918,0.4483,1,37.55834816,126.9215695,193070.1477,450982.9361,1,외국인관광도시민박업,단독주택,2,5.105945474,2,48.9170731,고위험군
마포구,신공덕동,효공 하우스,1989,0.4336,21,95.2,0.813291492,0.4218,1,37.54183019,126.9563319,196140.7865,449147.6449,0,외국인관광도시민박업,단독주택,3,3.951243719,2,38.24298657,고위험군
마포구,대흥동,휘진 서강,1990,0.4275,30,93.3,1.377636298,0.42,0.55,37.55007405,126.9443051,195078.4397,450063.1754,0,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.761200116,2,33.12758394,고위험군
마포구,서교동,온스테이,2001,0.2894,30,96.7,0.600610928,0.1337,0.85,37.55247711,126.9267982,193531.6287,450330.9468,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,4.510859507,0,30.67167391,중위험군
마포구,망원동,스테이 마포,1990,0.4977,6,0,0.027779564,0.42,0.18,37.55080616,126.9031387,191440.8055,450147.3823,2,외국인관광도시민박업,단독주택,3,3.433987204,1,33.17195657,저위험군
마포구,상암동,J-Park Story DMC,2001,0.3257,0,0,0.009174376,0.1337,0.55,37.57356624,126.8956935,190785.71,452674.1878,2,외국인관광도시민박업,단독주택,2,4.189654742,1,26.90119131,저위험군
마포구,연남동,루하 하우스,1993,0.4795,25,92,0.604047186,0.1451,0.7,37.55919599,126.9197496,192909.4243,451077.171,1,외국인관광도시민박업,연립주택,5,4.753590191,0,31.40623758,중위험군
마포구,연남동,연남숲길스테이,2004,0.5908,26,69.2,0.28357529,0.1293,0.35,37.56160664,126.9192207,192862.923,451344.7647,1,외국인관광도시민박업,다가구용 주택(공동주택적용),5,4.276666119,1,24.61012158,저위험군
마포구,망원동,STUDIO ARCH,1992,0.5127,18,83.3,2.234848977,0.4165,0.7,37.55331557,126.903343,191459.145,450425.8783,1,외국인관광도시민박업,다가구용 주택(공동주택적용),4,3.465735903,2,43.26717579,고위험군
마포구,합정동,MJ house 102,1993,0.251,17,88.2,5.071595994,0.4148,0.55,37.54949733,126.9091197,191969.1723,450001.5902,2,외국인관광도시민박업,다가구용 주택(공동주택적용),3,3.912023005,2,51.36775224,고위험군
