승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,연면적,cluster_label,최종위험점수_new,PC1,PC2
2012,0.2597,24,95.8,0.466373861,0.1179,0.85,13,5.796057751,중위험군,23.15628176,-1.0967027126431848,-1.859986845588948
2025,0.0898,9,88.9,0.561625839,0.1,0.08,8,6.955592608,저위험군,21.11462608,-2.1523165574086964,-0.48506969757006846
2024,0.3718,2,0.0,1.32931205,0.1011,0.7,10,7.207474612,중위험군,25.27582847,-2.604945516648107,-0.012431933562301812
1971,0.1867,7,71.4,1.323714704,0.1766,0.85,18,9.235910648,중위험군,29.1958747,-1.5080596007141966,-0.6687086958485191
1984,0.192,51,82.4,1.645306145,0.158,1.0,4,5.712147391,중위험군,36.43836708,1.0987544644995808,-2.1502269844730795
2025,0.0959,4,100.0,0.208958916,0.1,0.08,7,6.150602768,저위험군,20.37654026,-1.9513980491119938,-0.3181075468512962
1979,0.2452,3,33.3,1.35167416,0.1652,0.12,21,10.16708183,저위험군,23.5381471,-3.031393992660547,0.5793991054789309
1964,0.1198,19,52.6,1.764509827,0.1866,0.7,6,5.988961417,중위험군,32.39570051,0.4682306624663833,0.03498204551373922
2019,0.3749,26,76.9,0.894603978,0.1079,0.7,23,9.090768237,중위험군,29.13096002,-3.0269309559400988,-2.2621974224432893
2021,0.1867,6,33.3,5.676753802,0.105,0.08,22,9.401043373,저위험군,21.72224023,-3.558032503919297,-1.279533727529756
1971,0.1001,4,0.0,2.250442542,0.4535,0.55,7,5.686975356,고위험군,42.58601421,0.3050247113052827,1.647060327811073
1963,0.2365,9,22.2,1.291825174,0.188,1.0,3,5.192956851,중위험군,35.13298823,0.6519258601794667,0.6899557009842057
1965,0.067,3,0.0,1.61937815,0.1851,0.7,4,5.625893003,중위험군,22.80810164,0.045879554768324435,1.452668179848215
2022,0.3749,7,57.1,0.380945491,0.1036,0.08,4,4.49980967,저위험군,9.876165929,-1.5314858927829833,0.36187455280047703
1996,0.2656,22,90.9,0.410284395,0.1408,0.85,6,5.192956851,중위험군,24.41990182,-0.04136396982350308,-1.1334159075322419
1956,0.1153,7,14.3,1.155343917,0.48,1.0,4,5.672257407,고위험군,36.88846481,1.3056868613342079,1.4376907600765512
2003,0.1408,0,0.0,0.042559614,0.1308,0.85,4,6.770365022,중위험군,29.89795809,-1.4513478475771269,0.8645844237252801
1955,0.1457,25,84.0,0.29867704,0.9051,0.7,2,5.304299438,고위험군,53.20401401,3.106982718701032,1.1100124839224457
1971,0.4735,2,0.0,0.041672696,0.1766,0.55,26,7.732369222,저위험군,33.59953673,-2.766778030109953,0.9930816002017376
2017,0.412,3,0.0,0.311351817,0.1108,0.18,28,9.55647294,저위험군,11.80515737,-4.83543330091384,0.25085450839543805
2018,0.2774,3,100.0,1.059592965,0.1094,0.25,26,9.793114495,저위험군,17.0760832,-3.9557760611614836,-1.4185219213494726
2018,0.3471,21,100.0,0.693147181,0.1094,1.0,5,5.129898715,중위험군,25.87779921,-0.41798134398442344,-1.915451495784268
2021,0.3441,31,58.1,0.949638497,0.105,0.25,24,14.13904662,저위험군,23.61681882,-4.686911359838639,-2.0192016218378606
1991,0.1787,28,82.1,0.655406853,0.148,0.7,6,5.420534999,중위험군,22.3773573,0.05651750443307814,-0.9667744941430976
2001,0.1313,0,0.0,1.135600858,0.1337,0.12,6,5.402677382,저위험군,15.95493728,-1.606846076795411,1.581199367923155
1955,0.0743,1,0.0,1.519252195,0.4817,0.7,5,5.351858133,고위험군,38.45181873,0.974318909763258,2.1535987417931577
1971,0.067,22,54.5,0.09944493,0.4535,0.85,6,4.262679877,고위험군,37.18727609,1.3835538988512894,0.5113176867784465
1961,0.2423,25,60.0,1.867425802,0.4712,1.0,6,5.497168225,고위험군,47.47456513,1.7184704680222072,-0.18270327519444446
1968,0.3564,14,64.3,0.194359535,0.1808,0.08,7,4.828313737,저위험군,22.00564794,-0.1628571644545081,1.0518989651919881
1967,0.078,4,0.0,0.481258947,0.1823,0.12,8,5.075173815,저위험군,17.67306268,-0.7099208313710199,2.2635300214454457
1995,0.2774,15,73.3,0.172525755,0.1422,0.85,5,4.65396035,중위험군,29.05164303,-0.0833592139294765,-0.5034286526630022
1963,0.4552,25,76.0,1.13018199,0.3278,0.18,5,4.615120517,저위험군,26.24805979,0.9629853224565782,0.5360714978067654
1961,0.0858,24,20.8,0.345796313,0.6113,0.7,5,5.204006687,고위험군,34.53618313,1.6213041097853689,1.4463504752895915
1969,0.2597,14,100.0,0.568443702,0.1794,1.0,10,6.295266001,중위험군,30.6122313,0.17411065755991345,-0.8691817262989637
1955,0.0473,3,0.0,2.841286275,0.4817,0.25,3,5.609471795,고위험군,35.16750905,0.9504554767029996,2.383557188400659
1990,0.0799,2,0.0,1.320191586,0.1494,0.08,16,8.549660382,저위험군,11.82885025,-2.772064208238915,1.2415691984694504
1967,0.341,6,0.0,0.693147181,0.4606,0.08,3,4.727387819,저위험군,35.03459486,0.4053149813277052,2.71814776390678
2006,0.122,2,0.0,1.05435728,0.1265,0.7,7,4.615120517,중위험군,28.94925022,-1.1970638203484256,0.7487375172140275
