사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부
19811014," ""N""          "," ""11000000320409"""," ""N""      "," ""서울특별시 중구 무학동""         "," ""서울특별시"""," ""중구""    "," ""무학동""     "," ""N""     "," ""N""           "," ""N""    "," ""에이모텔""                                          "," ""N"""
19680710," ""N""          "," ""11000000320416"""," ""N""      "," ""서울특별시 중구 을지로3가""      "," ""서울특별시"""," ""중구""    "," ""을지로3가""  "," ""N""     "," ""N""           "," ""N""    "," ""충무로9길 41 건물""                                 "," ""N"""
20180709," ""N""          "," ""11000000320417"""," ""N""      "," ""서울특별시 중구 광희동2가""      "," ""서울특별시"""," ""중구""    "," ""광희동2가""  "," ""N""     "," ""N""           "," ""N""    "," ""르릿""                                              "," ""N"""
20190124," ""N""          "," ""11000000320730"""," ""Y""      "," ""서울특별시 영등포구 영등포동3가"""," ""서울특별시"""," ""영등포구"""," ""영등포동3가"""," ""Y""     "," ""N""           "," ""N""    "," ""데쟈트호텔""                                        "," ""N"""
20190418," ""N""          "," ""11000000320762"""," ""N""      "," ""서울특별시 송파구 문정동""       "," ""서울특별시"""," ""송파구""  "," ""문정동""     "," ""N""     "," ""N""           "," ""N""    "," ""메리제인호텔(문정동61-15건물)""                     "," ""N"""
20181224," ""N""          "," ""11000000320823"""," ""Y""      "," ""서울특별시 종로구 연지동""       "," ""서울특별시"""," ""종로구""  "," ""연지동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔파이 종로(케니스토리)""                         "," ""N"""
20181205," ""N""          "," ""11000000321557"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""N""    "," ""서초동1478-14건물""                                 "," ""N"""
20181026," ""N""          "," ""11000000321561"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""프라임 빌""                                         "," ""N"""
20180906," ""N""          "," ""11000000321562"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""디벨로퍼""                                          "," ""N"""
20180817," ""N""          "," ""11000000321563"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""방배동 780-31 건물""                                "," ""N"""
20180307," ""N""          "," ""11000000321565"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""메종슈에뜨16""                                      "," ""N"""
20180508," ""N""          "," ""11000000321568"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""방배동 985-13 건물""                                "," ""N"""
20180807," ""N""          "," ""11000000321572"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""三井빌딩""                                          "," ""N"""
20180712," ""N""          "," ""11000000321574"""," ""N""      "," ""서울특별시 서초구 방배동""       "," ""서울특별시"""," ""서초구""  "," ""방배동""     "," ""N""     "," ""N""           "," ""N""    "," ""로얄하우스""                                        "," ""N"""
20181031," ""N""          "," ""11000000321652"""," ""N""      "," ""서울특별시 서초구 잠원동""       "," ""서울특별시"""," ""서초구""  "," ""잠원동""     "," ""N""     "," ""N""           "," ""N""    "," ""잠원하이츠""                                        "," ""N"""
20180202," ""N""          "," ""11000000321653"""," ""N""      "," ""서울특별시 서초구 잠원동""       "," ""서울특별시"""," ""서초구""  "," ""잠원동""     "," ""N""     "," ""N""           "," ""N""    "," ""잠원동 12-11 건물""                                 "," ""N"""
20181219," ""N""          "," ""11000000321657"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""N""    "," ""서초동 1610-14 건물""                               "," ""N"""
20180802," ""N""          "," ""11000000321660"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""N""    "," ""타란빌""                                            "," ""N"""
20180228," ""N""          "," ""11000000321662"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""N""    "," ""서초동 1360-22 건물""                               "," ""N"""
20180109," ""N""          "," ""11000000321663"""," ""N""      "," ""서울특별시 서초구 서초동""       "," ""서울특별시"""," ""서초구""  "," ""서초동""     "," ""N""     "," ""N""           "," ""N""    "," ""서초동 1443-22 건물""                               "," ""N"""
20181004," ""N""          "," ""11000000321673"""," ""N""      "," ""서울특별시 서초구 염곡동""       "," ""서울특별시"""," ""서초구""  "," ""염곡동""     "," ""N""     "," ""N""           "," ""N""    "," ""소프트플렉스""                                      "," ""N"""
20180306," ""N""          "," ""11000000321677"""," ""N""      "," ""서울특별시 서초구 반포동""       "," ""서울특별시"""," ""서초구""  "," ""반포동""     "," ""N""     "," ""N""           "," ""N""    "," ""SnD House""                                         "," ""N"""
20180226," ""N""          "," ""11000000321679"""," ""N""      "," ""서울특별시 서초구 우면동""       "," ""서울특별시"""," ""서초구""  "," ""우면동""     "," ""N""     "," ""N""           "," ""N""    "," ""금파""                                              "," ""N"""
20190207," ""N""          "," ""11000000322414"""," ""Y""      "," ""서울특별시 서초구 반포동""       "," ""서울특별시"""," ""서초구""  "," ""반포동""     "," ""Y""     "," ""N""           "," ""N""    "," ""알파레타2차""                                       "," ""N"""
20190131," ""N""          "," ""11000000322475"""," ""N""      "," ""서울특별시 강서구 화곡동""       "," ""서울특별시"""," ""강서구""  "," ""화곡동""     "," ""N""     "," ""N""           "," ""N""    "," ""화곡동 376-15 건물""                                "," ""N"""
19930811," ""N""          "," ""11000000322768"""," ""N""      "," ""서울특별시 마포구 창전동""       "," ""서울특별시"""," ""마포구""  "," ""창전동""     "," ""N""     "," ""N""           "," ""N""    "," ""white hoise""                                       "," ""N"""
19900418," ""N""          "," ""11000000322769"""," ""N""      "," ""서울특별시 마포구 창전동""       "," ""서울특별시"""," ""마포구""  "," ""창전동""     "," ""N""     "," ""N""           "," ""N""    "," ""와우힐즈 게스트하우스""                             "," ""N"""
20190315," ""N""          "," ""11000000323009"""," ""Y""      "," ""서울특별시 영등포구 신길동""     "," ""서울특별시"""," ""영등포구"""," ""신길동""     "," ""Y""     "," ""N""           "," ""N""    "," ""S TOWER""                                           "," ""N"""
20190712," ""N""          "," ""11000000323307"""," ""Y""      "," ""서울특별시 마포구 망원동""       "," ""서울특별시"""," ""마포구""  "," ""망원동""     "," ""Y""     "," ""N""           "," ""N""    "," ""롯데장학재단기숙사(구.샤이닝글로리하우스)""         "," ""N"""
20190712," ""N""          "," ""11000000323547"""," ""Y""      "," ""서울특별시 송파구 잠실동""       "," ""서울특별시"""," ""송파구""  "," ""잠실동""     "," ""Y""     "," ""N""           "," ""N""    "," ""호텔더캐슬""                                        "," ""N"""
19900821," ""N""          "," ""11000000323794"""," ""N""      "," ""서울특별시 중구 회현동1가""      "," ""서울특별시"""," ""중구""    "," ""회현동1가""  "," ""N""     "," ""N""           "," ""N""    "," ""남산스토리나인(구.산마루호스텔)""                   "," ""N"""
20190726," ""N""          "," ""11000000324021"""," ""N""      "," ""서울특별시 강서구 화곡동""       "," ""서울특별시"""," ""강서구""  "," ""화곡동""     "," ""N""     "," ""N""           "," ""N""    "," ""여자만""                                            "," ""N"""
20190808," ""N""          "," ""11000000324091"""," ""Y""      "," ""서울특별시 종로구 관훈동""       "," ""서울특별시"""," ""종로구""  "," ""관훈동""     "," ""Y""     "," ""N""           "," ""N""    "," ""안녕인사동 / 나인트리 파르나스(구.프리미어)""       "," ""N"""
20191101," ""N""          "," ""11000000324515"""," ""Y""      "," ""서울특별시 중구 만리동1가""      "," ""서울특별시"""," ""중구""    "," ""만리동1가""  "," ""Y""     "," ""N""           "," ""N""    "," ""서울로빌딩""                                        "," ""N"""
20191021," ""N""          "," ""11000000324714"""," ""N""      "," ""서울특별시 영등포구 양평동1가""  "," ""서울특별시"""," ""영등포구"""," ""양평동1가""  "," ""N""     "," ""N""           "," ""N""    "," ""문래북로 35 건물""                                  "," ""N"""
20191127," ""N""          "," ""11000000324721"""," ""Y""      "," ""서울특별시 중구 을지로5가""      "," ""서울특별시"""," ""중구""    "," ""을지로5가""  "," ""Y""     "," ""N""           "," ""N""    "," ""나인트리호텔 동대문(구.동대문비지니스호텔)""        "," ""N"""
