구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,bw_intercept,coef_구조노후도,bw_구조노후도,coef_도로폭위험도,bw_도로폭위험도,coef_단속위험도,bw_단속위험도
중구,명동,르메르디앙 서울 명동,0,중위험군,37.55896817,126.9819263,198403.0836,451049.0122,26.2215444,0.2154647397140259,26.417163406370825,43.0,1.3575090635288372,1463.0,2.8234563741793837,1464.0,3.2289901956804457,55.0
중구,황학동,모먼트맨션,0,중위험군,37.56394721,127.0205806,201818.2983,451601.6724,29.39322227,-2.7214648197926614,28.153271987021256,43.0,1.3552445488330458,1463.0,2.8399501896810797,1464.0,0.6921752585810508,55.0
중구,(만리동,유에이치 스위트 더 서울,0,중위험군,37.55355582,126.9673857,197118.1252,450448.6522,30.69696404,2.3026672290082395,27.541574078708937,43.0,1.362069846258017,1463.0,2.832439284674453,1464.0,1.2806796748113727,55.0
중구,남학동,홈즈레드 명동,0,중위험군,37.55807414,126.9905121,199161.6811,450949.6743,27.88206405,2.8004084583464035,29.461096531616466,43.0,1.3552167831864719,1463.0,2.823758183803026,1464.0,1.153156191529975,55.0
중구,(회현동,(주)조선호텔앤리조트 레스케이프,0,중위험군,37.55715446,126.9787036,198118.2962,450847.7716,28.39202443,1.4806336587052868,29.77316209609748,43.0,1.3588404342027174,1463.0,2.8242909616890524,1464.0,1.815770103343291,55.0
중구,충무로2가,호텔롯데 엘세븐명동,0,중위험군,37.55861521,126.9861925,198780.0189,451009.7739,26.97788984,3.02705189260325,27.867923843785675,43.0,1.3552062517870282,1463.0,2.8215775096047864,1464.0,3.213240594252455,55.0
중구,을지로5가,라마다 바이 윈덤 서울 동대문 (RAMADA BY WYNDHAM SEOUL DONGDAEMUN),0,중위험군,37.56322588,127.0018245,200161.1926,451521.4158,24.5404592,-1.1613953184353036,29.116163351402577,43.0,1.3547679692155543,1463.0,2.828551576265537,1464.0,1.495865500949293,55.0
중구,(광희동,96번지,0,중위험군,37.56206664,127.0089649,200792.0687,451392.79,23.53454044,-2.858938096317612,28.28317698383298,43.0,1.3550641301102038,1463.0,2.834047144521577,1464.0,0.4358892157037655,55.0
중구,을지로5가,트레블로지 동대문 호텔,0,중위험군,37.563663,127.0010971,200096.9309,451569.9299,24.73112452,-2.075224425381524,28.620190629239943,43.0,1.3547013729787503,1463.0,2.827765622074326,1464.0,1.6593156883441804,55.0
중구,(필동,픽셀스테이 명동점,0,중위험군,37.55888617,126.9913853,199238.8373,451039.7925,28.63818624,2.9269190953247026,29.21045300593355,43.0,1.3551188018041922,1463.0,2.82383667863479,1464.0,1.4789285324705612,55.0
중구,명동,호텔스카이파크명동Ⅱ,0,중위험군,37.56217058,126.9842636,198609.6546,451404.4047,34.80159473,0.19521743831862182,27.70680886500434,43.0,1.3563735634179779,1463.0,2.8217433718131746,1464.0,4.082259148976641,55.0
중구,(명동,알로프트서울명동호텔,0,중위험군,37.55952462,126.9811368,198333.3355,451110.7853,17.42653706,-5.566640252336413,26.733666284115472,43.0,1.3578727627291676,1463.0,2.8225121570628966,1464.0,3.6358499502135713,55.0
중구,쌍림동,영빈호텔,0,중위험군,37.56030545,127.0047517,200419.8322,451197.2915,33.33498353,3.0807308792283337,30.237118780588702,43.0,1.3551319319311412,1463.0,2.8323617018204565,1464.0,0.8870259567226756,55.0
중구,쌍림동,호텔더디자이너스 디디피,0,중위험군,37.56105995,127.0033124,200292.6582,451281.0267,24.63283303,-3.7649565121587543,29.963104024409354,43.0,1.3550284487610347,1463.0,2.8309282273510634,1464.0,1.191752057689491,55.0
중구,북창동,호텔 토마스 명동,0,중위험군,37.56039746,126.9775753,198018.6798,451207.7293,27.35952845,3.2608977770422882,28.574284502037543,43.0,1.3591463989543415,1463.0,2.824123248473039,1464.0,3.6322691669244604,55.0
중구,(남산동,호텔룩홈,0,중위험군,37.55558838,126.9850216,198676.5108,450673.8476,31.17777099,1.9347242433216145,30.41363101622077,43.0,1.3556934709328747,1463.0,2.8228011746375463,1464.0,0.22680329416344813,55.0
