건물유형코드,건물ID,건물관리번호,법정동코드,주소,지번,위도,경도,그리드ID,그리드행,그리드열,주부속구분,일반집합구분,건물용도코드,건물용도명,구조코드,구조명,건폐율,사용승인일,연면적,건축면적,높이,기타,용적률,지번코드,대장구분,건물식별번호,갱신일자,행정구역코드,예비1,예비2,지상층수,지하층수,총층수,생성일자
38598,2016192619414512189300000000,1144012400104870255,1144012400,서울특별시 마포구 연남동,487-255,37.56322053,126.91725137,YN_50000SQM_R06_C02,6,2,1,일반,04000,제2종근린생활시설,31.0,일반철골구조,39.2,2016-05-24,61.1,0.0,6.9,0.0,0.0,100239856,N,B002000000003KR5X,2026-04-06,11440,,나동,3.0,0.0,3,2023-06-28
38599,2016192632184512997500000000,1144012400104870228,1144012400,서울특별시 마포구 연남동,487-228,37.56394877,126.91739511,YN_50000SQM_R06_C02,6,2,1,일반,01000,단독주택,21.0,철근콘크리트구조,29.14,2016-04-12,95.61,59.45,9.0,49.02,160.82,100239154,N,B002000000003KR6Y,2026-04-06,11440,,,5.0,0.0,5,2017-02-11
67945,2022193381914509862000000000,1144012400103830037,1144012400,서울특별시 마포구 연남동,383-37,37.56112922,126.92588367,YN_50000SQM_R05_C06,5,6,1,일반,03000,제1종근린생활시설,21.0,철근콘크리트구조,81.32,2022-11-09,333.04,142.0,13.65,57.27,184.25,1000000000000000463381,N,B00200000000F0NGW,2026-04-06,11440,JS BUILDING,,5.0,1.0,6,2023-01-27
59867,2019192865534510984300000000,1144012400105040004,1144012400,서울특별시 마포구 연남동,504-4,37.56213666,126.92003818,YN_50000SQM_R05_C03,5,3,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,104.5,2019-08-08,393.89,177.1,16.9,59.01,193.85,100263343,N,B002000000009WAF9,2026-04-06,11440,크림슨연남,,6.0,1.0,7,2019-08-19
48388,2017192728064508272200000000,1144012400104870132,1144012400,서울특별시 마포구 연남동,487-132,37.55969200,126.91848498,YN_50000SQM_R04_C03,4,3,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,174.41,2017-12-29,848.03,291.0,18.58,59.93,199.8,100254023,N,B002000000006SKNK,2026-04-06,11440,ZORBA,,6.0,2.0,8,2018-01-29
63682,2020192750694507837900000000,1144012400105640025,1144012400,서울특별시 마포구 연남동,564-25,37.55930093,126.91874161,YN_50000SQM_R04_C03,4,3,1,일반,02000,공동주택,21.0,철근콘크리트구조,174.89,2020-07-01,583.11,291.6,14.6,59.98,199.97,100270323,N,B00200000000CB0NO,2026-04-06,11440,도화엘리시아,,6.0,0.0,6,2020-07-08
38593,2015192966894510008600000000,1144012400105610030,1144012400,서울특별시 마포구 연남동,561-30,37.56125835,126.92118639,YN_50000SQM_R05_C04,5,4,1,일반,02000,공동주택,21.0,철근콘크리트구조,168.0,2015-08-28,565.4,283.35,16.3,59.29,199.54,100234881,N,B002000000003KQNF,2026-04-06,11440,,,6.0,0.0,6,2016-10-26
38594,2016193056844510392300000000,1144012400105150022,1144012400,서울특별시 마포구 연남동,515-22,37.56160472,126.92220399,YN_50000SQM_R05_C04,5,4,1,일반,02000,공동주택,21.0,철근콘크리트구조,174.64,2016-06-29,661.07,301.2,17.4,57.98,187.27,100240416,N,B002000000003KQRJ,2026-04-06,11440,까사벨라,,6.0,1.0,7,2017-02-10
67891,2022192975284513493900000000,1144012400102460031,1144012400,서울특별시 마포구 연남동,246-31,37.56439857,126.92127796,YN_50000SQM_R07_C04,7,4,1,일반,04000,제2종근린생활시설,21.0,철근콘크리트구조,129.75,2022-08-02,565.22,217.5,18.0,59.66,199.66,100288923,N,B00200000000ESX5N,2026-04-06,11440,연또랑,,6.0,1.0,7,2024-10-08
7103,2003192805764507717900000000,1144012400105640028,1144012400,서울특별시 마포구 연남동,564-28,37.55919322,126.91936504,YN_50000SQM_R04_C03,4,3,1,일반,02000,공동주택,21.0,철근콘크리트구조,172.44,2003-01-03,655.8,279.2,14.1,61.76,234.89,29814,N,B00100000000PDZFU,2026-04-06,11440,코디골드하우스 B동,코디골드하우스 B동,6.0,0.0,6,2017-02-08
7120,2002193193274511877200000000,1144012400102550035,1144012400,서울특별시 마포구 연남동,255-35,37.56294366,126.92374685,YN_50000SQM_R06_C05,6,5,1,일반,02000,공동주택,21.0,철근콘크리트구조,148.56,2002-06-15,659.8,247.9,13.7,59.93,235.87,29682,N,B00100000000PED2V,2026-04-06,11440,서진빌라B,B동,5.0,1.0,6,2017-02-08
7122,2002193138724511897600000000,1144012400102550005,1144012400,서울특별시 마포구 연남동,255-5,37.56296164,126.92312941,YN_50000SQM_R06_C05,6,5,1,일반,02000,공동주택,21.0,철근콘크리트구조,159.88,2002-12-30,641.76,267.1,14.2,59.86,240.27,29677,N,B00100000000PDY3H,2026-04-06,11440,중앙파크빌,,6.0,0.0,6,2017-02-10
7124,1994193091744511936100000000,1144012400102520012,1144012400,서울특별시 마포구 연남동,252-12,37.56299597,126.92259759,YN_50000SQM_R06_C04,6,4,1,일반,02000,공동주택,11.0,벽돌구조,159.29,1994-10-12,594.88,265.8,10.75,59.93,167.93,29666,N,B00100000000PECD6,2026-04-06,11440,,,4.0,1.0,5,2017-01-26
7128,2002193149704511973600000000,1144012400102550004,1144012400,서울특별시 마포구 연남동,255-4,37.56303020,126.92325358,YN_50000SQM_R06_C05,6,5,1,일반,02000,공동주택,21.0,철근콘크리트구조,133.8,2002-10-07,522.57,223.1,14.89,59.97,234.23,29676,N,B00100000000PECSL,2026-04-06,11440,그레이스빌,,6.0,0.0,6,2017-02-10
7133,2000193105954512029800000000,1144012400102520006,1144012400,서울특별시 마포구 연남동,252-6,37.56308054,126.92275841,YN_50000SQM_R06_C04,6,4,1,일반,02000,공동주택,21.0,철근콘크리트구조,158.08,2000-07-07,584.55,263.5,12.2,59.99,221.84,29662,Y,B00100000000PE06M,2026-04-06,11440,,,5.0,0.0,5,2019-07-05
