구,동,숙소명,승인연도,위험도점수,위험점수_AHP,사각지대_위험도점수,fire_count_150m,target_damage_sum_천원,예상_화재발생확률,기대피해액_백만원,주변건물수,집중도,도로폭위험도,단속위험도,구조노후도
마포구,서교동,나모하우스,1991,44.1977440916913,53.79,44.1977440916913,6,59679.0,0.3927970774792205,0.0587587134551244,12,91.7,0.25,0.8429594587886055,0.4183
마포구,연남동,훤게스트하우스,2015,44.17915773761158,49.64,44.17915773761158,5,33452.0,0.2417103202723454,0.0365977671020974,24,100.0,1.0,0.531592106558477,0.1136
마포구,서교동,누비스테이 홍대,2003,44.15996791562311,38.33,44.15996791562311,8,3450.0,0.4017715639902896,0.0591000378804402,17,100.0,0.85,0.4155154439616658,0.1308
마포구,망원동,굿바이브,1975,44.13989082662497,76.53,44.13989082662497,11,71834.0,0.2378680965356608,0.0343688688708712,25,92.0,0.55,0.4602733446031594,0.4465
마포구,대흥동,더 눅 하우스,1977,44.1372484861246,57.09,44.1372484861246,10,4725.0,0.486380563655546,0.0526775436768064,47,89.4,1.0,0.3322409186014503,0.443
마포구,연남동,아트하우스,1998,44.13558606648321,53.06,44.13558606648321,5,1422.0,0.2898166139495203,0.0422507032550313,26,100.0,1.0,0.6111900732862794,0.138
마포구,연남동,소솜 하우스,1990,44.11681362484856,65.9,44.11681362484856,19,2220.0,0.5611601283364765,0.0871102938656437,12,100.0,0.18,2.0085440472451315,0.42
마포구,연남동,소소연남,2016,44.11551593150167,52.89,44.11551593150167,6,3072.0,0.2226639776865729,0.0385390093387296,18,83.3,0.7,0.1546189542446188,0.1122
마포구,연남동,연남동 진영이네,2022,44.06238708578262,69.91,44.06238708578262,3,3076.0,0.0878558436681552,0.0147330979312092,26,96.2,1.0,0.4882782494892171,0.1036
마포구,연남동,Super 7,2002,44.03738631938227,39.05,44.03738631938227,6,790.0,0.5068060052206874,0.0755021693741117,18,94.4,0.7,0.9767224710590728,0.1322
마포구,동교동,바이브스테이,2009,44.03406879635672,32.7,44.03406879635672,6,2125.0,0.3940861631206053,0.0601618267276295,7,100.0,0.7,0.0246926125903715,0.1222
마포구,신수동,레일파크 스테이,1994,43.99485301271272,51.51,43.99485301271272,4,793.0,0.4096297041298617,0.0462543235719781,37,100.0,1.0,0.0571584138399486,0.413
마포구,성산동,블루스프링 하우스,2022,43.98907563901023,44.96,43.98907563901023,3,1354.0,0.3355594663699713,0.0549569832620818,15,93.3,0.7,0.6488743568819572,0.1036
마포구,연남동,연남 스테이션 2,1974,43.979251103957694,82.29,43.979251103957694,6,3604.0,0.1466368793096754,0.0207727754735482,26,100.0,0.7,0.2458349625162804,0.4483
마포구,연남동,민스테이2,2020,43.95707905804802,33.68,43.95707905804802,8,1228.0,0.4892162636369154,0.075266770336335,20,90.0,0.7,1.0107063238746714,0.1065
마포구,연남동,Steady 게스트하우스,1997,43.95195040479015,52.49,43.95195040479015,5,23329.0,0.3855690886534528,0.0641983985248817,17,82.4,0.55,0.6547130432206848,0.1394
마포구,대흥동,휘진 서강,1990,43.93426712810759,58.55,43.93426712810759,4,15120.0,0.4534248481867596,0.060409478711876,30,93.3,0.55,1.377636298376776,0.42
마포구,동교동,온하루 게스트 하우스,2003,43.87325615242386,48.78,43.87325615242386,7,8784.0,0.3852669988609375,0.0604210763548232,19,89.5,0.7,0.6106709587357068,0.1308
마포구,연남동,와이즈하우스,1996,43.863409723339245,55.32,43.863409723339245,5,1179.0,0.4566433612766841,0.0705946328439161,23,95.7,0.7,1.6499188651996697,0.1408
마포구,동교동,DW Design Residence 3,1989,43.86019458075553,46.94,43.86019458075553,10,8477.0,0.4372478739511867,0.0644410408024389,14,85.7,0.18,0.867333887147624,0.4218
마포구,상암동,STAY PUZZLE,2003,43.82514514821433,45.13,43.82514514821433,2,3151.0,0.2767891562713341,0.0466882109771835,1,100.0,0.55,0.0272744179196592,0.1308
마포구,서교동,시티 오아시스 홍대점,1997,43.734901229734014,45.6,43.734901229734014,4,2760.0,0.4476211373445704,0.0645911098991772,27,88.9,0.85,0.5523746266788631,0.1394
마포구,성산동,베이스캠프 하우스,2025,43.71436723129613,56.25,43.71436723129613,4,29594.0,0.2046832274532185,0.0337029037080781,20,95.0,0.85,0.4107007221621094,0.1
마포구,상암동,JUNI STAY DMC,2003,43.70315019937971,27.17,43.70315019937971,0,0.0,0.3195326658050264,0.0654256658555885,6,92.6,0.55,0.0,0.1308
마포구,창전동,아트하우스,2005,43.65878274697928,16.07,43.65878274697928,6,5743.0,0.7378582253518152,0.1142210507992438,10,80.0,0.12,2.2650471736749807,0.1279
마포구,합정동,파라솔스테이,1992,43.65697196032343,48.8,43.65697196032343,2,43166.0,0.4139321493007737,0.076068983590076,5,100.0,0.18,0.8574502318512216,0.4165
마포구,창전동,"쉬다, 가게",1993,43.62991253692435,46.22,43.62991253692435,2,108.0,,,4,100.0,0.12,1.1160040313799788,0.4148
마포구,창전동,나리스테이 창전,1993,43.60886467455305,21.3,43.60886467455305,2,147.0,0.3821377945368535,0.0536302850087806,3,100.0,0.12,0.9675840262617056,0.4148
마포구,신수동,모터사이클 다이어리,2017,43.585595001121504,20.94,43.585595001121504,4,355.0,0.3682067087938502,0.0773523348573755,1,85.0,0.35,0.0361050046421162,0.1108
마포구,동교동,머뭄,1993,43.559362705619606,39.55,43.559362705619606,8,2378.0,0.3745837462411964,0.0522798884235991,19,84.2,0.35,0.2209188562920986,0.4148
마포구,서교동,apple house 101호,1997,43.51577409881419,44.07,43.51577409881419,6,2121.0,0.4695503814887605,0.0666789324391863,24,91.7,0.85,0.2914627952916869,0.1394
마포구,연남동,THE ONSIL,1992,43.46209452685984,72.49,43.46209452685984,1,22.0,0.3075102557579583,0.0514974401238289,12,91.7,0.25,0.531592106558477,0.4165
마포구,서교동,호 홈텔,2012,43.45717753081141,25.55,43.45717753081141,6,3014.0,0.5978593763379269,0.0859003085697571,19,94.7,0.7,0.9921288082656596,0.1179
마포구,공덕동,리스테이,1997,43.432143071311394,36.96,43.432143071311394,0,0.0,0.645882392689621,0.1016596956835142,12,91.7,0.35,1.8943383419240043,0.1394
마포구,연남동,홍대 애비뉴,1997,43.43106817218653,43.25,43.43106817218653,9,1486.0,0.5349990377595374,0.0958336576103203,7,71.4,0.12,0.8849861443407901,0.1394
마포구,망원동,캐럿 하우스,1977,43.41666666666666,76.88,43.41666666666666,0,0.0,0.2508244028328015,0.0527067920461628,1,100.0,0.18,0.0,0.443
마포구,연남동,Sang Oh's House,1997,43.40522910750738,47.62,43.40522910750738,7,1222.0,0.4051572776713028,0.0561244379036594,26,100.0,1.0,0.2786247853392714,0.1394
마포구,서교동,코지데이즈,1997,43.35601798524908,46.66,43.35601798524908,3,1837.0,0.4662610132962005,0.0632829368105215,26,100.0,1.0,0.2569104137850272,0.1394
마포구,연남동,헤이븐 연남,1985,43.32961964105766,85.12,43.32961964105766,18,15908.0,0.0954320677884562,0.0123352195841581,45,95.6,1.0,0.3619071337690345,0.4289
마포구,연남동,제이케이하우스,1974,43.315298063773525,61.1,43.315298063773525,7,924.0,0.4209385020982947,0.0655950137580702,23,65.2,0.12,0.2277232125732343,0.4483
마포구,연남동,더 어반 게스트하우스,1988,43.30349276052118,74.65,43.30349276052118,15,7909.0,0.2024072933827726,0.0263305816837644,42,92.9,0.85,0.7206347640255091,0.4236
마포구,합정동,모던하우스,1993,43.29631959828681,39.32,43.29631959828681,0,0.0,0.2664382306016681,0.0529650375775489,6,90.6,0.18,0.0,0.4148
마포구,연남동,라벤더하우스,1997,43.27994632899198,69.04,43.27994632899198,11,3015.0,0.2438863832193127,0.040985010397985,17,100.0,0.7,0.956771684639724,0.1394
마포구,공덕동,유성스테이,1998,43.25393702457173,35.43,43.25393702457173,1,903.0,0.5436478967867281,0.083399804114794,11,90.9,0.45,0.95265837604503,0.138
마포구,서교동,H.Studio,1997,43.2539101504296,40.24,43.2539101504296,17,28035.0,0.7832270251493179,0.1124027369803168,19,100.0,0.45,2.878233288460517,0.1394
마포구,창전동,신촌연트럴2,1993,43.24178770895102,26.67,43.24178770895102,2,147.0,0.3348092290314784,0.047502716671874,2,100.0,0.12,0.666478933477784,0.4148
마포구,공덕동,미담스테이,2006,43.234149718300216,43.63,43.234149718300216,2,49.0,0.5671214421118996,0.0646937517207453,43,88.4,0.85,0.6554068525770982,0.3919
마포구,동교동,해피나인스,2013,43.22435231014389,40.51,43.22435231014389,9,2772.0,0.4886778343674325,0.070647601922761,29,89.7,0.85,0.8461066750170505,0.1165
마포구,망원동,망원 스테이올,1987,43.21712434760187,62.16,43.21712434760187,5,33611.0,0.2338521196815428,0.0385794493094076,1,100.0,0.18,0.0413852161628543,0.4254
마포구,서교동,더퍼스트홍대스테이101,2002,43.19882882882882,41.86,43.19882882882882,4,1948.0,0.3984444290265276,0.0746381122130493,10,100.0,0.7,0.0,0.1322
마포구,성산동,메종 서울,2023,43.18401305211848,43.95,43.18401305211848,7,417.0,0.4226770623827381,0.0778415345062089,10,80.0,0.35,0.7222471970463863,0.1022
마포구,동교동,MJ 하우스,1993,43.15649490162708,52.09,43.15649490162708,7,8784.0,0.4701658377104443,0.0698299025531328,21,76.2,0.18,0.7232452117172248,0.4148
마포구,연남동,Cozy Studio 202,2014,43.15604491553221,40.09,43.15604491553221,5,1222.0,0.3923220196459694,0.055493679666489,26,100.0,1.0,0.3481138116366987,0.115
