TOT_OA_CD,전체건물수
11030730040005,263
11030730040101,9
11030730040301,10
11030730040401,4
11030730040402,4
11030730040601,1
11030730040602,1
11030730040801,18
11030730040802,9
11030730050001,273
11030730050002,239
11030730050003,221
11030730050004,403
11030730050101,4
11030730050102,2
11030730050103,2
11030730050201,6
11030730050202,2
11030730050301,3
11030730050401,3
11030730050402,3
11030730050403,3
11030730050801,6
11030740010001,323
11030740020001,82
11030740020002,160
11030740020003,148
11030740020004,105
11030740020005,117
11030740020006,84
11030740020007,78
11030740020008,76
11030740020009,32
11030740020101,3
11030740020201,32
11030740020202,31
11030740030001,422
11030740030002,202
11030740030003,241
11030740030004,518
11030740030005,448
11030740030006,34
11030740030007,88
11030740030008,63
11030740030009,147
11030740030010,142
11030740030201,5
11030740030301,3
11030740030302,9
11030740031301,18
11030740031302,7
11030740031401,4
11040520010101,1
11040520010102,19
11040520010103,5
11040520020001,48
11040520020002,96
11040520020003,79
11040520020004,81
11040520020005,73
11040520020006,94
11040520020007,89
11040520020008,94
11040520020009,108
11040520020010,91
11040520020011,43
11040520020012,46
11040520020101,2
11040520020102,8
11040520020103,4
11040520020201,3
11040520020202,4
11040520020203,7
11040520020204,3
11040520020205,4
11040520020301,3
11040520020302,6
11040520020501,6
11040520020601,3
11040520020602,3
11040520020603,6
11040520020701,99
11040520020702,126
11040520020703,109
11040520020801,4
11040540010001,67
11040540010002,139
11040540010003,97
11040540010004,93
11040540010005,129
11040540010006,148
11040540010007,112
11040540010008,146
11040540010009,99
11040540020001,115
11040540020002,281
11040540030001,55
11040540030002,63
11040540030003,76
11040540030004,84
11040540030005,257
11040540030006,202
11040540030007,174
11040540030008,232
11040540030009,44
11040540030010,60
11040540030011,50
11040540030012,33
11040540030201,5
11040540030301,4
11040540030302,7
11040540030401,7
11040540030402,8
11040540030501,13
11040540030601,4
11040540030602,6
11040540030603,6
11040540030604,10
11040540030701,5
11040540030702,5
11040540030801,5
11040540030802,4
11040540031101,2
11040540031102,9
11040540031103,7
11040540031104,5
11040540031105,6
11040550010001,76
11040550010002,27
11040550010003,49
11040550010004,70
11040550010005,39
11040550010006,141
11040550010007,40
11040550010008,56
11040550010009,76
11040550010010,79
11040550010011,45
11040550010012,70
11040550010013,15
11040550010014,59
11040550010015,93
11040550010016,75
11040550010018,23
11040550010019,118
11040550010020,77
11040550010021,65
11040550010022,44
11040550010101,13
11040550010201,8
11040550020001,156
11040550020002,38
11040550020003,50
11040560010001,111
11040560010101,8
11040560010102,10
11040560010201,7
11040560010301,5
11040560020001,91
11040560020002,55
11040560020003,78
11040560020004,132
11040560020005,72
11040560020006,51
11040560030001,343
11040560030002,292
11040560030101,7
11040560030102,6
11040560030103,6
11040560030104,5
11040560030105,7
11040560030106,3
11040560030107,4
11040560030108,5
11040560030301,5
11040560030302,7
11040560030303,8
11040560030304,14
11040560030305,17
11040560030306,37
11040570010001,126
11040570010002,5
11040570010003,44
11040570010004,15
11040570010005,56
11040570010006,30
11040570010101,7
11040570010102,4
11040570010103,3
11040570010201,4
11040570010202,5
11040570010203,4
11040570010301,4
11040570010302,5
11040570010303,7
11040570010304,4
11040570010305,4
11040570010306,5
11040570010307,4
11040570010308,8
11040570010309,6
11040570010310,8
11040570010311,3
11040570010312,7
11040570010313,2
11040570010401,4
11040570010402,3
11040570010403,3
11040570010404,12
11040570010405,6
11040570010406,3
11040570010407,2
11040570010408,10
11040570010409,4
11040570010410,3
11040570010411,8
11040570010412,7
11040570010413,4
11040570010414,2
11040570010415,3
11040570010416,2
11040570010417,3
11040570010418,3
11040570010501,6
11040570010601,4
11040570010602,2
11040580010001,112
11040580010002,102
11040580010004,51
11040580010005,50
11040580010006,40
11040580010007,24
11040580010008,58
11040580010009,32
11040580010010,1
11040580010101,8
11040580010102,4
11040580010201,6
11040580010202,4
11040580010203,7
11040580010204,4
11040580010205,2
11040580010206,6
11040580010301,4
11040580010302,4
11040580010303,4
11040580010401,3
11040580010402,9
11040580010403,5
11040580010501,5
11040580010502,3
11040580010601,2
11040580010602,6
11040580010603,7
11040580010604,4
11040580010605,3
11040590010001,98
11040590010002,20
11040590010101,5
11040590010102,6
11040590010103,9
11040590010201,6
11040590010202,4
11040590010203,3
11040590010204,1
11040590010205,1
11040590010206,3
11040590010207,4
11040590010208,5
11040590010209,4
11040590010210,5
11040590010211,15
11040590010212,6
11040590010213,2
11040590020001,47
11040590020002,119
11040590020003,43
11040590020004,22
11040590020005,54
11040590020101,10
11040590020201,7
11040590020202,2
11040590020203,15
11040590020204,7
11040590020205,9
11040590020206,3
11040620010001,112
11040620010002,152
11040620010003,118
11040620010004,91
11040620010005,135
11040620010006,91
11040620010007,71
11040620010101,7
11040620010301,6
11040620010302,5
11040620010303,7
11040620010304,5
11040620010305,2
11040620010306,4
11040620010307,8
11040620010308,4
11040620010401,11
11040620010402,11
11040620010403,6
11040620010404,8
11040620010501,3
11040620010503,7
11040620010701,12
11040620010901,12
11040620010902,13
11040620010903,7
11040650010001,221
11040650010002,61
11040650010003,174
11040650010004,142
11040650010005,95
11040650010006,64
11040650010007,166
11040650010008,99
11040650010009,141
11040650010010,48
11040650010011,122
11040650010012,109
11040650010013,71
11040650010014,67
11040650010101,6
11040650010102,6
11040650010103,5
11040650010201,1
11040650010202,2
11040650010301,1
11040650010401,3
11040650010402,6
11040650010501,4
11040650010502,6
11040650010601,6
11040650010701,5
11040650010801,3
11040650010901,2
11040650011001,9
11040650011002,18
11040660010001,105
11040660010002,53
11040660010003,173
11040660010004,93
11040660010005,94
11040660010006,57
11040660010007,72
11040660010008,55
11040660010101,5
11040660010102,4
11040660010103,2
11040660010104,7
11040660010201,2
11040660010202,6
11040660010301,5
11040660010401,4
11040660010402,3
11040660010601,11
11040660020001,114
11040660020002,310
11040660020003,207
11040660020004,203
11040660020005,122
11040660020101,3
11040660020201,5
11040670010001,59
11040670010002,101
11040670010003,51
11040670010004,90
11040670010005,56
11040670010006,163
11040670010007,67
11040670010008,107
11040670010009,212
11040670010010,108
11040670010011,96
11040670010012,96
11040670010013,81
11040670010014,41
11040670010015,76
11040670010016,120
11040670010017,101
11040670010018,99
11040670010019,53
11040670010020,76
11040670010021,81
11040670010022,65
11040670010101,5
11040670010301,5
11040670010401,9
11040670010501,4
11040670010701,3
11040670010801,5
11040670011001,6
11040670011002,2
11040680010001,233
11040680010002,242
11040680010003,164
11040680010004,53
11040680010005,39
11040680010006,143
11040680010007,88
11040680010008,1
11040680010009,93
11040680010010,150
11040680010011,70
11040680010012,283
11040680010013,100
11040680010201,6
11040680010202,9
11040680010203,7
11040680010204,7
11040680010401,5
11040680010402,3
11040680010403,4
11040680010501,7
11040680010601,3
11040680010701,1
11040690010001,67
11040690010002,80
11040690010003,64
11040690010004,63
11040690010005,76
11040690010006,63
11040690010007,71
11040690010008,65
11040690010009,72
11040690010010,81
11040690010011,59
11040690010012,43
11040690010013,88
11040690010014,38
11040690010015,90
11040690010016,66
11040690010017,60
11040690010101,3
11040690010102,5
11040690010201,10
11040700010001,60
11040700010002,24
11040700010003,22
11040700010004,297
11040700010005,67
11040700010006,83
11040700010007,49
11040700010008,67
11040700010009,68
11040700010010,89
11040700010011,11
11040700010012,77
11040700010013,593
11040700010014,52
11040700010015,56
11040700010016,56
11040700010017,52
11040700010018,52
11040700010019,64
11040700010020,80
11040700010021,19
11040700010022,74
11040700010023,57
11040700010024,47
11040700010025,48
11040700010026,25
11040700010027,59
11040700010028,14
11040700010301,4
11040710010001,113
11040710010002,74
11040710010003,103
11040710010004,101
11040710010005,65
11040710010006,89
11040710010007,22
11040710010008,46
11040710010009,64
11040710010010,98
11040710010011,77
11040710010012,83
11040710010013,78
11040710010014,90
11040710010015,34
11040710010016,93
11040710010017,32
11040710010020,17
