iter	Passed	Remaining
916	60515	58271
917	60576	58201
918	60627	58120
919	60680	58042
920	60735	57965
921	60794	57892
922	60844	57812
923	60892	57729
924	60945	57651
925	61003	57578
926	61059	57502
927	61134	57445
928	61198	57377
929	61250	57298
930	61301	57219
931	61377	57162
932	61466	57118
933	61519	57040
934	61570	56960
935	61627	56887
936	61692	56820
937	61752	56748
938	61814	56679
939	61876	56610
940	61934	56537
941	61985	56458
942	62036	56378
943	62086	56298
944	62172	56251
945	62232	56180
946	62286	56104
947	62390	56072
948	62449	56000
949	62507	55927
950	62558	55849
951	62608	55768
952	62663	55693
953	62717	55617
954	62770	55540
955	62822	55462
956	62882	55391
957	62935	55315
958	62986	55236
959	63044	55163
960	63104	55093
961	63185	55040
962	63257	54980
963	63308	54902
964	63357	54822
965	63406	54742
966	63496	54697
967	63564	54633
968	63617	54557
969	63674	54484
970	63736	54415
971	63792	54341
972	63842	54263
973	63893	54184
974	63951	54112
975	64002	54035
976	64053	53957
977	64121	53893
978	64200	53838
979	64251	53761
980	64303	53684
981	64354	53607
982	64421	53542
983	64479	53470
984	64596	53447
985	64648	53371
986	64709	53301
987	64763	53226
988	64815	53149
989	64866	53072
990	64947	53019
991	65003	52946
992	65063	52876
993	65122	52805
994	65185	52738
995	65238	52662
996	65291	52587
997	65343	52510
998	65398	52436
999	65449	52359
1000	65550	52322
1001	65636	52273
1002	65689	52197
1003	65746	52125
1004	65798	52049
1005	65848	51971
1006	65905	51899
1007	65956	51822
1008	66006	51745
1009	66057	51668
1010	66116	51598
1011	66170	51524
1012	66222	51448
1013	66275	51373
1014	66337	51305
1015	66387	51227
1016	66444	51156
1017	66529	51106
1018	66600	51045
1019	66728	51027
1020	66782	50953
1021	66834	50877
1022	66897	50810
1023	66948	50734
1024	67009	50665
1025	67080	50604
1026	67144	50537
1027	67195	50461
1028	67284	50414
1029	67368	50362
1030	67454	50312
1031	67526	50251
1032	67722	50283
1033	67806	50231
1034	67868	50163
1035	67930	50095
1036	67993	50028
1037	68070	49970
1038	68133	49903
1039	68198	49837
1040	68281	49784
1041	68366	49732
1042	68508	49722
1043	68579	49660
1044	68648	49598
1045	68704	49524
1046	68904	49556
1047	69056	49551
1048	69129	49491
1049	69188	49420
1050	69249	49350
1051	69323	49290
1052	69537	49330
1053	69605	49265
1054	69673	49200
1055	69739	49134
1056	69804	49067
1057	69869	49000
1058	69935	48935
1059	70008	48873
1060	70070	48805
1061	70132	48736
1062	70209	48677
1063	70314	48638
1064	70414	48595
1065	70495	48540
1066	70624	48516
1067	70729	48477
1068	70802	48415
1069	70864	48346
1070	70927	48278
1071	70979	48202
1072	71035	48129
1073	71096	48059
1074	71155	47988
1075	71208	47913
1076	71258	47836
1077	71308	47759
1078	71446	47741
1079	71576	47717
1080	71742	47717
1081	71861	47686
1082	71933	47623
1083	72000	47557
1084	72058	47485
1085	72120	47416
1086	72182	47347
1087	72233	47270
1088	72283	47193
1089	72334	47116
1090	72404	47052
1091	72457	46977
1092	72506	46900
1093	72567	46830
1094	72619	46754
1095	72872	46808
1096	72948	46748
1097	73078	46722
1098	73168	46670
1099	73220	46595
1100	73274	46520
1101	73326	46444
1102	73391	46377
1103	73443	46301
1104	73494	46225
1105	73558	46157
1106	73610	46081
1107	73663	46006
1108	73778	45970
1109	73831	45895
1110	73949	45860
1111	74113	45854
1112	74166	45779
1113	74220	45704
1114	74276	45631
1115	74335	45560
1116	74385	45483
1117	74438	45408
1118	74492	45334
1119	74550	45262
1120	74601	45186
1121	74654	45112
1122	74704	45035
1123	74765	44965
1124	74817	44890
1125	74896	44831
1126	75041	44811
1127	75115	44749
1128	75178	44680
1129	75242	44612
1130	75304	44543
1131	75372	44477
1132	75424	44402
1133	75475	44326
1134	75531	44254
1135	75581	44178
1136	75634	44103
1137	75684	44027
1138	75743	43956
1139	75792	43880
1140	75842	43803
1141	75894	43729
1142	75998	43683
1143	76051	43609
1144	76161	43568
1145	76228	43502
1146	76285	43429
1147	76341	43357
