구,위도,경도,위험점수_AHP,소방위험도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
중구,37.56414615,126.99675538,41.03,0.1787,42,64.3,0.6087088614133708,20.0,0.1694,14.89
중구,37.56394721,127.02058063,45.52,0.2029,47,89.4,1.4319548452276067,3.0,0.1494,8.33
중구,37.55907589,126.9921215,15.57,0.129,12,41.7,0.0285363072649343,39.0,0.1065,25.93
중구,37.55355582,126.96738568,35.72,0.3471,27,63.0,0.5933967777928858,5.0,0.1079,0.0
중구,37.55514884,126.98432696,20.04,0.1607,0,0.0,2.0880996044229505,7.0,0.4272,0.0
중구,37.55807414,126.99051213,0.0,0.0918,0,0.0,0.6931471805599453,9.0,0.1094,50.0
중구,37.56352003,127.00356135,37.53,0.3842,12,66.7,0.3220202100326725,39.0,0.1094,21.95
중구,37.55715446,126.97870364,28.27,0.1867,41,75.6,0.2297880940328783,6.0,0.1094,41.67
중구,37.55861521,126.98619248,16.81,0.1198,24,79.2,0.8695457190507778,9.0,0.1136,72.73
중구,37.56322588,127.00182446,45.9,0.3564,22,86.4,0.780879174428781,9.0,0.1265,28.12
중구,37.56094517,127.00596078,47.11,0.3873,32,81.2,2.688099414682861,25.0,0.1237,25.0
중구,37.56206664,127.0089649,41.36,0.2685,24,58.3,0.9088557533866368,9.0,0.1523,50.0
중구,37.55844079,126.97613718,29.18,0.2774,10,50.0,0.8166206081401566,20.0,0.1122,68.29
중구,37.563663,127.00109712,43.7,0.3287,41,80.5,0.5931547759524908,7.0,0.1122,0.0
중구,37.55888617,126.99138527,27.1,0.1065,2,0.0,0.3039956479433046,9.0,0.1422,57.14
중구,37.56160377,126.98318249,38.43,0.1658,14,57.1,1.3130221600135648,15.0,0.4518,73.08
중구,37.56217058,126.98426358,37.59,0.1947,26,73.1,2.1351521486938414,6.0,0.1422,0.0
중구,37.55952462,126.98113677,20.79,0.1153,6,0.0,0.9245514488815216,8.0,0.1122,0.0
중구,37.55587082,126.98398358,12.8,0.129,0,0.0,2.6556884490078847,34.0,0.1408,76.0
중구,37.56030545,127.00475169,57.73,0.4244,25,80.0,0.4660897299245992,6.0,0.1451,75.0
중구,37.56589354,127.00694427,34.72,0.2112,8,75.0,2.502938151671187,30.0,0.1408,48.0
중구,37.5615963,126.99013673,17.43,0.122,25,48.0,0.6931471805599453,20.0,0.1108,0.0
