사용승인일자,화재조기진압용스프링클러(H)설치여부,건축물일련번호,스프링클러(AV)설치여부,주소,시도명,시군구명,읍면동명,스프링클러(H)설치여부,화재조기진압용스프링클러(AV)설치여부,간이스프링클러(H)설치여부,대상물명,간이스프링클러(AV)설치여부,지번주소_매칭,도로명주소_매칭,매칭건물명,매칭건축물대장PK,매칭소스,매칭방식,매칭점수
19610305,N,11000000001836,N,서울특별시 중구 신당동,서울특별시,중구,신당동,N,N,N,중앙장여관,N,경기 이천시 장호원읍 장호원리 140-15,경기 이천시 장호원읍 샘재로145번길 6,중앙장여관,,kakao_keyword,kakao_keyword,10.0
19951214,N,11000000001860,N,서울특별시 중구 필동1가,서울특별시,중구,필동1가,N,N,N,로카하우스,N,서울 중구 필동1가 10-6,서울 중구 퇴계로31길 9,로카하우스 충무로2호점,,kakao_keyword,kakao_keyword,11.93
19610520,N,11000000001881,N,서울특별시 종로구 숭인동,서울특별시,종로구,숭인동,N,N,N,영진여관,N,서울특별시 종로구 숭인동 1126번지,서울특별시 종로구 보문로1길 7-22 (숭인동),영진,100215517,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.45
19610601,N,11000000001886,N,서울특별시 중구 충무로1가,서울특별시,중구,충무로1가,N,N,N,왕비집명동3호(보경빌딩),N,,,,,,,0.0
19660619,N,11000000001932,N,서울특별시 마포구 염리동,서울특별시,마포구,염리동,N,N,N,호성여관,N,서울특별시 마포구 염리동 8-55번지,서울특별시 마포구 대흥로30길 23 (염리동),호성여관,1015112259,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19611201,N,11000000001972,N,서울특별시 중구 충무로2가,서울특별시,중구,충무로2가,N,N,N,두레세계(남일빌딩),N,,,,,,,0.0
19690809,N,11000000001982,N,서울특별시 용산구 용산동2가,서울특별시,용산구,용산동2가,N,N,N,덕성모텔 덕성여관,N,,,,,,,0.0
19611220,N,11000000001983,N,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,N,N,N,사바모텔,N,,,,,,,0.0
19671225,N,11000000002039,N,서울특별시 중구 남대문로5가,서울특별시,중구,남대문로5가,N,N,N,호텔릿,N,서울특별시 중구 남대문로5가 575번지,서울특별시 중구 후암로60길 11 (남대문로5가),호텔릿(Hotelette),100313612,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19650930,N,11000000002074,N,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동,N,N,N,호스텔토미,N,서울특별시 종로구 와룡동 68번지,서울특별시 종로구 돈화문로 66 (와룡동),Hostel Tommy 호스텔 토미,100214935,통합숙박시설표제부0414.csv,hospitality_fuzzy_name_address,14.36
19620414,N,11000000002075,N,서울특별시 용산구 한남동,서울특별시,용산구,한남동,N,N,N,화신여관,N,대구 서구 비산동 152-13,대구 서구 달성공원로5길 9-1,화신여관,,kakao_keyword,kakao_keyword,10.0
19620502,N,11000000002092,N,서울특별시 중구 남산동2가,서울특별시,중구,남산동2가,N,N,N,호텔 명동역,N,서울특별시 중구 남산동2가 8-1번지,서울특별시 중구 퇴계로18길 13 (남산동2가),호텔 명동역,100315488,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19621001,N,11000000002162,N,서울특별시 중구 산림동,서울특별시,중구,산림동,N,N,N,상원장,N,서울특별시 중구 산림동 76-2번지,서울특별시 중구 창경궁로5가길 27 (산림동),상원장,1003113788,통합숙박시설표제부0414.csv,hospitality_exact_name_gu_dong,100.0
19630506,N,11000000002165,N,서울특별시 종로구 당주동,서울특별시,종로구,당주동,N,N,N,광화장여관,N,,,,,,,0.0
19621201,N,11000000002232,N,서울특별시 중구 을지로5가,서울특별시,중구,을지로5가,N,N,N,뉴천지관광호텔,N,서울특별시 중구 을지로5가 133-1번지,서울특별시 중구 을지로38길 20 (을지로5가),뉴천지관광호텔,1003111884,등기부등본_표제부_중구.csv,exact_name_gu_dong,100.0
