구,위도,경도,위험점수_AHP,소방접근성_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,구조_노후_통합점수,상업비율(%)
중구,37.56195615,126.97553552,63.01,0.6015,3,66.7,2.1118068261818674,11.97,0.1922,85.71
중구,37.56189383,126.9844402,40.37,0.792,28,85.7,2.0163512467186298,6.0,0.1322,73.47
중구,37.56347491,127.00124884,59.42,0.6265,49,73.5,0.6879433526849182,7.0,0.1565,66.67
중구,37.55930346,126.97797124,30.4,0.759,15,66.7,0.123132685403624,7.0,0.1136,0.0
중구,37.56586745,126.99740093,61.4,0.714,21,100.0,1.9250905212729232,3.0,0.1823,0.0
중구,37.56418691,126.9872883,26.72,0.7255,3,100.0,0.752336051950276,39.0,0.1136,14.81
중구,37.55856041,126.98658709,43.32,0.891,27,66.7,0.7798304197287472,3.0,0.1794,0.0
중구,37.55605441,126.98563136,25.87,0.839,0,0.0,0.0,7.0,0.1565,68.42
중구,37.56145726,126.98456352,45.61,0.814,19,68.4,1.7510884294971272,15.0,0.1794,100.0
중구,37.55618747,126.98405523,31.17,0.8795,1,100.0,2.128231705849268,34.0,0.1594,33.33
중구,37.55655506,126.98441998,21.84,0.8925,3,66.7,1.845368919833436,9.0,0.1194,26.32
중구,37.56374548,127.00581237,48.71,0.667,19,52.6,0.6931471805599453,6.0,0.1551,55.88
중구,37.56629135,127.00045147,62.5,0.5965,34,55.9,0.1177830356563834,9.0,0.1808,59.46
중구,37.56339033,126.99268792,40.27,0.929,37,59.5,0.2993933318726824,2.0,0.1766,0.0
중구,37.55530397,126.98284082,22.72,0.834,3,100.0,0.7282385003712154,38.0,0.1265,40.62
중구,37.56119377,127.00084581,61.51,0.648,32,40.6,0.5643439291313687,12.0,0.4817,44.44
중구,37.5618116,127.00675249,57.88,0.6285,9,44.4,1.0736109864626924,4.0,0.1837,45.83
중구,37.56262124,127.0082658,35.73,0.705,24,50.0,0.4663738611951568,6.0,0.1179,33.33
중구,37.55681031,126.98310837,4.35,0.9185,9,55.6,0.5616258388634469,38.0,0.1,0.0
중구,37.56106147,126.97459289,35.97,0.5865,2,50.0,1.3293120501244582,9.0,0.1011,71.43
중구,37.56101578,126.9799895,46.6,0.7895,7,71.4,1.3237147044676525,7.0,0.1766,15.69
중구,37.56418869,127.0203495,50.34,0.782,51,66.7,1.6453061451866118,3.0,0.158,25.0
중구,37.55663789,126.9831709,6.12,0.909,4,75.0,0.2089589163222533,38.0,0.1,33.33
중구,37.5557044,126.97785909,39.59,0.7215,3,66.7,1.3516741604732871,34.0,0.1652,42.11
중구,37.56011013,126.98486327,41.61,0.876,19,42.1,1.7645098267806796,9.0,0.1866,69.23
중구,37.56386326,127.00211965,44.02,0.5845,26,69.2,0.8946039777841406,9.0,0.1079,33.33
중구,37.56189911,126.98190996,18.14,0.789,6,33.3,5.676753802268282,39.0,0.105,0.0
중구,37.56571746,127.0106231,38.28,0.9035,4,75.0,2.25044254165524,11.0,0.4535,22.22
중구,37.56535668,126.99747477,56.22,0.7315,9,77.8,1.2918251737361308,3.0,0.188,0.0
중구,37.55941767,126.98975855,39.32,0.959,3,100.0,1.6193781504839415,9.0,0.1851,14.29
중구,37.56263589,127.00240658,27.56,0.5825,7,42.9,0.3809454909338458,39.0,0.1036,31.82
중구,37.56263015,127.00804487,43.28,0.6995,22,59.1,0.4102843945441133,6.0,0.1408,14.29
중구,37.56042879,126.98317648,45.52,0.88,7,57.1,1.155343917473199,2.0,0.48,0.0
중구,37.55609169,126.98541188,18.09,0.847,0,0.0,0.0425596144187959,7.0,0.1308,36.0
중구,37.56332856,127.01860099,48.18,0.8385,25,48.0,0.2986770404591526,8.0,0.9051,0.0
중구,37.56555219,126.97585864,69.15,0.4795,2,100.0,0.041672696400568,10.59,0.1766,0.0
중구,37.55956061,126.97310353,42.05,0.5455,3,100.0,0.3113518165376857,26.0,0.1108,100.0
중구,37.55884724,126.97618148,34.07,0.6855,3,100.0,1.0595929651036675,20.0,0.1094,4.76
중구,37.56088977,127.00776838,46.12,0.6125,21,95.2,0.6931471805599453,3.0,0.1094,58.06
중구,37.56466188,127.00107824,37.52,0.615,31,58.1,0.9496384970203852,20.0,0.105,35.71
중구,37.56131454,127.01446136,37.33,0.7985,28,46.4,0.6554068525770982,8.0,0.148,0.0
중구,37.55599413,126.98473806,11.94,0.858,0,0.0,1.13560085803745,34.0,0.1337,0.0
중구,37.55945274,126.99012549,43.98,0.944,1,100.0,1.519252194795509,9.0,0.4817,54.55
중구,37.5614873,126.9924598,33.61,0.9585,22,54.5,0.0994449297057108,6.0,0.4535,56.0
중구,37.5646535,127.00666628,58.05,0.7245,25,56.0,1.8674258023017924,4.0,0.4712,28.57
중구,37.56281707,127.001911,47.89,0.6035,14,35.7,0.1943595353534336,39.0,0.1808,0.0
중구,37.55926806,126.98767512,25.72,0.939,4,50.0,0.481258947477698,34.0,0.1823,26.67
중구,37.56647742,127.02231807,41.67,0.686,15,46.7,0.1725257551322526,6.0,0.1422,48.0
중구,37.55608468,126.96814345,64.88,0.5015,25,48.0,1.1301819904368455,28.0,0.3278,16.67
중구,37.5583226,126.98161125,43.09,0.926,24,79.2,0.3457963134963362,8.0,0.6113,100.0
중구,37.55960572,126.97683678,58.28,0.7065,14,100.0,0.5684437020589881,3.0,0.1794,0.0
중구,37.55898959,126.98911126,35.1,0.9955,3,66.7,2.841286274533761,20.0,0.4817,0.0
중구,37.55981918,126.98998281,22.01,0.9365,2,100.0,1.3201915862543043,39.0,0.1494,0.0
중구,37.55543671,126.97494606,54.16,0.62,6,100.0,0.6931471805599453,39.0,0.4606,0.0
중구,37.55987697,126.99371678,28.36,0.8705,2,100.0,1.0543572796640688,9.0,0.1265,0.0
중구,37.56491356,126.98031531,52.96,0.608,2,50.0,0.0714589639821449,15.0,0.178,0.0
중구,37.55927368,126.98753085,4.4,0.933,4,50.0,0.4909442532121617,34.0,0.105,59.38
중구,37.56344317,126.99317659,50.83,0.926,32,59.4,0.3669189783089517,20.0,0.6692,0.0
중구,37.55847797,126.99426166,47.89,0.789,2,100.0,0.0266682470821613,12.0,0.1823,0.0
중구,37.56006354,126.98895997,16.47,0.9395,3,66.7,0.0386148361277795,40.0,0.1509,59.26
중구,37.56590912,126.99838824,44.2,0.681,27,59.3,0.6931471805599453,9.0,0.138,0.0
중구,37.56112681,126.97475999,35.25,0.592,2,50.0,1.0620228412358177,9.0,0.1011,28.77
중구,37.56738069,127.02003395,34.9,0.757,73,50.7,0.0281312502503589,5.0,0.1,0.0
중구,37.55986394,126.98891523,8.59,0.9505,4,50.0,0.2647841083585263,9.0,0.1011,0.0
중구,37.56027363,126.98140792,24.01,0.861,0,0.0,1.4455626827148471,39.0,0.1808,11.11
중구,37.55896817,126.98192631,18.27,0.9285,9,88.9,0.5121362399431111,4.0,0.1036,28.57
중구,37.55934315,126.98332654,38.93,0.94,7,57.1,1.1668880572200644,13.0,0.2009,0.0
중구,37.55561712,126.98432036,25.46,0.8455,0,0.0,2.677441572623574,7.0,0.4148,0.0
중구,37.5530029,126.97995879,25.55,0.7585,0,0.0,0.0192578166044145,22.0,0.42,0.0
중구,37.56283151,126.98864042,18.27,0.806,2,100.0,0.4075593497112791,39.0,0.1065,33.33
중구,37.56414615,126.99675538,40.81,0.798,42,33.3,0.6087088614133708,20.0,0.1694,14.89
중구,37.56394721,127.02058063,48.84,0.7695,47,74.5,1.4319548452276067,3.0,0.1494,8.33
중구,37.55907589,126.9921215,10.34,0.8625,12,58.3,0.0285363072649343,39.0,0.1065,25.93
중구,37.55355582,126.96738568,39.06,0.6115,27,37.0,0.5933967777928858,5.0,0.1079,0.0
중구,37.55514884,126.98432696,29.37,0.8205,0,0.0,2.0880996044229505,7.0,0.4272,0.0
중구,37.55807414,126.99051213,7.24,0.9165,0,0.0,0.6931471805599453,9.0,0.1094,50.0
중구,37.56352003,127.00356135,31.43,0.574,12,50.0,0.3220202100326725,39.0,0.1094,21.95
중구,37.55715446,126.97870364,30.28,0.789,41,53.7,0.2297880940328783,6.0,0.1094,41.67
중구,37.55861521,126.98619248,20.88,0.8745,24,41.7,0.8695457190507778,9.0,0.1136,72.73
중구,37.56322588,127.00182446,47.45,0.604,22,72.7,0.780879174428781,9.0,0.1265,28.12
중구,37.56094517,127.00596078,46.4,0.569,32,53.1,2.688099414682861,25.0,0.1237,25.0
중구,37.56206664,127.0089649,44.79,0.6955,24,41.7,0.9088557533866368,9.0,0.1523,50.0
중구,37.55844079,126.97613718,29.73,0.685,10,50.0,0.8166206081401566,20.0,0.1122,68.29
중구,37.563663,127.00109712,44.49,0.631,41,68.3,0.5931547759524908,7.0,0.1122,0.0
중구,37.55888617,126.99138527,30.09,0.895,2,100.0,0.3039956479433046,9.0,0.1422,57.14
중구,37.56160377,126.98318249,41.61,0.8145,14,57.1,1.3130221600135648,15.0,0.4518,73.08
