"X좌표","Y좌표","위도","경도","대지위치","시군구코드","법정동코드","대지구분코드","번","지","사업장명","관리건축물대장PK","도로명대지위치","연면적(㎡)","건축면적","구조코드","기타구조","주용도코드","기타용도","지상층수","지하층수","총층수","사용승인일","허가일","승용승강기수","비상용승강기수","내진설계적용여부","소방청_매칭상태","소방청_스프링클러(AV)설치여부","소방청_간이스프링클러(AV)설치여부","소방청_대상물명","소방청_지번주소_매칭","소방청_도로명주소_매칭","소방청_매칭방식","소방청_매칭점수","용적률","건폐률"
"200171.935816725","451444.246421136","37.56253058","127.00194604","서울특별시 중구 오장동 181-4번지","11140","15400","0","181","4","베이튼호텔","10031100215993","서울특별시 중구 동호로 346 (오장동)","5769.68","250.855652","21.0","철근콘크리트구조","15000","숙박시설(관광숙박시설)","20","3","23","20140903.0","20121016.0","0","2","1.0","이름+주소일치","N","N","베이튼호텔","서울특별시 중구 오장동 181-4번지","서울특별시 중구 동호로 346 (오장동)","hospitality_exact_name_gu_dong","100.0","1056.1","54.47"
"200701.142404743","451316.536804153","37.56137967","127.00793569","서울특별시 중구 광희동2가 238-1번지","11140","14600","0","238","1","맹그로브 동대문","10031100216093","서울특별시 중구 퇴계로 334 (광희동2가)","5967.01","314.053158","21.0","철근콘크리트구조","15000","관광호텔","16","3","19","20140919.0","20120830.0","2","1","1.0","이름+주소일치","Y","N","맹그로브 동대문(구.이비스버젯앰배서더동대문호텔)","서울특별시 중구 광희동2가 238-1번지","서울특별시 중구 퇴계로 334 (광희동2가)","exact_name_gu_dong","100.0","750.43","54.84"
"198113.370663648","451483.299976911","37.56288054","126.97864626","서울특별시 중구 을지로1가 188-3번지","11140","10400","0","188","3","프레지던트호텔","100311621","서울특별시 중구 을지로 16 (을지로1가)","37527.31","1250.910333","21.0","철근콘크리트","15000","숙박시설, 관람집회시설, 근린생활시설, 문화및집회시설, 업무시설, 위락시설","27","3","30","19710922.0","","8","0","0.0","불일치","","","","","","","","1930.64","90.53"
"198717.824491651","450932.964839778","37.55792308","126.98548871","서울특별시 중구 남산동2가 1-1번지","11140","12900","0","1","1","서울프린스호텔","100315475","서울특별시 중구 퇴계로 130 (남산동2가)","4336.63","333.586923","21.0","철근콘크리트조","15000","숙박시설, 근린생활시설, 위락시설","12","1","13","19611210.0","","0","0","0.0","주소만일치","N","N","프린스호텔","서울특별시 중구 남산동2가 1-1번지","서울특별시 중구 퇴계로 130 (남산동2가)","fuzzy_name_address","16.56","1053.4","88.83"
"198000.967176821","451745.025547093","37.56523844","126.97737331","서울특별시 중구 태평로1가 29-1번지","11140","10300","0","29","1","뉴서울호텔","100311527","서울특별시 중구 세종대로22길 16 (태평로1가)","9429.53","523.862778","21.0","철근콘크리트","15000","호텔","16","2","18","19691017.0","","2","1","0.0","이름+주소일치","Y","N","뉴서울호텔","서울특별시 중구 태평로1가 29-1번지","서울특별시 중구 세종대로22길 16 (태평로1가)","hospitality_exact_name_gu_dong","100.0","1497.92","94.74"
"198172.151119488","451350.969223428","37.56168836","126.97931189","서울특별시 중구 소공동 87-1번지","11140","11100","0","87","1","(주)조선호텔앤리조트","100312073","서울특별시 중구 소공로 106 (소공동)","46858.75","2342.9375","21.0","철근콘크리트조, 철골조","15000","관광숙박시설(관광호텔), 근린생활시설, 업무시설","18","2","20","19700224.0","","4","1","0.0","주소만일치","Y","N","신세계조선호텔(구.웨스틴조선호텔)","서울특별시 중구 소공동 87-1번지","서울특별시 중구 소공로 106 (소공동)","exact_name_gu_dong","100.0","372.5","54.85"
"199550.506270874","451392.219693582","37.56206173","126.99491248","서울특별시 중구 인현동1가 2-35번지","11140","16000","0","2","35","호텔 PJ","1003114413","서울특별시 중구 마른내로 71 (인현동1가)","27504.55","2500.413636","21.0","철근콘크리트조","15000","호텔, 근린생활시설, 업무, 운동, 위락, 판매","10","1","11","19811231.0","","6","1","0.0","불일치","","","","","","","","456.73","58.02"
"200625.524648469","451359.906142005","37.56177049","127.00707987","서울특별시 중구 광희동2가 14-1번지","11140","14600","0","14","1","토요코인 서울 동대문 Ⅱ","10031100230942","서울특별시 중구 퇴계로 325 (광희동2가)","4699.22","223.772381","21.0","철근콘크리트구조","15000","관광숙박시설","20","1","21","20181109.0","20131206.0","0","2","1.0","주소만일치","Y","N","토요코인호텔(동대문2호점)","서울특별시 중구 광희동2가 14-1번지","서울특별시 중구 퇴계로 325 (광희동2가)","fuzzy_name_address","16.57","968.88","53.01"
"199957.659044118","451651.967315334","37.56440216","126.99952076","서울특별시 중구 주교동 258번지","11140","15200","0","258","0","포레스트 스테이 을지로","1003112274","서울특별시 중구 을지로33길 6 (주교동)","817.59","163.518","21.0","철근콘크리트","04000","근린생활시설, 숙박시설","4","1","5","19891201.0","","0","0","0.0","불일치","","","","","","","","213.09","63.99"
"198608.927223501","450707.580510567","37.55589221","126.98425667","서울특별시 중구 남산동2가 37-2번지","11140","12900","0","37","2","JEJARI STAY","100315649","서울특별시 중구 소공로6길 35 (남산동2가)","1978.0","282.571429","21.0","철근콘크리트","04000","근린생활시설","5","2","7","19870501.0","19860528.0","1","0","0.0","주소만일치","Y","N","남문빌딩(남산회관)","서울특별시 중구 남산동2가 37-2번지","서울특별시 중구 소공로6길 35 (남산동2가)","exact_name_gu_dong","100.0","220.53","52.89"
