인덱스,보정_X,보정_Y,반경_50m_건물수,주택_수,상업_수,숙박_수,사무_수,기타_수,밀집도,주요_시설군,집중도(%)
2529.0,202563.6697916628,551241.4840081569,67,44,9,0,0,14,67개,주택,65.7
2530.0,204335.58566666805,548833.9423333333,44,33,6,0,0,5,44개,주택,75.0
2531.0,202985.06683232027,551131.0625979672,10,2,6,0,0,2,10개,상업,60.0
2532.0,204631.2412378305,548366.6005340507,1,0,1,0,0,0,1개,상업,100.0
2533.0,202683.3643303431,551572.5404514687,35,10,12,0,0,13,35개,기타,37.1
2534.0,202806.16345017895,551292.264617682,65,33,7,0,0,25,65개,주택,50.8
2535.0,204343.65292154936,548768.9556275057,39,10,18,0,0,11,39개,상업,46.2
2536.0,203493.90618841312,549479.39222691,0,0,0,0,0,0,0개,없음,0.0
2537.0,203755.86002972606,549359.7163951017,6,0,0,0,0,6,6개,기타,100.0
2538.0,204085.3096199093,548345.8374882666,0,0,0,0,0,0,0개,없음,0.0
2539.0,204085.44845109232,548572.45869702,0,0,0,0,0,0,0개,없음,0.0
2540.0,204563.9274134117,548480.8357581082,9,3,2,0,0,4,9개,기타,44.4
2541.0,203580.8241365649,549385.7135834771,1,0,0,0,0,1,1개,기타,100.0
2542.0,203763.9409632471,549324.6594768134,6,0,0,0,0,6,6개,기타,100.0
2543.0,202278.35018421037,549768.0047760365,15,0,6,0,0,9,15개,기타,60.0
2544.0,202330.487085955,551310.3213221503,3,2,0,0,0,1,3개,주택,66.7
2545.0,205249.78220539744,548692.3971118019,12,1,3,0,1,7,12개,기타,58.3
2546.0,204263.42900000018,549255.7543333335,19,13,6,0,0,0,19개,주택,68.4
2547.0,202579.85121694478,549999.2624313768,2,2,0,0,0,0,2개,주택,100.0
2548.0,205808.97024714004,549757.6979894988,4,0,1,0,0,3,4개,기타,75.0
2549.0,204080.47627216083,549333.6835310456,4,2,0,0,0,2,4개,주택,50.0
2550.0,201829.06476303868,549947.4836067276,28,20,3,0,0,5,28개,주택,71.4
2551.0,203791.08608887668,549396.7159574452,4,0,0,0,0,4,4개,기타,100.0
2552.0,203539.85029860496,549445.7534615747,0,0,0,0,0,0,0개,없음,0.0
2553.0,202831.90568778585,550233.8783409203,0,0,0,0,0,0,0개,없음,0.0
2554.0,202549.39939316144,551014.5176742374,7,3,1,0,0,3,7개,주택,42.9
2555.0,192764.37041799657,551004.2068065018,8,1,5,0,2,0,8개,상업,62.5
2556.0,192844.56604541864,551332.011646566,27,18,3,0,0,6,27개,주택,66.7
2557.0,193251.8377813571,550668.2694084044,23,4,19,0,0,0,23개,상업,82.6
2558.0,193081.146447617,550921.7010102897,23,9,13,0,1,0,23개,상업,56.5
2559.0,193186.74268337854,551273.3406386627,15,5,9,0,1,0,15개,상업,60.0
2560.0,192703.48633989898,549571.2822291071,6,0,2,0,0,4,6개,기타,66.7
2561.0,193264.29319219227,550964.4018265451,11,1,8,0,0,2,11개,상업,72.7
2562.0,193093.31581002098,550932.4668704321,19,9,9,0,1,0,19개,주택,47.4
2563.0,193598.5667144197,550524.8416820918,25,11,13,0,0,1,25개,상업,52.0
2564.0,191963.32519914527,549789.1373991673,0,0,0,0,0,0,0개,없음,0.0
2565.0,193591.7560555842,550400.9869969059,17,11,6,0,0,0,17개,주택,64.7
2566.0,195346.1065804259,549696.7349128983,3,2,0,0,0,1,3개,주택,66.7
2567.0,192937.1484776451,549330.7030345747,0,0,0,0,0,0,0개,없음,0.0
2568.0,192863.43734984117,550733.561194094,19,12,6,0,1,0,19개,주택,63.2
2569.0,192640.80370711067,550810.441361967,11,6,5,0,0,0,11개,주택,54.5
2570.0,192156.9686882114,550823.4713848236,25,24,1,0,0,0,25개,주택,96.0
2571.0,192878.72212068565,549340.4998366215,0,0,0,0,0,0,0개,없음,0.0
2572.0,190676.85538269556,552805.1505760774,14,13,0,0,0,1,14개,주택,92.9
2573.0,192922.01101358785,551022.9716036877,24,15,9,0,0,0,24개,주택,62.5
2574.0,195047.4639970883,549695.3092218621,34,19,10,0,0,5,34개,주택,55.9
2575.0,193140.4132256145,550127.0929343838,16,0,16,0,0,0,16개,상업,100.0
2576.0,193457.6703767586,550096.713769546,5,0,0,0,0,5,5개,기타,100.0
2577.0,191993.18451520763,549901.2146076447,5,0,2,0,1,2,5개,상업,40.0
2578.0,191521.23310087668,550799.6723103845,43,35,6,0,0,2,43개,주택,81.4
2579.0,193523.76677526446,550441.7780251328,7,2,3,0,2,0,7개,상업,42.9
2580.0,193402.04362399806,550271.3396208959,0,0,0,0,0,0,0개,없음,0.0
2581.0,193749.60106584936,549418.2938830041,4,4,0,0,0,0,4개,주택,100.0
2582.0,192298.09228156708,550717.62921707,20,15,5,0,0,0,20개,주택,75.0
2583.0,192999.48149710894,551059.0217593828,16,5,8,0,2,1,16개,상업,50.0
2584.0,192595.2507402001,549508.9431291699,0,0,0,0,0,0,0개,없음,0.0
2585.0,192194.40744476413,549236.1448660595,0,0,0,0,0,0,0개,없음,0.0
2586.0,192927.6212308496,551566.5176189049,11,2,2,0,0,7,11개,기타,63.6
2587.0,192030.74703286603,549832.4451418137,0,0,0,0,0,0,0개,없음,0.0
2588.0,191339.63955321026,550879.4514662803,29,25,3,0,0,1,29개,주택,86.2
2589.0,192870.19987184214,551070.5970366327,24,20,3,0,1,0,24개,주택,83.3
2590.0,193401.79987294492,550224.5354853818,1,0,0,0,0,1,1개,기타,100.0
2591.0,193421.08070879374,551231.6547854561,34,20,14,0,0,0,34개,주택,58.8
2592.0,193402.37025656254,551234.3601698835,34,20,14,0,0,0,34개,주택,58.8
2593.0,192926.4865005709,550791.5754767943,9,0,6,0,2,1,9개,상업,66.7
2594.0,191598.66092397153,550248.8480585524,27,13,9,0,0,5,27개,주택,48.1
2595.0,191745.13509000966,551761.3294641833,17,15,0,0,0,2,17개,주택,88.2
2596.0,193706.63428595098,550353.2739628769,16,15,0,0,0,1,16개,주택,93.8
2597.0,193703.8761503044,550151.7410935548,0,0,0,0,0,0,0개,없음,0.0
2598.0,192371.65185452293,550166.608162876,6,1,1,0,1,3,6개,기타,50.0
2599.0,193508.57485669665,550591.2127716537,28,13,14,0,0,1,28개,상업,50.0
2600.0,192862.76208048715,550994.546853749,21,11,7,0,1,2,21개,주택,52.4
2601.0,192464.73885472774,550157.4147688779,6,0,1,0,3,2,6개,사무,50.0
2602.0,193749.66652607525,550429.0400795524,25,23,0,0,0,2,25개,주택,92.0
2603.0,193408.56396420443,550520.3458880513,18,8,5,0,0,5,18개,주택,44.4
2604.0,192870.8125313563,550577.2350653046,15,4,9,0,2,0,15개,상업,60.0
2605.0,193043.8742474923,550992.383817527,17,7,9,0,1,0,17개,상업,52.9
2606.0,193313.26449093316,551039.5226923253,25,14,11,0,0,0,25개,주택,56.0
2607.0,193343.4070115226,551018.3426311028,25,7,16,0,0,2,25개,상업,64.0
2608.0,195607.28512065564,548811.9813032968,15,5,6,0,0,4,15개,상업,40.0
2609.0,192733.036280401,550862.4626611568,12,5,5,0,2,0,12개,주택,41.7
2610.0,193177.28990407466,551336.200009207,4,2,2,0,0,0,4개,주택,50.0
2611.0,194684.49648985494,550324.4647064301,3,0,0,0,0,3,3개,기타,100.0
2612.0,192804.12537462797,551002.7940402502,12,3,5,0,2,2,12개,상업,41.7
2613.0,193330.46383630834,551001.7902052457,27,8,18,0,0,1,27개,상업,66.7
