119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
당산119안전센터,서울특별시 영등포구 당산동2가,11000000315666,서울특별시,,당산동2가,,숙박시설,Y,20170922,영등포소방서,따담가족호텔,20171019,Y,N,,446975.9,,,N,190437.55,20170921,영등포구,,,작동점검대상
회현119안전센터,서울특별시 중구 북창동,11000000316563,서울특별시,,북창동,20250812,숙박시설,Y,20171216,중부소방서,토마스명동호텔,20180111,Y,N,,451514.99,,20200820,N,198086.16,20171214,중구,,삼성화재,종합및작동점검대상
종로119안전센터,서울특별시 종로구 돈의동,11000000232896,서울특별시,,돈의동,,숙박시설,Y,20141106,종로소방서,익선아뜨리에(송원텔게스트하우스),19700101,Y,N,,452523.95,,,N,199194.26,,종로구,,,작동점검대상
종로119안전센터,서울특별시 종로구 돈의동,11000000314456,서울특별시,,돈의동,,숙박시설,Y,20170624,종로소방서,호텔더메이,20200221,Y,N,,452186.81,,,N,199111.2,20200205,종로구,,,작동점검대상
종로119안전센터,서울특별시 종로구 낙원동,11000000333497,서울특별시,,낙원동,,숙박시설,Y,20220408,종로소방서,N285호텔(낙원동호텔),20220510,Y,N,,452252.01,,,N,198924.0,20220405,종로구,,,종합점검대상
숭인119안전센터,서울특별시 종로구 숭인동,11000000241390,서울특별시,,숭인동,20200630,숙박시설,Y,20141202,종로소방서,서울앤호텔,20170529,Y,N,,452643.16,,20170630,N,201841.59,20170427,종로구,,DB손해보험,종합점검대상
숭인119안전센터,,11000000092833,서울특별시,N,숭인동,,숙박시설,Y,20040205,종로소방서,신흥여관(팬더호스텔),19980101,N,,N,452819.56,,,,201437.2,,종로구,,,
종로119안전센터,서울특별시 종로구 관수동,11000000228118,서울특별시,,관수동,,숙박시설,Y,20141013,종로소방서,나포레호텔,20141204,Y,,,452158.08,,,N,199177.61,,종로구,,,작동점검대상
회현119안전센터,서울특별시 중구 회현동1가,11000000006030,서울특별시,,회현동1가,20191111,숙박시설,Y,20061221,중부소방서,렉스호텔,19691101,Y,N,,451014.73,,20131112,,198310.37,,중구,호텔렉스,삼성화재,종합및작동점검대상
회현119안전센터,서울특별시 중구 회현동1가,11000000323794,서울특별시,,회현동1가,,숙박시설,Y,20190702,중부소방서,남산스토리나인(구.산마루호스텔),19900821,Y,N,,450368.81,,,N,198269.56,20190702,중구,,,작동점검대상
회현119안전센터,서울특별시 중구 회현동1가,11000000019138,서울특별시,Y,회현동1가,20180302,숙박시설,Y,20040428,중부소방서,"보코서울명동(구,티마크호텔)",19791130,Y,N,,450983.07,,20170301,,198098.4,20160215,중구,티마크그랜드호텔,메리츠,종합및작동점검대상
을지로119안전센터,서울특별시 중구 오장동,11000000016721,서울특별시,N,오장동,,숙박시설,Y,19990224,중부소방서,서린장여관,19780601,N,,N,451558.29,,,,200172.58,,중구,,,
현장대응단,서울특별시 동작구 신대방동,11000000030908,서울특별시,,신대방동,20230726,숙박시설,Y,20000927,동작소방서,탑모텔(영빈장여관),19831124,Y,,,443096.33,,20180726,,192073.08,,동작구,탑모텔,흥국화재,작동점검대상
종로119안전센터,서울특별시 종로구 관수동,11000000336973,서울특별시,,관수동,,숙박시설,Y,20230412,종로소방서,(주)누보홀딩스 건물,20230413,Y,N,,451864.0,,,N,199087.59,20230412,종로구,,,종합점검대상
