시설ID,시설명,시설유형,소방서ID,X좌표,Y좌표,위도,경도,관할구역
1116000,관악소방서,소방서,1100000,195782.973,541606.113,37.4738791,126.9523264,"관악구중 : 봉천동(청룡동, 낙성대동, 인헌동), 신림동(서림동, 삼성동, 대학동), 남현동 / 관악구중 : 신림동(난곡동, 난향동, 미성동, 조원동) / 관악구중 : 봉천동(은천동, 보라매동, 성현동, 청림동, 행운동, 중앙동) / 관악구중 : 신림동(서원동, 신원동, 신사동, 신림동)"
1116102,봉천119안전센터,안전센터/구조대,1116000,194824.205,542949.9,37.4859818,126.9414781,"관악구중 : 봉천동(은천동, 보라매동, 성현동, 청림동, 행운동, 중앙동)"
1116103,신림119안전센터,안전센터/구조대,1116000,193268.282,543372.272,37.4897774,126.9238816,"관악구중 : 신림동(서원동, 신원동, 신사동, 신림동)"
1116104,난곡119안전센터,안전센터/구조대,1116000,192574.929,541814.318,37.4757348,126.9160573,"관악구중 : 신림동(난곡동, 난향동, 미성동, 조원동)"
1116401,관악119안전센터,안전센터/구조대,1116000,195795.965,541622.118,37.4740233,126.9524732,"관악구중 : 봉천동(청룡동, 낙성대동, 인헌동), 신림동(서림동, 삼성동, 대학동), 남현동"
1117000,강서소방서,소방서,1100000,187660.442,550950.765,37.5580018,126.8603443,"강서구중 : 공항동 일부(마곡관할구역 제외), 방화2동 / 강서구중 : 가양2ㆍ3동, 등촌1ㆍ2ㆍ3동, 염창동, 화곡4동 / 강서구중 : 가양1동 일부(524~526, 574~591, 642~663, 710~819, 824~831, 839~855. 859~884, 894~906, 908~975, 979~1083, 1086~1455) 공항동 일부 (4~7, 37-1. 538-4, 730-90, 746~749, 937~1313, 1321~1326, 1332~1334, 1343~1369) 발산1동 일부 (215~289, 297~300, 303~371, 373~404, 410~414, 420~421, 424~429, 609, 623~643, 737~740, 748~800, 산245-13~15) 방화1동 일부 (718~730, 738~757, 759~767) / 강서구중 : 발산1동(마곡관할구역 제외), 우장산동, 화곡3ㆍ6동 / 강서구중 : 가양1동(마곡관할구역 제외), 방화1동(마곡관할구역 제외), 방화3동 / 강서구중 : 화곡본동, 화곡1ㆍ2ㆍ8동"
1117102,화곡119안전센터,안전센터/구조대,1117000,186324.442,549359.632,37.5436469,126.8452536,"강서구중 : 화곡본동, 화곡1ㆍ2ㆍ8동"
1117103,방화119안전센터,안전센터/구조대,1117000,183587.498,553375.621,37.579786,126.8141938,"강서구중 : 가양1동(마곡관할구역 제외), 방화1동(마곡관할구역 제외), 방화3동"
1117104,발산119안전센터,안전센터/구조대,1117000,185588.494,550648.753,37.5552506,126.8369006,"강서구중 : 발산1동(마곡관할구역 제외), 우장산동, 화곡3ㆍ6동"
1117105,개화119안전센터,안전센터/구조대,1117000,182618.62,552837.454,37.5749194,126.803238,"강서구중 : 공항동 일부(마곡관할구역 제외), 방화2동"
1117106,마곡119안전센터,안전센터/구조대,1117000,184158.5291,550727.285551,37.5559347,126.8207157,"강서구중 : 가양1동 일부(524~526, 574~591, 642~663, 710~819, 824~831, 839~855. 859~884, 894~906, 908~975, 979~1083, 1086~1455) 공항동 일부 (4~7, 37-1. 538-4, 730-90, 746~749, 937~1313, 1321~1326, 1332~1334, 1343~1369) 발산1동 일부 (215~289, 297~300, 303~371, 373~404, 410~414, 420~421, 424~429, 609, 623~643, 737~740, 748~800, 산245-13~15) 방화1동 일부 (718~730, 738~757, 759~767)"
1117401,등촌119안전센터,안전센터/구조대,1117000,187660.442,550950.765,37.5580018,126.8603443,"강서구중 : 가양2ㆍ3동, 등촌1ㆍ2ㆍ3동, 염창동, 화곡4동"
1118000,강동소방서,소방서,1100000,211046.101,547758.943,37.5292599,127.1249687,"강동구중 : 강일동, 상일동 일부 (1~84, 121~122, 124~126, 131~132, 362~426, 479~513, 520, 산1?산12), 고덕동 일부(142, 144, 151~154, 156~168, 172~189, 191~198, 200~201, 210, 212, 215) / 강동구중 : 고덕동 일부 (강일관할구역 제외), 명일동 / 강동구중 : 길동, 상일동 일부 (강일관할구역 제외) / 강동구중 : 성내동, 둔촌동 / 강동구중 : 암사동 / 강동구중 : 천호동"
1118101,성내119안전센터,안전센터/구조대,1118000,211045.103,547759.939,37.5292689,127.1249574,"강동구중 : 성내동, 둔촌동"
1118102,천호119안전센터,안전센터/구조대,1118000,211616.035,548792.793,37.5385679,127.1314329,강동구중 : 천호동
1118103,고덕119안전센터,안전센터/구조대,1118000,213428.7249,550858.4126,37.5571544,127.1519808,"강동구중 : 고덕동 일부 (강일관할구역 제외), 명일동"
1118104,암사119안전센터,안전센터/구조대,1118000,211375.007,550507.866,37.5540237,127.1287323,강동구중 : 암사동
1118105,길동119안전센터,안전센터/구조대,1118000,212759.993,549053.608,37.5409027,127.144381,"강동구중 : 길동, 상일동 일부 (강일관할구역 제외)"
1118106,강일119안전센터,안전센터/구조대,1118000,215876.128779,550883.694238,37.5573433,127.17968,"강동구중 : 강일동, 상일동 일부 (1~84, 121~122, 124~126, 131~132, 362~426, 479~513, 520, 산1?산12), 고덕동 일부(142, 144, 151~154, 156~168, 172~189, 191~198, 200~201, 210, 212, 215)"
1119000,구로소방서,소방서,1100000,188080.387,544258.074,37.4977062,126.8652057,"구로구 중 : 고척동(고척1동), 개봉동(개봉1동 중 48-1, 74, 76, 78~92, 126~128, 130~134, 136~144, 146~150, 152~157, 159~167, 169~182, 206~207, 214~217, 219, 221~224, 226, 227, 239~240, 353, 415~417, 421, 429~435, 437~438, 446, 447, 454, 459, 466, 467, 468, 475, 476, 484, 산17~19, 산21, 산22, 산28, 산31, 산40), 개봉동(개봉2ㆍ3동) / 구로구중 : 고척동(고척2동), 개봉동(개봉1동 중 1~5, 7~15, 17~27, 29~41, 43~47, 49~71, 73~75, 92의(2, 3, 4, 7, 8, 9, 10, 61, 76), 96~99, 102, 105~109, 111~122, 124, 125, 126의 (1~4,6,7), 416, 436, 439~445, 469, 472, 474, 496, 산1~2) / 구로구 중 : 구로동(구로2동 중 387~390, 392, 706~729, 808~809번지, 구로3동, 구로4동 중 731~736, 760번지 제외), 가리봉동 / 구로구 중 : 구로동(구로1동, 구로2동 중 387~390, 392, 589, 590~607, 609~614, 636, 640, 706~729, 808~809, 1258, 1262번지 제외), 구로4동 중 731~736, 760번지, 구로5동 중 1~5, 7~9, 11~12, 22, 560~563, 565~569, 580, 584~588, 1261, 1263, 1267 제외) / 구로구중 : 오류동, 천왕동, 항동, 궁동, 온수동 / 구로구 중 : 신도림동, 구로2동(구로2동 중 589, 590~607, 609~614, 636, 640, 1258, 1262번지), 구로5동(구로5동 중 1~5, 7~9, 11~12, 22, 506~563, 565~569, 580, 584~588, 1261, 1263, 1267)"
1119102,수궁119안전센터,안전센터/구조대,1119000,184929.016,544116.748,37.4963868,126.8295711,"구로구중 : 오류동, 천왕동, 항동, 궁동, 온수동"
