좌표정보X(EPSG5174),좌표정보Y(EPSG5174),대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,도로명대지위치,연면적(㎡),대지면적(㎡),건축면적(㎡),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,용적률(%),건폐율(%),용적률산정연면적(㎡),용도지역,건폐율_법정상한(%),용적률_법정상한(%)
203455.86,444482.81,서울특별시 강남구 역삼동 677-21번지,11680,10100,0,677,21,10241100218609,서울특별시 강남구 테헤란로33길 6-5 (역삼동),1996.4,331.1,194.76,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,관광호텔(42실) 및 근린생활시설,10,2,20130222.0,20111025.0,1,0,1.0,512.55,58.82,1697.06,일반상업지역,80.0,800.0
203337.2,444489.7,서울특별시 강남구 역삼동 678-8번지,11680,10100,0,678,8,1024115061,서울특별시 강남구 테헤란로33길 13-8 (역삼동),1058.46,332.9,184.15,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설,5,1,19801215.0,,1,0,0.0,229.49,55.32,763.98,일반상업지역,80.0,800.0
203314.74,444480.45,서울특별시 강남구 역삼동 678-9번지,11680,10100,0,678,9,1024117855,서울특별시 강남구 테헤란로33길 13-12 (역삼동),986.25,333.7,197.58,21.0,철근콘크리트구조,철근콘크리트조,15000,숙박시설,숙박시설 근린생활시설,4,1,19891216.0,19881129.0,0,0,0.0,236.84,59.21,790.32,일반상업지역,80.0,800.0
203333.62,444467.31,서울특별시 강남구 역삼동 678-13번지,11680,10100,0,678,13,10241100258070,서울특별시 강남구 테헤란로29길 11 (역삼동),1947.88,327.8,191.52,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,숙박시설(관광숙박시설),10,1,20160905.0,20140703.0,2,0,1.0,535.93,58.43,1756.78,일반상업지역,80.0,800.0
203355.63,444476.29,서울특별시 강남구 역삼동 678-14번지,11680,10100,0,678,14,10241100236929,서울특별시 강남구 테헤란로29길 12 (역삼동),1987.57,331.4,195.7,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,관광호텔,10,1,20140905.0,20130419.0,2,0,1.0,541.1949,59.0525,1793.52,일반상업지역,80.0,800.0
203555.17,445192.69,서울특별시 강남구 역삼동 681-19번지,11680,10100,0,681,19,10241100248989,서울특별시 강남구 언주로108길 21-6 (역삼동),630.11,334.2,166.38,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,5,0,20151013.0,20150304.0,1,0,1.0,189.01,49.78,631.66,제3종일반주거지역,50.0,300.0
203830.73,445128.33,서울특별시 강남구 역삼동 683-9번지,11680,10100,0,683,9,1024113102,서울특별시 강남구 선릉로105길 6 (역삼동),657.06,280.6,158.1,21.0,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,4,1,20020919.0,20010820.0,0,0,0.0,180.87,56.34,507.53,제3종일반주거지역,50.0,300.0
203668.1,445068.74,서울특별시 강남구 역삼동 685-5번지,11680,10100,0,685,5,102414626,서울특별시 강남구 언주로104길 25-1 (역삼동),411.12,208.0,119.96,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19960306.0,19950713.0,0,0,0.0,142.7,57.67,296.82,제2종일반주거지역,60.0,250.0
203663.56,445082.88,서울특별시 강남구 역삼동 685-6번지,11680,10100,0,685,6,1024123748,서울특별시 강남구 언주로104길 25-3 (역삼동),411.85,226.8,114.36,21.0,철근콘크리트구조,철근콘크리트조,01000,단독주택,주거시설,3,1,19960406.0,19950713.0,0,0,0.0,131.17,50.42,297.49,제2종일반주거지역,60.0,250.0
203744.37,444937.75,서울특별시 강남구 역삼동 691-16번지,11680,10100,0,691,16,1024122503,서울특별시 강남구 봉은사로48길 50-2 (역삼동),749.0,334.1,199.97,21.0,철근콘크리트구조,철근콘크리트구조,01000,단독주택,다가구주택,3,1,20021226.0,20000426.0,0,0,0.0,162.57,59.85,543.16,제1종일반주거지역,60.0,200.0
