X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,총층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,구,동,위도,경도,최근접_안전센터,안전센터_유클리드m,최근접_소방서,소방서_유클리드m,최근접_거리m,이동시간초,예상도착초,담당_안전센터,담당_소방서,승인연도,건물나이,소방접근성_점수,반경_50m_건물수,집중도(%),주요_시설군,위험점수_PCA,위험점수_AHP,군집,노후도_zscore,고유단속지점수_50m,로그_주변대비_상대위험도_고유단속지점_50m,숙소ID,인접도로명,인접도로폭,지도표시도로폭,도로폭_출처,도로폭_도로구간매칭,도로폭_거리m,공식도로폭m,도로폭_위험도,도로폭_속도계수,도로폭_보정이동시간초,도로폭_보정예상도착초,실폭도로ID,실폭도로일련번호,도로구간관리번호,도로명코드,구조_노후_통합점수,상업비율(%)
200833.121381281,452040.323909642,서울특별시 종로구 창신동 444-9번지,11110,17400,0,444,9,호스텔 메가 동대문역,100217055,서울특별시 종로구 종로46길 22 (창신동),929.82,21.0,철근콘크리트조,04000,근린생활시설,5,1,6,19920811.0,19900715.0,0,0,0.0,종로구,창신동,37.56790086,127.00943028,을지로119안전센터,274.0,중부소방서,624.0,274.0,33.0,90.0,,,1992.0,33.0,0.863,6.0,100.0,기타,96.86,31.72,1.0,0.0334191332194742,67.0,0.2810012094609484,11.0,장충단로,폭25-30m,폭25-30m,공식만,교차,0.0,25.0,0.18,0.98,32.0,92.0,1503.0,568.0,1514.0,3101021.0,0.1465,72.73
199243.960959498,452293.899531079,서울특별시 종로구 봉익동 10-1번지,11110,15200,0,10,1,포레스트 스테이 종로,1002112483,서울특별시 종로구 율곡로10길 105 (봉익동),1931.23,21.0,철근콘크리트구조,03000,"근린생활시설,숙박시설",5,0,5,20070207.0,20040518.0,1,0,0.0,종로구,봉익동,37.57018563,126.99144197,종로119안전센터,149.0,종로소방서,817.0,149.0,18.0,78.0,종로119안전센터,종로소방서,2007.0,18.0,0.9255,11.0,72.7,상업,70.83,17.81,1.0,-0.8321622391873227,95.0,0.3761947258080512,12.0,종로,폭35-40m,6m미만,API,교차,0.0,35.0,0.08,0.95,17.0,77.0,2584.0,214.0,687.0,3100013.0,0.1251,0.0
198568.77792237,451891.299622979,서울특별시 종로구 관철동 19-20번지,11110,13500,0,19,20,MOMENTO HOSTEL,1002119783,서울특별시 종로구 삼일대로17길 52 (관철동),1129.5,21.0,철근콘크리트조,15000,"근린생활시설,숙박시설",5,0,5,19591128.0,,0,0,0.0,종로구,관철동,37.56655742,126.98379997,회현119안전센터,923.0,종로소방서,1203.0,923.0,111.0,168.0,세종로119안전센터,종로소방서,1959.0,66.0,0.5385,4.0,50.0,사무,48.78,61.53,1.0,1.9376981525144272,36.0,0.6931471805599453,13.0,을지로,폭30-35m,6m미만,API,교차,37.89,30.0,0.12,0.96,107.0,167.0,1605.0,584.0,1516.0,3101006.0,0.1937,22.22
201801.300137307,452526.951324552,서울특별시 종로구 숭인동 1049번지,11110,17500,0,1049,0,더온재,1002122273,서울특별시 종로구 숭인동길 1-3 (숭인동),354.52,21.0,철근콘크리트조,15000,"근린생활시설, 숙박시설",4,1,5,19941020.0,19930222.0,0,0,0.0,종로구,숭인동,37.57228397,127.02039051,숭인119안전센터,618.0,중부소방서,924.0,618.0,74.0,132.0,,,1994.0,31.0,0.691,9.0,66.7,기타,65.02,39.76,1.0,-0.0819917164347653,251.0,0.7105211484959985,14.0,난계로27길,폭6-8m,6m미만,API,교차,0.0,7.0,0.85,1.22,90.0,150.0,1203.0,268.0,746.0,4100028.0,0.1436,28.57
197912.569432128,450501.826339044,서울특별시 중구 남창동 211번지,11140,11200,0,211,0,케이팝 서울타워 호스텔,10031100216894,서울특별시 중구 퇴계로2길 20 (남창동),575.0,21.0,철근콘크리트구조,15000,숙박시설(호스텔),4,1,5,20141118.0,20130612.0,1,0,1.0,중구,남창동,37.55403706,126.97637629,후암119안전센터,575.0,용산소방서,2245.0,575.0,69.0,126.0,회현119안전센터,중부소방서,2014.0,11.0,0.7125,14.0,57.1,기타,56.03,29.91,0.0,-1.2361002129771612,177.0,0.6931471805599453,15.0,소월로2길,폭10-12m,6m미만,API,교차,3.34,11.99,0.55,1.08,75.0,135.0,3178.0,233.0,1222.0,4103213.0,0.115,20.0
201161.5695658,452070.731182291,서울특별시 종로구 창신동 414-5번지,11110,17400,0,414,5,247 HOSTEL SEOUL,100216485,서울특별시 종로구 종로54길 32 (창신동),598.75,21.0,철근콘크리트조,03000,근린생활시설,4,1,5,19890220.0,19881004.0,0,0,0.0,종로구,창신동,37.56817447,127.01314811,을지로119안전센터,164.0,중부소방서,412.0,164.0,20.0,78.0,,,1989.0,36.0,0.918,5.0,80.0,기타,77.53,25.19,1.0,0.2065354077008335,1834.0,2.290649742444773,16.0,마장로,폭20-25m,폭20-25m,공식만,근접,6.63,20.0,0.25,1.0,20.0,80.0,2643.0,754.0,1531.0,3005009.0,0.1509,0.0
198527.201079961,451901.155059874,서울특별시 종로구 관철동 43-15번지,11110,13500,0,43,15,찰나 호스텔,1002126961,서울특별시 종로구 종로8길 15 (관철동),700.79,21.0,"철근콘크리트,철골조",15000,숙박시설,6,1,7,19750827.0,,1,0,0.0,종로구,관철동,37.56664615,126.98332934,회현119안전센터,932.0,종로소방서,1207.0,932.0,112.0,174.0,세종로119안전센터,종로소방서,1975.0,50.0,0.534,3.0,66.7,기타,64.73,58.03,0.0,1.0144113552805107,68.0,1.0608719606852626,17.0,남대문로,폭35-40m,폭6-8m,API,교차,22.04,39.0,0.08,0.95,106.0,166.0,2535.0,533.0,1523.0,3101001.0,0.1708,33.33
198549.377397696,451960.972726138,서울특별시 종로구 종로2가 102-1번지,11110,13800,0,102,1,스테이울림,100217024,서울특별시 종로구 종로 62-1 (종로2가),728.43,21.0,철근콘크리트조,03000,"제1종근린생활시설, 숙박시설",6,2,8,19720919.0,,0,0,0.0,종로구,,37.56718514,126.98358024,종로119안전센터,902.0,종로소방서,1143.0,902.0,108.0,168.0,,,1972.0,53.0,0.549,15.0,46.7,기타,46.31,57.72,1.0,1.18752762976187,96.0,1.2794312155775294,18.0,남대문로10길,폭10-12m,폭6-8m,API,교차,0.0,10.0,0.55,1.08,117.0,177.0,2124.0,169.0,1225.0,4103012.0,0.1752,0.0
200401.722939568,452062.956830205,서울특별시 종로구 종로5가 257-1번지,11110,16300,0,257,1,편안정 종로5가점,1002110911,서울특별시 종로구 종로 248-1 (종로5가),521.04,21.0,철근콘크리트조,03000,근린생활시설 및 관광숙박시설(호스텔),6,1,7,19671210.0,,0,0,0.0,종로구,,37.56810507,127.0045472,을지로119안전센터,693.0,중부소방서,1023.0,693.0,83.0,144.0,,,1967.0,58.0,0.6535,12.0,100.0,기타,97.43,59.3,1.0,1.4760547538974689,4.0,0.0130720815673527,19.0,퇴계로,폭35-40m,6m미만,API,교차,140.98,39.0,0.08,0.95,79.0,139.0,1723.0,350.0,1507.0,3101011.0,0.1823,66.67
201192.319848224,452214.352544411,서울특별시 종로구 창신동 330-7번지,11110,17400,0,330,7,동대문 스테이가든,100211203,서울특별시 종로구 종로54길 9-9 (창신동),283.06,11.0,벽돌구조,04000,"제2종근린생활시설(다중생활시설(고시원)),관광숙박시설(호스텔)",2,0,2,19590330.0,,0,0,0.0,종로구,창신동,37.56946846,127.01349641,을지로119안전센터,308.0,중부소방서,531.0,308.0,37.0,96.0,,,1959.0,66.0,0.846,6.0,66.7,상업,64.93,40.69,1.0,1.9376981525144272,1059.0,1.8129221675840912,20.0,무교로,폭20-25m,폭20-25m,공식만,교차,6.06,20.0,0.25,1.0,37.0,97.0,1435.0,678.0,1512.0,3005002.0,0.4747,0.0
