구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
중구,(남산동,오요6(OYO6),2011,3,100.0,1.845368919833436,0.1194,0.7,37.55655506,126.98441998
중구,,케이스타호텔,1986,19,47.4,0.6931471805599453,0.1551,0.85,37.56374548,127.00581237
중구,주교동,엘림 호스텔,1968,34,58.8,0.1177830356563834,0.1808,0.7,37.56629135,127.00045147
중구,,로스터블록,1971,37,78.4,0.2993933318726824,0.1766,1.0,37.56339033,126.99268792
중구,(회현동,제이오너 호스텔,2006,3,0.0,0.7282385003712154,0.1265,0.08,37.55530397,126.98284082
중구,,머룸스테이,1955,32,62.5,0.5643439291313687,0.4817,0.45,37.56119377,127.00084581
중구,(광희동,STAY ON,1966,9,55.6,1.0736109864626924,0.1837,1.0,37.5618116,127.00675249
중구,,라하 부티크 디디피,2012,24,95.8,0.4663738611951568,0.1179,0.85,37.56262124,127.0082658
중구,(회현동,호텔 블리스 I,2025,9,88.9,0.5616258388634469,0.1,0.08,37.55681031,126.98310837
중구,서소문동,정동스테이25(JEONGDONG STAY 25),2024,2,0.0,1.3293120501244582,0.1011,0.7,37.56106147,126.97459289
중구,소공동,크라운파크 호텔 서울 명동,1971,7,71.4,1.3237147044676525,0.1766,0.85,37.56101578,126.9799895
중구,황학동,호스텔 소우재,1984,51,82.4,1.6453061451866118,0.158,1.0,37.56418869,127.0203495
중구,(회현동,호텔블리스Ⅱ,2025,4,100.0,0.2089589163222533,0.1,0.08,37.55663789,126.9831709
중구,(회현동,보코 언 아이에이치지 호텔,1979,3,33.3,1.3516741604732871,0.1652,0.12,37.5557044,126.97785909
중구,명동,유스테이호스텔(U-STAY HOSTEL),1964,19,52.6,1.7645098267806796,0.1866,0.7,37.56011013,126.98486327
중구,,나인트리 바이 파르나스 서울 동대문,2019,26,76.9,0.8946039777841406,0.1079,0.7,37.56386326,127.00211965
중구,,스탠포드호텔 명동,2021,6,33.3,5.676753802268282,0.105,0.08,37.56189911,126.98190996
중구,신당동,케이그랜드호텔 DDP,1971,4,0.0,2.25044254165524,0.4535,0.55,37.56571746,127.0106231
중구,주교동,zip 1972 hostel,1963,9,22.2,1.2918251737361308,0.188,1.0,37.56535668,126.99747477
중구,,스테이모드,1965,3,0.0,1.6193781504839415,0.1851,0.7,37.55941767,126.98975855
중구,,미리네 스테이,2022,7,57.1,0.3809454909338458,0.1036,0.08,37.56263589,127.00240658
중구,,스테이 쉼,1996,22,90.9,0.4102843945441133,0.1408,0.85,37.56263015,127.00804487
중구,명동,무드온 명동,1956,7,14.3,1.155343917473199,0.48,1.0,37.56042879,126.98317648
중구,(남산동,더큐브 호텔,2003,0,0.0,0.0425596144187959,0.1308,0.85,37.55609169,126.98541188
중구,황학동,SINDANG GRAND JOY 호스텔,1955,25,84.0,0.2986770404591526,0.9051,0.7,37.56332856,127.01860099
중구,,글로카로카호스텔,1971,2,0.0,0.041672696400568,0.1766,0.55,37.56555219,126.97585864
중구,서소문동,ENA 스위트 호텔,2017,3,0.0,0.3113518165376857,0.1108,0.18,37.55956061,126.97310353
중구,,호텔 그레이스리 서울,2018,3,100.0,1.0595929651036675,0.1094,0.25,37.55884724,126.97618148
중구,(광희동,더 페이즈,2018,21,100.0,0.6931471805599453,0.1094,1.0,37.56088977,127.00776838
중구,,머큐어 앰배서더 서울 동대문(MERCURE AMBASSADOR SEOUL DONGDAEMUN),2021,31,58.1,0.9496384970203852,0.105,0.25,37.56466188,127.00107824
중구,무학동,로밍 타이거,1991,28,82.1,0.6554068525770982,0.148,0.7,37.56131454,127.01446136
중구,(남산동,어반 스위트 스테이 (Urban Suite Stay),2001,0,0.0,1.13560085803745,0.1337,0.12,37.55599413,126.98473806
중구,,MOREN SEOUL MYEONGDONG,1955,1,0.0,1.519252194795509,0.4817,0.7,37.55945274,126.99012549
중구,(인현동,이랑 스테이,1971,22,54.5,0.0994449297057108,0.4535,0.85,37.5614873,126.9924598
중구,,하이 동대문 호스텔,1961,25,60.0,1.8674258023017924,0.4712,1.0,37.5646535,127.00666628
중구,,안온 스테이,1968,14,64.3,0.1943595353534336,0.1808,0.08,37.56281707,127.001911
중구,명동,하이 서울 호스텔 명동 명동 웨스트,1967,4,0.0,0.481258947477698,0.1823,0.12,37.55926806,126.98767512
중구,황학동,유어모먼트,1995,15,73.3,0.1725257551322526,0.1422,0.85,37.56647742,127.02231807
중구,중림동,라서울 스테이,1963,25,76.0,1.1301819904368455,0.3278,0.18,37.55608468,126.96814345
중구,명동,하이 서울 호스텔,1961,24,20.8,0.3457963134963362,0.6113,0.7,37.5583226,126.98161125
중구,북창동,한 스위트 서울,1969,14,100.0,0.5684437020589881,0.1794,1.0,37.55960572,126.97683678
중구,,올스테이인,1955,3,0.0,2.841286274533761,0.4817,0.25,37.55898959,126.98911126
중구,,트레블로지 명동 남산,1990,2,0.0,1.3201915862543043,0.1494,0.08,37.55981918,126.98998281
중구,,스테이 한가온 명동,1967,6,0.0,0.6931471805599453,0.4606,0.08,37.55543671,126.97494606
중구,,제이빌스,2006,2,0.0,1.0543572796640688,0.1265,0.7,37.55987697,126.99371678
중구,다동,호텔 미드시티 명동,1970,2,0.0,0.0714589639821449,0.178,0.35,37.56491356,126.98031531
중구,명동,헨나호텔서울명동,2021,4,0.0,0.4909442532121617,0.105,0.12,37.55927368,126.98753085
중구,,아르보 스테이,1931,32,65.6,0.3669189783089517,0.6692,0.25,37.56344317,126.99317659
중구,(필동,라임스테이 명동 호스텔,1967,2,0.0,0.0266682470821613,0.1823,0.45,37.55847797,126.99426166
중구,,호스텔 고울,1989,3,0.0,0.0386148361277795,0.1509,0.04,37.56006354,126.98895997
중구,주교동,먼슬리브 을지로 광장시장 호텔 스테이[Monthliv Euljiro Gwangjang Market Hotel Stay],1998,27,74.1,0.6931471805599453,0.138,0.7,37.56590912,126.99838824
중구,서소문동,THE VILLA 23,2024,2,0.0,1.0620228412358177,0.1011,0.7,37.56112681,126.97475999
중구,황학동,FRGE (에프알지이),2025,73,79.5,0.0281312502503589,0.1,1.0,37.56738069,127.02003395
중구,,트래비스타 호스텔,2024,4,0.0,0.2647841083585263,0.1011,0.7,37.55986394,126.98891523
중구,(명동,HISTAY HOSTEL,1968,0,0.0,1.4455626827148471,0.1808,0.08,37.56027363,126.98140792
