구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.1866,1.7645098267806796,0.7,52.6,19,1964,6,398.0,기존숙박군,37.56011013,126.98486327,133.4,34.5
0.1079,0.8946039777841406,0.7,76.9,26,2019,23,8872.0,기존숙박군,37.56386326,127.00211965,10067.0,27.6
0.105,5.676753802268282,0.08,33.3,6,2021,22,12100.0,기존숙박군,37.56189911,126.98190996,2153.8,22.1
0.4535,2.25044254165524,0.55,0.0,4,1971,7,294.0,기존숙박군,37.56571746,127.0106231,1025.0,109.4
0.188,1.2918251737361308,1.0,22.2,9,1963,3,179.0,기존숙박군,37.56535668,126.99747477,2126.8,82.2
0.1851,1.6193781504839415,0.7,0.0,3,1965,4,276.52,기존숙박군,37.55941767,126.98975855,2754.4,67.1
0.1036,0.3809454909338458,0.08,57.1,7,2022,4,89.0,기존숙박군,37.56263589,127.00240658,3602.4,44.8
0.1408,0.4102843945441133,0.85,90.9,22,1996,6,179.0,기존숙박군,37.56263015,127.00804487,6385.0,29.5
0.48,1.155343917473199,1.0,14.3,7,1956,4,289.69,기존숙박군,37.56042879,126.98317648,781.8,33.1
0.1308,0.0425596144187959,0.85,0.0,0,2003,4,870.63,외국인관광도시민박업,37.55609169,126.98541188,360.2,80.7
0.9051,0.2986770404591526,0.7,84.0,25,1955,2,200.2,기존숙박군,37.56332856,127.01860099,1109.2,62.4
0.1766,0.041672696400568,0.55,0.0,2,1971,26,2280.0,기존숙박군,37.56555219,126.97585864,12142.8,99.1
0.1108,0.3113518165376857,0.18,0.0,3,2017,28,14134.9,기존숙박군,37.55956061,126.97310353,291.6,13.3
0.1094,1.0595929651036675,0.25,100.0,3,2018,26,17909.0,기존숙박군,37.55884724,126.97618148,1029.4,23.5
0.1094,0.6931471805599453,1.0,100.0,21,2018,5,168.0,기존숙박군,37.56088977,127.00776838,53.2,21.2
0.105,0.9496384970203852,0.25,58.1,31,2021,24,1382005.0,기존숙박군,37.56466188,127.00107824,3734.6,46.6
0.148,0.6554068525770982,0.7,82.1,28,1991,6,225.0,기존숙박군,37.56131454,127.01446136,1777.4,26.5
0.1337,1.13560085803745,0.12,0.0,0,2001,6,221.0,기존숙박군,37.55599413,126.98473806,360.2,79.1
0.4817,1.519252194795509,0.7,0.0,1,1955,5,210.0,기존숙박군,37.55945274,126.99012549,270.6,76.3
0.4535,0.0994449297057108,0.85,54.5,22,1971,6,70.0,기존숙박군,37.5614873,126.9924598,95.4,45.2
0.4712,1.8674258023017924,1.0,60.0,25,1961,6,243.0,기존숙박군,37.5646535,127.00666628,1003.4,6.3
0.1808,0.1943595353534336,0.08,64.3,14,1968,7,124.0,기존숙박군,37.56281707,127.001911,3581.2,55.2
0.1823,0.481258947477698,0.12,0.0,4,1967,8,159.0,기존숙박군,37.55926806,126.98767512,531.2,66.9
0.1422,0.1725257551322526,0.85,73.3,15,1995,5,104.0,기존숙박군,37.56647742,127.02231807,10610.0,30.1
0.3278,1.1301819904368455,0.18,76.0,25,1963,5,100.0,기존숙박군,37.55608468,126.96814345,4934.8,34.9
0.6113,0.3457963134963362,0.7,20.8,24,1961,5,181.0,기존숙박군,37.5583226,126.98161125,391.4,44.6
0.1794,0.5684437020589881,1.0,100.0,14,1969,10,541.0,기존숙박군,37.55960572,126.97683678,998.4,26.1
0.4817,2.841286274533761,0.25,0.0,3,1955,3,272.0,기존숙박군,37.55898959,126.98911126,146.0,24.3
0.1494,1.3201915862543043,0.08,0.0,2,1990,16,5164.0,기존숙박군,37.55981918,126.98998281,2898.0,87.9
0.4606,0.6931471805599453,0.08,0.0,6,1967,3,112.0,기존숙박군,37.55543671,126.97494606,392.4,23.3
0.1265,1.0543572796640688,0.7,0.0,2,2006,7,100.0,기존숙박군,37.55987697,126.99371678,8105.4,51.3
0.178,0.0714589639821449,0.35,0.0,2,1970,10,6314.0,기존숙박군,37.56491356,126.98031531,1295.0,49.1
0.105,0.4909442532121617,0.12,0.0,4,2021,9,3171.0,기존숙박군,37.55927368,126.98753085,531.2,54.3
0.6692,0.3669189783089517,0.25,65.6,32,1931,3,143.0,기존숙박군,37.56344317,126.99317659,344.2,43.2
0.1823,0.0266682470821613,0.45,0.0,2,1967,6,142.0,기존숙박군,37.55847797,126.99426166,482.6,106.7
0.1509,0.0386148361277795,0.04,0.0,3,1989,8,42.0,기존숙박군,37.56006354,126.98895997,2809.2,133.7
0.138,0.6931471805599453,0.7,74.1,27,1998,6,314.0,기존숙박군,37.56590912,126.99838824,135.8,28.8
0.1011,1.0620228412358177,0.7,0.0,2,2024,15,1144.31,기존숙박군,37.56112681,126.97475999,155.0,102.3
0.1,0.0281312502503589,1.0,79.5,73,2025,6,416.26,기존숙박군,37.56738069,127.02003395,2416.0,4.9
