구조노후도,단속위험도,도로폭위험도,집중도,주변건물수,승인연도,총층수,연면적,업종그룹,위도,경도,Y_평균재산피해액,Y_최근접거리m
0.1011,0.2647841083585263,0.7,0.0,4,2024,12,1154.53,기존숙박군,37.55986394,126.98891523,2809.2,113.9
0.1808,1.4455626827148471,0.08,0.0,0,1968,7,780.14,기존숙박군,37.56027363,126.98140792,2186.4,97.4
0.1036,0.5121362399431111,1.0,11.1,9,2022,20,20544.0,기존숙박군,37.55896817,126.98192631,8856.2,34.3
0.2009,1.1668880572200644,0.45,42.9,7,1954,7,1269.41,기존숙박군,37.55934315,126.98332654,8867.8,49.5
0.4148,2.677441572623574,0.85,0.0,0,1993,5,421.0,기존숙박군,37.55561712,126.98432036,172.0,82.0
0.42,0.0192578166044145,0.25,0.0,0,1990,5,535.0,기존숙박군,37.5530029,126.97995879,1938.4,110.6
0.1065,0.4075593497112791,0.08,0.0,2,2020,29,20570.0,기존숙박군,37.56283151,126.98864042,72171.0,58.4
0.1694,0.6087088614133708,0.25,64.3,42,1976,6,221.0,기존숙박군,37.56414615,126.99675538,2131.6,10.5
0.1494,1.4319548452276067,1.0,89.4,47,1990,5,189.0,기존숙박군,37.56394721,127.02058063,263.6,21.9
0.1065,0.0285363072649343,0.08,41.7,12,2020,23,427.0,기존숙박군,37.55907589,126.9921215,8058.4,64.3
0.1079,0.5933967777928858,1.0,63.0,27,2019,13,627.0,기존숙박군,37.55355582,126.96738568,3268.0,95.3
0.4272,2.0880996044229505,0.85,0.0,0,1986,3,262.0,기존숙박군,37.55514884,126.98432696,172.0,81.6
0.1094,0.6931471805599453,0.7,0.0,0,2018,16,5464.0,기존숙박군,37.55807414,126.99051213,576.4,136.8
0.1094,0.3220202100326725,0.08,66.7,12,2018,25,24505.0,기존숙박군,37.56352003,127.00356135,1497.0,31.1
0.1094,0.2297880940328783,0.85,75.6,41,2018,33,27476.0,기존숙박군,37.55715446,126.97870364,6482.8,37.2
0.1136,0.8695457190507778,0.7,79.2,24,2015,22,15016.0,기존숙박군,37.55861521,126.98619248,86.8,49.6
0.1265,0.780879174428781,0.7,86.4,22,2006,17,12469.0,기존숙박군,37.56322588,127.00182446,10116.0,10.7
0.1237,2.688099414682861,0.18,81.2,32,2008,13,993.0,기존숙박군,37.56094517,127.00596078,9507.8,48.6
0.1523,0.9088557533866368,0.7,58.3,24,1988,8,409.0,기존숙박군,37.56206664,127.0089649,901.2,49.4
0.1122,0.8166206081401566,0.25,50.0,10,2016,25,31836.0,기존숙박군,37.55844079,126.97613718,157378.4,39.7
0.1122,0.5931547759524908,0.85,80.5,41,2016,24,8176.0,기존숙박군,37.563663,127.00109712,43.2,25.6
0.1422,0.3039956479433046,0.7,0.0,2,1995,6,306.0,기존숙박군,37.55888617,126.99138527,8068.4,52.6
0.4518,1.3130221600135648,0.35,57.1,14,1972,6,4669.0,기존숙박군,37.56160377,126.98318249,11320.2,43.3
0.1422,2.1351521486938414,0.85,73.1,26,1995,25,7112.0,기존숙박군,37.56217058,126.98426358,10508.0,34.8
0.1122,0.9245514488815216,0.7,0.0,6,2016,25,12964.0,기존숙박군,37.55952462,126.98113677,713.4,55.0
0.1408,2.6556884490078847,0.12,0.0,0,1996,6,386.0,기존숙박군,37.55587082,126.98398358,160.4,120.4
0.1451,0.4660897299245992,0.85,80.0,25,1993,8,3109.0,기존숙박군,37.56030545,127.00475169,10150.2,19.6
0.1408,2.502938151671187,0.12,75.0,8,1996,29,25758.0,기존숙박군,37.56589354,127.00694427,1000.2,19.7
0.1108,0.6931471805599453,0.25,48.0,25,2017,22,25608.0,기존숙박군,37.5615963,126.99013673,6216.8,25.1
0.1536,2.978187963903081,0.12,0.0,0,1987,6,999.0,기존숙박군,37.5553408,126.98379252,208.8,124.6
0.1694,1.85077964762718,0.08,66.7,9,1976,17,6601.0,기존숙박군,37.56060529,126.98968153,2828.2,55.3
