119안전센터명,기본주소,건물일련번호,시도명,대형화재취약대상여부,법정동명,화재보험종료일자,주용도명,사용여부,등록일자,관할소방서명,대상물명,사용승인일자,자체점검대상여부,문화재여부,공공기관여부,Y좌표,공공기관민간대상여부,화재보험가입일자,소방관련제조업여부,X좌표,소방방화시설완공일자,시군구명,건물명,화재보험회사명,자체점검대상명
망우119안전센터,,11000000321397,서울특별시,,면목동,,숙박시설,Y,20190111,중랑소방서,와이앤비 하우스,20181018,,N,,,,,N,,,중랑구,와이앤비 하우스,,
망우119안전센터,,11000000321414,서울특별시,,면목동,,숙박시설,Y,20190111,중랑소방서,면목동19-31번지건물,20180111,,N,,,,,N,,,중랑구,,,
홍은119안전센터,,11000000276576,서울특별시,,홍은동,,숙박시설,Y,20161020,서대문소방서,장미여관건물,19710910,,,,,,,N,,,서대문구,,,
홍은119안전센터,,11000000291362,서울특별시,,홍은동,,숙박시설,Y,20161106,서대문소방서,홍은동48-203건물,19710515,,,,,,,N,,,서대문구,,,
홍은119안전센터,,11000000328941,서울특별시,,홍은동,,숙박시설,Y,20210102,서대문소방서,홍은동189-45건물,20201016,,N,,,,,N,,,서대문구,,,
홍은119안전센터,,11000000328949,서울특별시,,홍은동,,숙박시설,Y,20210102,서대문소방서,홍은동415-12건물,20200721,,N,,,,,N,,,서대문구,써드 플레이스 홍은1,,
현장대응단,,11000000335750,서울특별시,,홍은동,,숙박시설,Y,20221226,서대문소방서,ARIA FRESCA,20220808,,N,,,,,N,,,서대문구,ARIA FRESCA,,
신림119안전센터,,11000000310388,서울특별시,,신림동,,숙박시설,Y,20161215,관악소방서,동경타워,20180416,Y,,,,,,N,,20180315,관악구,동경타워,,작동점검대상
당산119안전센터,,11330000018110,서울특별시,,양평동3가,,숙박시설,Y,20240301,영등포소방서,센트럴타워 호스텔,20240315,Y,N,,,,,,,20240228,영등포구,CENTRAL TOWER 호스텔,,종합점검대상
대림119안전센터,,11000000329175,서울특별시,,대림동,,숙박시설,Y,20210109,영등포소방서,JABEZ HOUSE,20200214,,N,,,,,N,,,영등포구,JABEZ HOUSE,,
대림119안전센터,,11000000329176,서울특별시,,대림동,,숙박시설,Y,20210109,영등포소방서,JABEZ HOUSE 2,20200214,,,,,,,N,,,영등포구,JABEZ HOUSE,,
대림119안전센터,,11000000329177,서울특별시,,대림동,,숙박시설,Y,20210109,영등포소방서,대림올바른하우스,20201023,,N,,,,,N,,,영등포구,대림올바른하우스,,
현장대응단,,11000000322768,서울특별시,,창전동,,숙박시설,Y,20190311,마포소방서,white hoise,19930811,,N,,,,,N,,,마포구,,,
