그리드ID,건물ID,구,법정동코드,법정동명,주소,지번,연면적_m2,건축면적_m2,지상층수,지하층수,총층수,보정분자,보정사유
G50K_R0055_C0082,0000197423854486309400000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197424074484796700000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197424094484633400000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197424684484594300000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197425094485822600000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197426354484491300000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197427314486378000000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197431824484275400000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197431924485321100000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197438154485397800000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197438354486417000000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197440264485228700000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197447844485013100000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197453114484751200000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197456284484676200000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197458644484573100000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197479764485143200000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197484304486240100000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197517444485678300000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197533424485067000000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197534744484283800000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197534854486327000000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197545034484455700000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197562664485200700000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197566374485529800000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197567934485455300000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197578514484994000000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197579974484428300000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-1,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0055_C0082,0000197409934484826200000000,용산구,1117012400,한강로1가,서울특별시 용산구 한강로1가,1-7,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0045_C0091,0000199389094463709400000000,용산구,1117013300,서빙고동,서울특별시 용산구 서빙고동,241-11,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0045_C0091,0000199391244463910300000000,용산구,1117013300,서빙고동,서울특별시 용산구 서빙고동,241-11,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0045_C0091,0000199392844463804900000000,용산구,1117013300,서빙고동,서울특별시 용산구 서빙고동,241-11,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0044_C0089,0000199000704461348300000000,용산구,1117013300,서빙고동,서울특별시 용산구 서빙고동,241-21,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0044_C0089,0000199026174461735200000000,용산구,1117013300,서빙고동,서울특별시 용산구 서빙고동,271-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0044_C0089,0000199089234461783200000000,용산구,1117013300,서빙고동,서울특별시 용산구 서빙고동,271-2,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198498124483043000000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198508084484008800000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198521474482957400000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198529994483506100000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198531104482983900000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198533334482210400000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198543294482891300000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198548054483988300000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198574304483998600000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198574914482217400000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198583564483980100000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198591954484023200000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198603944483161000000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
G50K_R0054_C0087,0000198604914483579000000000,용산구,1117010200,용산동2가,서울특별시 용산구 용산동2가,6,0.0,0.0,1.0,0.0,1,0.0,연면적_건축면적_0
