구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
마포구,망원동,MANGWON ATELIER,0,중위험군,37.55443326,126.9049301,191599.5098,450549.7856,40.9956845,27.564556260553417,13.431128239446586,6.7126259910812704
마포구,창전동,선자하우스 1F,2,고위험군,37.55146431,126.9308331,193888.0867,450218.2681,38.98944541,37.31761755476619,1.6718278552338148,6.7126259910812704
마포구,연남동,스테이 정하집,2,고위험군,37.56324035,126.9167259,192642.6647,451526.2797,36.56319159,37.31761755476619,-0.7544259647661846,6.7126259910812704
마포구,성산동,제이선 하우스,0,중위험군,37.55665905,126.9103047,192074.651,450796.3551,23.03603287,27.054242405788536,-4.018209535788536,6.7126259910812704
마포구,합정동,리버사이드 스테이,0,중위험군,37.54766936,126.9033077,191455.3812,449799.2198,37.06684634,31.036831649967624,6.030014690032374,6.7126259910812704
마포구,서교동,글로리 데이즈,0,중위험군,37.54659986,126.9166466,192634.0208,449679.3895,33.11392292,27.357575815963465,5.756347104036536,6.7126259910812704
마포구,창전동,수 하우스,0,중위험군,37.5498158,126.9273501,193580.1727,450035.5354,31.09879714,27.357575815963465,3.741221324036534,6.7126259910812704
마포구,대흥동,Andy's homestay,2,고위험군,37.54175014,126.9395303,194655.9217,449139.5826,35.22429933,37.2533822443762,-2.029082914376197,6.7126259910812704
마포구,상암동,영 스테이,1,저위험군,37.57642101,126.893897,190627.3594,452991.2122,21.29378715,27.104203202758523,-5.810416052758523,6.7126259910812704
마포구,노고산동,Home Sweet Home,0,중위험군,37.55281226,126.9389285,194603.5318,450367.3789,35.4579583,27.307615018993477,8.150343281006524,6.7126259910812704
마포구,동교동,온하루 게스트 하우스,0,중위험군,37.55664652,126.9209554,193015.7264,450794.1197,34.95459312,27.307615018993477,7.646978101006521,6.7126259910812704
마포구,망원동,웜업 에이프릴 게스트하우스,2,고위험군,37.55723561,126.9007906,191234.0649,450861.1911,40.86535345,37.2533822443762,3.611971205623803,6.7126259910812704
마포구,서교동,유락,0,중위험군,37.5503917,126.9216833,193079.4643,450099.8555,34.30032908,26.900791386523572,7.399537693476425,6.7126259910812704
마포구,상수동,Hongdae Han River,1,저위험군,37.54234465,126.9248655,193359.9507,449206.5005,25.98415937,31.26522386468757,-5.28106449468757,6.7126259910812704
