구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_단속위험도
중구,남대문로4가,호텔 그레이스리 서울,1,저위험군,37.55884724,126.9761815,197895.4908,451035.7035,17.0760832,33.0952086390809,-16.019125439080902,1.7136683186442125
중구,(광희동,더 페이즈,0,중위험군,37.56088977,127.0077684,200686.3643,451262.1619,25.87779921,32.353788331938745,-6.4759891219387455,1.7136683186442125
중구,을지로5가,머큐어 앰배서더 서울 동대문(MERCURE AMBASSADOR SEOUL DONGDAEMUN),1,저위험군,37.56466188,127.0010782,200095.2616,451680.7939,23.61681882,32.87274059879854,-9.255921778798545,1.7136683186442125
중구,무학동,로밍 타이거,0,중위험군,37.56131454,127.0144614,201277.7058,451309.3763,22.3773573,32.277429299309226,-9.900071999309226,1.7136683186442125
중구,(남산동,어반 스위트 스테이 (Urban Suite Stay),1,저위험군,37.55599413,126.9847381,198651.4646,450718.8851,15.95493728,33.24899344936893,-17.294056169368933,1.7136683186442125
중구,충무로3가,MOREN SEOUL MYEONGDONG,2,고위험군,37.55945274,126.9901255,199127.5348,451102.686,38.45181873,34.02522530830618,4.426593421693816,1.7136683186442125
중구,(인현동,이랑 스테이,2,고위험군,37.5614873,126.9924598,199333.8016,451328.479,37.18727609,31.152565874192003,6.034710215807994,1.7136683186442125
중구,을지로6가,하이 동대문 호스텔,2,고위험군,37.5646535,127.0066663,200588.9601,451679.8841,47.47456513,34.72967599081351,12.74488913918649,1.7136683186442125
중구,을지로5가,안온 스테이,1,저위험군,37.56281707,127.001911,200168.8394,451476.0428,22.00564794,31.34460414742092,-9.338956207420921,1.7136683186442125
중구,명동,하이 서울 호스텔 명동 명동 웨스트,1,저위험군,37.55926806,126.9876751,198911.029,451082.2143,17.67306268,31.92508033094264,-14.25201765094264,1.7136683186442125
중구,황학동,유어모먼트,0,중위험군,37.56647742,127.0223181,201971.7344,451882.5311,29.05164303,31.30042842326066,-2.2487853932606576,1.7136683186442125
중구,중림동,라서울 스테이,1,저위험군,37.55608468,126.9681435,197185.1786,450729.3025,26.24805979,33.2380295934526,-6.9899698034526025,1.7136683186442125
중구,명동,하이 서울 호스텔,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.53618313,31.651002276038437,2.885180853961561,1.7136683186442125
중구,북창동,한 스위트 서울,0,중위험군,37.55960572,126.9768368,197953.4112,451119.8714,30.6122313,32.10147899795586,-1.4892476979558573,1.7136683186442125
중구,충무로2가,올스테이인,2,고위험군,37.55898959,126.9891113,199037.9163,451051.2918,35.16750905,36.70006277797673,-1.5325537279767332,1.7136683186442125
중구,충무로3가,트레블로지 명동 남산,1,저위험군,37.55981918,126.9899828,199114.9326,451143.3579,11.82885025,33.622471110253564,-21.79362086025356,1.7136683186442125
중구,남대문로5가,스테이 한가온 명동,1,저위험군,37.55543671,126.9749461,197786.2331,450657.2036,35.03459486,32.353788331938745,2.680806528061254,1.7136683186442125
중구,충무로4가,제이빌스,0,중위험군,37.55987697,126.9937168,199444.8474,451149.7433,28.94925022,33.084615412605686,-4.135365192605686,1.7136683186442125
중구,다동,호텔 미드시티 명동,1,저위험군,37.56491356,126.9803153,198260.8805,451708.909,29.88759052,31.095942590712255,-1.2083520707122553,1.7136683186442125
중구,명동,헨나호텔서울명동,1,저위험군,37.55927368,126.9875309,198898.282,451082.8398,12.62878381,31.944676360867998,-19.315892550868,1.7136683186442125
중구,을지로3가,아르보 스테이,2,고위험군,37.56344317,126.9931766,199397.1478,451545.5527,34.04461661,31.69373921955301,2.350877390446989,1.7136683186442125
중구,(필동,라임스테이 명동 호스텔,1,저위험군,37.55847797,126.9942617,199492.9807,450994.4678,28.29292059,31.005318687790623,-2.712398097790622,1.7136683186442125
중구,충무로2가,호스텔 고울,1,저위험군,37.56006354,126.98896,199024.5629,451170.4891,18.44214096,31.02948991330998,-12.58734895330998,1.7136683186442125
