구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_도로폭위험도
중구,을지로6가,케이스타호텔,0,중위험군,37.56374548,127.0058124,200513.5242,451579.0996,32.1453704,36.34416144581988,-4.198791045819881,5.385803882931744
중구,주교동,엘림 호스텔,0,중위험군,37.56629135,127.0004515,200039.8861,451861.6455,25.4242058,34.036476690883546,-8.612270890883547,5.385803882931744
중구,을지로3가,로스터블록,0,중위험군,37.56339033,126.9926879,199353.9731,451539.6914,32.72696791,38.65184620075621,-5.924878290756212,5.385803882931744
중구,(회현동,제이오너 호스텔,1,저위험군,37.55530397,126.9828408,198483.8116,450642.3144,20.46007534,24.498046370480047,-4.037971030480048,5.385803882931744
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,30.19033543265633,7.523095027343668,5.385803882931744
중구,(광희동,STAY ON,0,중위험군,37.5618116,127.0067525,200596.5994,451364.4672,36.36215535,38.65184620075621,-2.289690850756209,5.385803882931744
중구,을지로7가,라하 부티크 디디피,0,중위험군,37.56262124,127.0082658,200730.2962,451454.3384,23.15628176,36.34416144581988,-13.18787968581988,5.385803882931744
중구,(회현동,호텔 블리스 I,1,저위험군,37.55681031,126.9831084,198507.4825,450809.496,21.11462608,24.498046370480047,-3.3834202904800463,5.385803882931744
중구,서소문동,정동스테이25(JEONGDONG STAY 25),0,중위험군,37.56106147,126.9745929,197755.1957,451281.4936,25.27582847,34.036476690883546,-8.760648220883546,5.385803882931744
중구,소공동,크라운파크 호텔 서울 명동,0,중위험군,37.56101578,126.9799895,198232.0034,451276.3074,29.1958747,36.34416144581988,-7.1482867458198776,5.385803882931744
중구,황학동,호스텔 소우재,0,중위험군,37.56418869,127.0203495,201797.8721,451628.4694,36.43836708,38.65184620075621,-2.2134791207562117,5.385803882931744
중구,(회현동,호텔블리스Ⅱ,1,저위험군,37.55663789,126.9831709,198513.0041,450790.3584,20.37654026,24.498046370480047,-4.121506110480048,5.385803882931744
중구,(회현동,보코 언 아이에이치지 호텔,1,저위험군,37.5557044,126.9778591,198043.6355,450686.8494,23.5381471,25.113428971796402,-1.5752818717964026,5.385803882931744
중구,명동,유스테이호스텔(U-STAY HOSTEL),0,중위험군,37.56011013,126.9848633,198662.6016,451175.7104,32.39570051,34.036476690883546,-1.6407761808835488,5.385803882931744
중구,을지로5가,나인트리 바이 파르나스 서울 동대문,0,중위험군,37.56386326,127.0021197,200187.2712,451592.158,29.13096002,34.036476690883546,-4.9055166708835465,5.385803882931744
중구,남대문로2가,스탠포드호텔 명동,1,저위험군,37.56189911,126.98191,198401.7016,451374.3122,21.72224023,24.498046370480047,-2.7758061404800465,5.385803882931744
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,31.728791935947218,10.857222274052784,5.385803882931744
중구,주교동,zip 1972 hostel,0,중위험군,37.56535668,126.9974748,199776.9002,451757.911,35.13298823,38.65184620075621,-3.5188579707562084,5.385803882931744
중구,충무로3가,스테이모드,0,중위험군,37.55941767,126.9897586,199095.1133,451098.7972,22.80810164,34.036476690883546,-11.228375050883546,5.385803882931744
중구,을지로5가,미리네 스테이,1,저위험군,37.56263589,127.0024066,200212.625,451455.935,9.876165929,24.498046370480047,-14.621880441480046,5.385803882931744
중구,을지로7가,스테이 쉼,0,중위험군,37.56263015,127.0080449,200710.7766,451455.3256,24.41990182,36.34416144581988,-11.924259625819879,5.385803882931744
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,38.65184620075621,-1.7633813907562086,5.385803882931744
중구,(남산동,더큐브 호텔,0,중위험군,37.55609169,126.9854119,198711.0046,450729.7036,29.89795809,36.34416144581988,-6.446203355819879,5.385803882931744
중구,황학동,SINDANG GRAND JOY 호스텔,2,고위험군,37.56332856,127.018601,201643.4107,451532.9731,53.20401401,34.036476690883546,19.167537319116455,5.385803882931744
중구,태평로1가,글로카로카호스텔,1,저위험군,37.56555219,126.9758586,197867.1571,451779.8812,33.59953673,31.728791935947218,1.8707447940527793,5.385803882931744
중구,서소문동,ENA 스위트 호텔,1,저위험군,37.55956061,126.9731035,197623.558,451114.9525,11.80515737,26.036502873770935,-14.231345503770935,5.385803882931744
중구,남대문로4가,호텔 그레이스리 서울,1,저위험군,37.55884724,126.9761815,197895.4908,451035.7035,17.0760832,27.113422426074557,-10.037339226074558,5.385803882931744
중구,(광희동,더 페이즈,0,중위험군,37.56088977,127.0077684,200686.3643,451262.1619,25.87779921,38.65184620075621,-12.774046990756212,5.385803882931744
중구,을지로5가,머큐어 앰배서더 서울 동대문(MERCURE AMBASSADOR SEOUL DONGDAEMUN),1,저위험군,37.56466188,127.0010782,200095.2616,451680.7939,23.61681882,27.113422426074557,-3.496603606074558,5.385803882931744
중구,무학동,로밍 타이거,0,중위험군,37.56131454,127.0144614,201277.7058,451309.3763,22.3773573,34.036476690883546,-11.659119390883546,5.385803882931744
