구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,r50m_property_fire_count,r50m_property_fire_exists,r50m_property_damage_sum_천원,log1p_r50m_property_damage_sum_천원,r50m_property_damage_max_천원,nearest_property_fire_distance_m
종로구,인의동,호텔 아트리움,2004,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645,관광숙박업,호텔,17,9969.0,36.49,exact,기존숙박군,안전,보통,0,0,0.0,0.0,0.0,74.41124539597553
종로구,낙원동,베스트웨스턴 종로(인사동),2016,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606,관광숙박업,숙박시설,12,1604.0,21.84,exact,기존숙박군,안전,안전,1,1,301.0,5.71042701737487,301.0,39.55560773518223
종로구,숭인동,아이비씨호텔,2016,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499,관광숙박업,호텔,22,2997.0,40.53,exact,기존숙박군,보통,보통,1,1,11.0,2.4849066497880004,11.0,28.798974058911536
종로구,관철동,호스텔 하루,1967,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,관광숙박업,숙박시설,14,588.0,56.92,exact,기존숙박군,위험,위험,2,1,113.0,4.736198448394496,102.0,18.93094692944351
종로구,익선동,ICON,2012,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,관광숙박업,근린생활시설,10,861.0,22.21,exact,기존숙박군,안전,안전,1,1,162.0,5.093750200806762,162.0,29.2612744701153
종로구,익선동,호텔 다다-인사,2013,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238,관광숙박업,숙박시설,10,956.0,25.1,exact,기존숙박군,안전,안전,3,1,2379.0,7.77485576666552,1776.0,20.973300920072944
종로구,낙원동,종로크라운,1988,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005,관광숙박업,숙박시설,11,4286.0,30.33,exact,기존숙박군,안전,안전,2,1,73.0,4.30406509320417,55.0,39.38473234463681
종로구,평창동,동화킴스관광호텔,1990,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044,관광숙박업,숙박시설(관광호텔),6,3170.0,50.98,exact,기존숙박군,보통,위험,0,0,0.0,0.0,0.0,185.9219839490383
종로구,낙원동,오라카이 인사동 스위츠,2002,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,관광숙박업,호텔,30,45510.0,40.0,exact,기존숙박군,보통,보통,1,1,5.0,1.791759469228055,5.0,24.649897648187153
종로구,관수동,호텔베뉴지,1994,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523,관광숙박업,숙박시설,13,6629.0,39.35,exact,기존숙박군,보통,보통,1,1,75.0,4.330733340286331,75.0,14.372834065368876
종로구,관훈동,아미드 호텔 서울,1985,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181,관광숙박업,숙박시설,18,15679.0,48.72,exact,기존숙박군,보통,위험,0,0,0.0,0.0,0.0,72.13013179765433
