승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,총층수,시설규모/연면적,구,동,업종,건물용도명,업종그룹,실제등급,예측등급,target_col,target_label,best_model
1971,0,0.0,1.1067094989007291,0.7305,0.04,37.56069828,126.80726899,1,307.47,강서구,방화동,숙박업,여관,기존숙박군,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
1994,2,50.0,0.4700036292457356,0.413,0.45,37.57371059,126.96927796,3,58.0,종로구,필운동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2013,18,61.1,1.5218754194206014,0.1165,0.7,37.55279782,126.91957432,12,1256.0,마포구,서교동,관광숙박업,숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1988,13,69.2,0.1177830356563834,0.1523,1.0,37.49910744,127.1032239,5,43.0,송파구,석촌동,외국인관광도시민박업,단독주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2016,11,54.5,0.5287738230852111,0.2433,1.0,37.55921985,126.98703045,1,910.66,중구,명동,숙박업,숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1993,29,96.6,0.7190385944926869,0.4148,1.0,37.56228586,126.92349744,3,45.0,마포구,연남동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2014,25,12.0,0.2091487990270988,0.115,0.85,37.52358074,126.9083096,19,3397.0,영등포구,당산동,관광숙박업,호텔,기존숙박군,보통,안전,공통_3등급,공통 기준 3등급,LightGBM
2008,12,91.7,2.763236616669501,0.1237,0.25,37.52852779,126.84363309,5,50.0,강서구,화곡동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2020,11,100.0,0.8746092615811812,0.1065,0.25,37.57059843,127.01860129,11,2994.0,종로구,숭인동,관광숙박업,숙박시설,기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1973,16,81.2,1.0751920144600111,0.45,0.85,37.55473791,126.91955672,2,98.0,마포구,동교동,외국인관광도시민박업,주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1971,51,74.5,0.5823958162672426,0.1766,0.18,37.5610921,127.01362388,3,211.38,중구,신당동,숙박업,"점포, 주택",기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1993,15,100.0,0.2956502421009577,0.4148,0.85,37.49447966,127.04371162,4,93.0,강남구,역삼동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
2006,3,66.7,0.5596157879354227,0.3919,0.18,37.50577721,126.90029354,4,50.0,영등포구,도림동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,안전,공통_3등급,공통 기준 3등급,LightGBM
1971,0,0.0,2.5113651113274305,0.4535,0.12,37.55602148,126.98400789,3,275.0,중구,(남산동,관광숙박업,"주택, 근린생활시설, 차고",기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1996,3,66.7,0.6047980107286556,0.4095,0.12,37.54722267,126.93565608,5,76.0,마포구,신수동,외국인관광도시민박업,단독주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2004,6,66.7,0.6757554378480761,0.1293,0.55,37.49206508,127.01783973,18,10997.0,서초구,서초동,관광숙박업,호텔,기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2025,3,33.3,0.4895482253187058,0.1,0.08,37.53359476,126.89576702,12,31.0,영등포구,(양평동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2018,41,75.6,0.2297880940328783,0.1094,0.85,37.55715446,126.97870364,33,27476.0,중구,(회현동,관광숙박업,"숙박시설(관광호텔),판매시설",기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1993,1,100.0,0.0,0.1451,0.45,37.53873689,126.95267901,7,42.0,마포구,도화동,외국인관광도시민박업,단독주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1992,5,20.0,3.016934481204594,0.1465,0.18,37.57990788,126.99723791,5,69.0,종로구,명륜4가,외국인관광도시민박업,단독주택,외국인관광도시민박업,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
1992,8,50.0,0.2682639865946793,0.1465,0.7,37.5521011,126.93197305,4,47.0,마포구,노고산동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1989,33,93.9,0.4644463441808693,0.4218,0.85,37.5576118,126.81237318,3,31.0,강서구,공항동,외국인관광도시민박업,단독주택,외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2017,0,0.0,0.0927817334509661,0.1108,0.35,37.55690548,126.83542422,19,14782.98,강서구,마곡동,숙박업,숙박시설(생활숙박시설),기존숙박군,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1999,11,72.7,0.0,0.538,0.04,37.52626092,126.84221415,5,615.38,강서구,화곡동,숙박업,숙박시설 및 제2종근린생활시설,기존숙박군,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1970,5,20.0,0.0501897445238552,0.4553,1.0,37.54554836,127.02452143,2,210.98,성동구,성동,숙박업,영업,기존숙박군,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
1994,12,83.3,2.7782544597754586,0.1436,0.85,37.55209038,126.92319874,5,107.0,마포구,서교동,외국인관광도시민박업,단독주택,외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2004,6,100.0,0.0540672212702757,0.1293,0.85,37.56184051,127.02602858,8,3047.02,성동구,하왕십리동,외국인관광도시민박업,"공동주택(아파트),2종근린생활시설",외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1976,0,0.0,0.0,0.4447,0.7,37.56058292,127.0517683,4,324.13,성동구,용답동,외국인관광도시민박업,"다가구주택,근린생활시설",외국인관광도시민박업,위험,위험,공통_3등급,공통 기준 3등급,LightGBM
2022,0,0.0,0.3322409186014503,0.1036,0.04,37.55197601,126.81606209,6,335.14,강서구,공항동,외국인관광도시민박업,다세대주택,외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
1998,19,68.4,1.7227665977411035,0.138,0.85,37.54651143,126.98125874,4,83.0,용산구,후암동,외국인관광도시민박업,다가구용단독주택(6가구),외국인관광도시민박업,안전,안전,공통_3등급,공통 기준 3등급,LightGBM
2001,15,66.7,0.6851150088626811,0.1337,0.85,37.49985292,127.02731147,3,38.0,강남구,역삼동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,위험,보통,공통_3등급,공통 기준 3등급,LightGBM
1975,1,100.0,2.00372971994414,0.1708,0.25,37.5131442,126.9036083,1,765.31,영등포구,(영등포동,숙박업,점포및병원,기존숙박군,보통,위험,공통_3등급,공통 기준 3등급,LightGBM
1994,22,81.8,0.3011050927839216,0.413,0.85,37.55679475,126.9950393,4,40.0,중구,필동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1980,0,0.0,0.0,0.4377,0.7,37.5840424,126.80158516,2,83.0,강서구,개화동,외국인관광도시민박업,"주택, 창고",외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
2002,20,90.0,0.4483052667846567,0.1322,0.85,37.55533263,126.91183428,4,33.0,마포구,서교동,외국인관광도시민박업,다가구용 주택(공동주택적용),외국인관광도시민박업,보통,보통,공통_3등급,공통 기준 3등급,LightGBM
1997,1,0.0,0.075035185942914,0.4077,0.25,37.49473621,126.90681195,4,40.0,영등포구,신길동,외국인관광도시민박업,다가구주택(6가구),외국인관광도시민박업,안전,보통,공통_3등급,공통 기준 3등급,LightGBM
