최종위험순위,AHP위험순위,사각지대_위험순위,기대피해액순위,구,동,숙소명,업종,업종별_군집명,위험점수_AHP,사각지대_위험도점수,주변건물수_검증상태,주변건물수_보정출처,기대피해액_백만원,예상_화재발생확률,조건부_예상피해액_백만원,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
58,58,1663,3827,성동구,용답동,양BnB House,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.57,50.686240092910104,원본유지,,0.0204316470715813,0.1489508401485741,0.1371704050222296,0.6128,27,81.5,0.6567795363890705,0.5863,0.7,37.56192966,127.05165885
59,59,970,3477,마포구,연남동,모노하우스 5호점,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.5,54.440015153252666,원본유지,,0.0329658178747969,0.2164090072731319,0.1523310803472723,0.6209,13,92.3,2.292700333761504,0.457,0.7,37.56077809,126.92364622
59,59,3865,4246,용산구,한강로3가,메이호텔(MAY HOTEL),숙박업,숙박업 군집 2,82.5,38.514055240604726,보정,data\서울10구_숙소_소방거리_유클리드.csv,,,,0.6018,3,100.0,0.0116280379951191,0.1851,0.18,37.52134758,126.96361132
61,61,1360,3987,마포구,연남동,스테이 유,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.45,52.29466816732269,원본유지,,0.0114274905522008,0.0784740191974172,0.1456213237078215,0.6973,25,96.0,1.6624346731315,0.4165,1.0,37.56272888,126.92373514
62,62,2011,3983,마포구,망원동,프라이빗 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.36,49.10519735232969,원본유지,,0.0115314883169767,0.0831979528781222,0.1386030294984466,0.6474,29,96.6,0.7871761302082216,0.4272,1.0,37.55740113,126.90198525
63,63,3070,3817,마포구,연남동,연남 스테이션 2,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.29,43.979251103957694,원본유지,,0.0207727754735482,0.1466368793096754,0.1416613308421491,0.6128,26,100.0,0.2458349625162804,0.4483,0.7,37.56173552,126.92062526
64,64,4018,80,송파구,문정동,체커하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,82.17,36.957884038023806,통계추정,구+동+업종 중앙값,0.1315568681737222,0.5024920749298195,0.2618088418451099,0.8333,1,100.0,0.2358701058534324,0.1494,0.04,37.48242591,127.12407389
64,64,3858,2941,송파구,방이동,Jamsil Cozy Mood,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.17,38.59225250285468,원본유지,,0.0476700075235521,0.2746430208445445,0.1735707951979404,0.7137,25,96.0,0.6325225587435105,0.1394,0.55,37.50776511,127.11348652
66,66,2637,3975,송파구,거여동,위례스테이,외국인관광도시민박업,외국인관광도시민박업 군집 1,82.06,46.24899937974579,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.0122616791774713,0.0514292192523615,0.2384185363052799,0.7988,6,100.0,0.006872879287762,0.1036,0.85,37.48155593,127.1378417
67,67,1392,3706,마포구,연남동,JINI HOUSE,외국인관광도시민박업,외국인관광도시민박업 군집 1,81.94,52.177055243740966,원본유지,,0.0248601182164135,0.1614726207304516,0.1539587213234922,0.6448,18,83.3,1.240035952493896,0.4483,0.7,37.56319218,126.91624683
68,68,1295,3918,송파구,방이동,석촌별채,외국인관광도시민박업,외국인관광도시민박업 군집 1,81.89,52.6717957368235,원본유지,,0.0162896873540238,0.1165227462209017,0.1397983473813958,0.6236,24,100.0,1.94696001791815,0.4307,1.0,37.50887846,127.10930525
69,69,1266,3906,마포구,연남동,란 스테이,외국인관광도시민박업,외국인관광도시민박업 군집 1,81.87,52.819742079782095,원본유지,,0.0169560093677524,0.1243205802740915,0.1363894001328604,0.588,25,96.0,1.60878195963918,0.4553,1.0,37.55970759,126.92409936
70,70,698,270,마포구,염리동,혜성,숙박업,숙박업 군집 0,81.74,56.329097609588906,원본유지,,0.1103971324490678,0.6341558708964476,0.1740851697753891,0.5127,39,2.6,1.657065961423355,0.1808,0.55,37.55376086,126.94633598
71,71,3945,105,강남구,신사동,강남 인 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,81.66,37.67942820670042,원본유지,,0.1275020408435615,0.6265853488180435,0.2034871084746467,0.7384,8,87.5,0.7678443237670619,0.1351,0.0,37.51506078,127.02016128
72,72,1589,4246,마포구,연남동,"'Stay, C",외국인관광도시민박업,외국인관광도시민박업 군집 1,81.61,51.00076861172603,원본유지,,,,,0.6925,27,96.3,1.3968937265569326,0.4165,1.0,37.56263414,126.92367615
73,73,3554,3185,송파구,오금동,애플 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,81.54,41.09833333333333,원본유지,,0.0414664355423774,0.2100470397044071,0.1974149961871966,0.6949,1,100.0,0.0,0.1509,0.35,37.50595758,127.12679854
74,74,656,3489,송파구,방이동,Space Hue,외국인관광도시민박업,외국인관광도시민박업 군집 0,81.46,56.70715403928519,원본유지,,0.0326416501051719,0.1649048790675844,0.1979422943077028,0.7363,5,40.0,0.0,0.4254,0.35,37.50394558,127.12112885
75,75,773,3830,송파구,방이동,더골든아워스테이,외국인관광도시민박업,외국인관광도시민박업 군집 0,81.35,55.750436850404284,원본유지,,0.0202909743795362,0.0963999091313462,0.2104874845046742,0.7577,6,50.0,0.3343691864244341,0.1494,0.7,37.50866577,127.12287125
76,76,530,1469,마포구,염리동,서울큐브이화,외국인관광도시민박업,외국인관광도시민박업 군집 0,81.15,57.98247514218047,원본유지,,0.0786118488593944,0.5245801380069383,0.1498567009381409,0.5392,36,27.8,2.1386304130701665,0.4676,0.55,37.55325642,126.94607077
77,77,1776,19,강남구,논현동,프리시 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,80.92,50.13890782775678,원본유지,,0.1542977158649561,0.6758266741518701,0.2283095973662068,0.7514,6,33.3,1.0446362874663122,0.1408,0.0,37.51281808,127.02036698
77,77,4150,1719,성동구,용답동,스튜디오 성동,외국인관광도시민박업,외국인관광도시민박업 군집 1,80.92,34.755989749381854,원본유지,,0.0730092802839664,0.5671605697091534,0.128727708136351,0.5963,50,100.0,1.455287232606842,0.4095,0.45,37.56358259,127.05186799
79,79,2945,3972,마포구,연남동,컴피리피,외국인관광도시민박업,외국인관광도시민박업 군집 1,80.68,44.728227217227534,원본유지,,0.0125166180371325,0.0946689246928496,0.1322146425317744,0.6653,39,100.0,0.6200475271203404,0.4183,1.0,37.56137483,126.92580379
80,80,2090,3643,마포구,연남동,화이트테일,외국인관광도시민박업,외국인관광도시민박업 군집 1,80.61,48.701108459905896,원본유지,,0.0268343558890029,0.2003733886900203,0.133921755101502,0.5767,30,96.7,1.517466415316031,0.4588,0.85,37.55940438,126.92410779
81,81,1527,3660,송파구,방이동,아이다호텔,숙박업,숙박업 군집 2,80.57,51.34500854738781,원본유지,,0.0263129635571247,0.14658395230165,0.1795078052130577,0.7091,15,86.7,1.916057185905632,0.1565,0.85,37.51359226,127.11012591
82,82,2742,3279,강남구,논현동,B.B House,외국인관광도시민박업,외국인관광도시민박업 군집 1,80.52,45.709259460192754,원본유지,,0.0387119601810567,0.2180677082752535,0.1775226625126587,0.6997,19,89.5,1.357560341804087,0.1394,0.7,37.51138335,127.020135
83,83,2757,3535,영등포구,신길동,성원여인숙,숙박업,숙박업 군집 0,80.51,45.573444380418195,원본유지,,0.0312035030123626,0.2648406832251804,0.1178199007507917,0.5007,52,78.8,0.6002151231605879,0.457,1.0,37.50884384,126.90994624
84,84,219,3312,강남구,삼성동,케이트 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,80.35,62.42483497113821,원본유지,,0.0378603383191143,0.1795332495678924,0.2108820422414123,0.6628,14,7.1,0.5024573740954741,0.1509,0.7,37.51017237,127.04537728
85,85,2981,3110,마포구,연남동,연남민박 1971,외국인관광도시민박업,외국인관광도시민박업 군집 0,80.23,44.50126266172331,원본유지,,0.0431446019966022,0.2591825832098835,0.1664641252597753,0.6209,10,90.0,0.286041382994321,0.4535,0.25,37.56105059,126.92304312
86,86,777,4025,용산구,이촌동,E&S Ville,외국인관광도시민박업,외국인관광도시민박업 군집 1,80.22,55.74499999999999,통계추정,구+동 중앙값,0.0034469571772739,0.016846150876104,0.2046139324421801,0.7798,1,100.0,0.0,0.4447,1.0,37.5179488,126.96697041
87,87,2475,3858,마포구,연남동,Kim's Mansion,외국인관광도시민박업,외국인관광도시민박업 군집 1,80.06,47.04029580718502,원본유지,,0.0188511570110735,0.1380560553027513,0.136547121889972,0.5739,30,90.0,0.2560391326905222,0.4483,0.85,37.56119245,126.91934965
88,88,1025,3851,강남구,신사동,강남 신사동 가로수길,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.83,54.12233738354595,원본유지,,0.0191156849446576,0.1137772822069688,0.1680096814923465,0.7091,8,87.5,1.3721686588562418,0.4095,0.7,37.51850406,127.01951117
88,88,2075,4001,마포구,연남동,19th st.Guest House,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.83,48.744111084243734,원본유지,,0.0100590575515923,0.0712149062309886,0.1412493266362718,0.6778,29,96.6,0.7190385944926869,0.4148,1.0,37.56228586,126.92349744
90,90,2812,3952,마포구,연남동,스테이 정하집,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.81,45.31638832403414,원본유지,,0.0146301173916188,0.1027834342386612,0.1423392543748632,0.65,29,96.6,0.2251088319991636,0.4113,0.85,37.56324035,126.9167259
91,91,2883,3978,마포구,연남동,부영,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.75,44.990976740845454,원본유지,,0.012167382730316,0.0915496874342589,0.1329046889324814,0.6653,38,100.0,0.5968529101398721,0.4183,1.0,37.56131322,126.92573205
92,92,3802,618,강남구,논현동,렉스 관광 호텔,관광숙박업,관광숙박업 군집 1,79.57,39.25562781698293,원본유지,,0.0970391376356993,0.5448205852357615,0.1781120983042653,0.702,21,95.2,1.6943946349100658,0.1293,0.35,37.51162065,127.01975071
93,93,3248,3646,송파구,방이동,봉봉피아,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.55,43.0033188322368,원본유지,,0.0267651468995735,0.162638134049444,0.1645687037422394,0.6803,26,100.0,1.0837972028829692,0.1408,0.85,37.51009597,127.11068733
93,93,1768,3752,마포구,연남동,원 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.55,50.17274421087316,원본유지,,0.0233133671308786,0.1814165241344502,0.128507407151075,0.5795,38,89.5,1.6492889439189975,0.457,1.0,37.55918952,126.92568576
95,95,618,4246,용산구,한강로3가,허브하우스,외국인관광도시민박업,외국인관광도시민박업 군집 0,79.51,57.032042372590354,원본유지,,,,,0.6803,11,45.5,1.0628942060660302,0.1665,0.7,37.52079961,126.96832582
96,96,2267,2742,송파구,방이동,IMT 모텔,숙박업,숙박업 군집 2,79.44,47.98093165860888,원본유지,,0.0520832706978805,0.2756515129670445,0.1889460722971157,0.702,13,76.9,1.283789242058469,0.1523,0.55,37.5133991,127.10998442
97,97,2968,3982,마포구,연남동,BS 하우스,외국인관광도시민박업,외국인관광도시민박업 군집 1,79.42,44.5695863572833,원본유지,,0.011869184600014,0.089612712630438,0.1324497858798495,0.6577,38,100.0,0.410914712875729,0.4183,1.0,37.56096341,126.92534496
