구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_km,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_km,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_km,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_km,nearest5_fire_year
종로구,원남동,메이플레이스 호텔 서울 동대문,37.57336561,126.99794846,17,70.6,1.2008429113170085,0.115,0.18,15,4943.0,1358.8,784.0,0.059485034855761405,0.07343182162610064,0,0.059485034855761405,2024,3207,0.0681955033388429,2018,429,0.06985474936918261,2022,2374,0.07593946164114224,2019,784,0.09368435892557402,2022
종로구,권농동,언플러그 안국,37.57427525,126.99045283,54,72.2,2.3135541243646194,0.1394,0.85,6,1353.0,101.6,62.0,0.019932284936485332,0.040382611041940644,330,0.019932284936485332,2017,62,0.02269806147029411,2022,16,0.03926501480050909,2023,89,0.057207469039021026,2023,11,0.06281022496339367,2018
종로구,수송동,신라스테이 광화문,37.56990125,126.98030475,2,50.0,0.589606501619105,0.1136,0.08,23,17595.0,106.0,33.0,0.053510250790373026,0.07118125969192815,96,0.053510250790373026,2023,11,0.0703333423020733,2018,33,0.07435743623774568,2022,370,0.07521705399491431,2017,20,0.0824882151345344,2019
종로구,인의동,호텔 아트리움,37.56913495,126.99733645,31,74.2,0.3467462995973981,0.1293,0.18,17,9969.0,193.8,49.0,0.020622020280730072,0.07210870857500959,242,0.020622020280730072,2018,642,0.07276398310751304,2018,20,0.0744113481771652,2023,16,0.09020260067455298,2024,49,0.10254359063508665,2018
종로구,낙원동,베스트웨스턴 종로(인사동),37.5696394,126.98875606,18,61.1,1.8758425864385964,0.1122,0.85,12,1604.0,86.6,22.0,0.008371741489294612,0.03132265339695437,22,0.008371741489294612,2019,99,0.024445427238511373,2018,301,0.03955566237171465,2021,0,0.041146312348400674,2024,11,0.043094123536850534,2018
종로구,숭인동,아이비씨호텔,37.57050676,127.02206499,18,88.9,0.9974430536743816,0.1122,1.0,22,2997.0,4016.0,222.0,0.02879901383774872,0.055724914433842865,11,0.02879901383774872,2023,222,0.05698657413364019,2018,11,0.06036587483647986,2020,18547,0.06309646832505915,2017,1289,0.06937664103628635,2018
종로구,관철동,호스텔 하루,37.56622871,126.98353342,4,25.0,2.415417623490573,0.1823,0.08,14,588.0,31.2,11.0,0.018930973077981098,0.04803655404058165,102,0.018930973077981098,2024,11,0.031067150507865227,2022,1,0.05524204439043598,2018,9,0.06588649152802988,2022,33,0.0690561106985961,2023
종로구,익선동,ICON,37.57209924,126.98812931,19,47.4,2.7817292841849,0.1179,0.7,10,861.0,198.6,162.0,0.023503002667259205,0.034871733679299306,273,0.023503002667259205,2018,162,0.029261314887509007,2022,5,0.03187920565019625,2018,553,0.04463921168005205,2020,0,0.04507593351148001,2019
종로구,익선동,호텔 다다-인사,37.57189895,126.98875238,22,77.3,1.9857296100625288,0.1165,0.7,10,956.0,5167.0,220.0,0.017736486042353956,0.02451328297940556,220,0.017736486042353956,2018,139,0.020973329889630014,2024,3,0.020978847874581145,2018,24920,0.02164485361159035,2020,553,0.041232897478872335,2020
종로구,낙원동,종로크라운,37.57131629,126.9874005,8,62.5,0.9824726387554562,0.1523,0.55,11,4286.0,51.0,20.0,0.03938478674514609,0.04849879195027825,18,0.03938478674514609,2024,55,0.04374979502441704,2021,20,0.04431167547691485,2017,162,0.05713119218834568,2017,0,0.057916510316567645,2024
종로구,평창동,동화킴스관광호텔,37.60669991,126.97433044,0,0.0,0.0,0.1494,1.0,6,3170.0,320.0,33.0,0.07238413826630476,0.16876051586093815,0,0.07238413826630476,2023,1432,0.1673309616563334,2018,124,0.18592224075542013,2021,33,0.19806133252113142,2017,11,0.2201039061055011,2018
종로구,낙원동,오라카이 인사동 스위츠,37.57025733,126.98654665,19,94.7,0.6194439847728106,0.1322,0.08,30,45510.0,11538.6,11.0,0.024649931696075912,0.04001218816475719,5,0.024649931696075912,2024,57336,0.032921708058759484,2019,330,0.045589546445115176,2018,11,0.04807184202630468,2018,11,0.04882791259753069,2018
종로구,관수동,호텔베뉴지,37.56598513,126.9900523,24,75.0,0.2811160606808903,0.1436,0.08,13,6629.0,133.0,101.0,0.012561852938356937,0.03353077141354112,330,0.012561852938356937,2020,75,0.014372853917972826,2024,101,0.03512638256110653,2018,3,0.051388625690681665,2024,156,0.05420414195958761,2024
종로구,관훈동,아미드 호텔 서울,37.56984481,126.98341181,5,60.0,1.2127064842946906,0.1565,0.12,18,15679.0,225.8,60.0,0.05462363782879783,0.0750607525052123,60,0.05462363782879783,2017,961,0.07213023142803572,2022,97,0.07993915413179489,2021,0,0.0834858910106934,2022,11,0.08512484812673957,2024
종로구,당주동,포시즌스 호텔 서울,37.56801651,126.97463351,11,9.1,0.0120121564480035,0.1136,0.55,32,67265.0,716.8,363.0,0.11131802000949212,0.13196391147358025,11,0.11131802000949212,2020,1717,0.11450049336527982,2020,1480,0.12645588542515035,2018,363,0.15307847984910802,2018,13,0.1544666787188709,2022
종로구,와룡동,Hostel Tommy 호스텔 토미,37.5716747,126.99041695,62,69.4,2.1717454920352344,0.1851,1.0,4,469.0,5245.8,4152.0,0.023507762315730207,0.03178260122302449,440,0.023507762315730207,2020,4152,0.0304124755141659,2021,15506,0.03204815679640137,2018,92,0.033578432040727316,2018,6039,0.03936617944809766,2019
종로구,운니동,노블관광호텔,37.57393452,126.98887068,22,54.5,3.049457672910154,0.1279,0.85,6,1229.0,138.0,73.0,0.011742706943847736,0.061655171052797095,110,0.011742706943847736,2017,479,0.06156924764666302,2019,0,0.06503984469965822,2020,28,0.0838324869111037,2023,73,0.08609156906271281,2018
종로구,와룡동,바운드 호스텔,37.57338396,126.98952523,90,66.7,0.9784679768260464,0.248,1.0,6,1482.0,122.0,30.0,0.011429596483621407,0.03340679551415322,30,0.011429596483621407,2017,479,0.02924093611753921,2019,0,0.04206609312447616,2023,90,0.04213003569117072,2022,11,0.0421673161539586,2021
종로구,익선동,호텔 이비스앰배서더 인사동,37.57168791,126.98843016,12,58.3,2.352052076140245,0.1165,0.7,12,14346.0,5112.4,220.0,0.04453643838419476,0.0458355379883925,220,0.04453643838419476,2018,24920,0.04487842875843436,2020,11,0.0465876075997778,2020,47,0.0465876075997778,2017,364,0.0465876075997778,2017
