구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,연면적,건물나이_2026,AHP_전체변수,EWM_전체변수,AHP순위,EWM순위,순위차_EWM-AHP
종로구,명륜4가,호스텔 데이,1998,0.1867,5,0.0,2.6288008294480694,0.138,0.18,37.57929506,126.99713608,관광숙박업,숙박시설,8,349.0,28,13.557633743243683,6.212288874067442,4052,3691,-361
종로구,숭인동,루미아호텔,2017,0.3287,2,100.0,0.2694761079552084,0.1108,0.25,37.57109607,127.02145559,관광숙박업,관광숙박시설,15,1998.0,9,23.8283125637999,9.190650070563795,3265,2933,-332
종로구,창신동,24guesthouse동대문마켓점,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,근린생활시설,6,152.0,34,9.043945612760542,3.3195423151674257,4204,4132,-72
종로구,관철동,호스텔 클로이,1985,0.2744,14,0.0,0.4418327522790392,0.1565,0.08,37.56597443,126.98782642,관광숙박업,"근린생활시설, 업무시설",6,293.0,41,13.888932496392492,4.444689419648911,4043,4006,-37
종로구,원남동,메이플레이스 호텔 서울 동대문,2014,0.2365,17,70.6,1.2008429113170085,0.115,0.18,37.57336561,126.99794846,관광숙박업,숙박시설(관광호텔),15,4943.0,12,19.210537256694263,9.377824018528493,3683,2877,-806
종로구,권농동,언플러그 안국,1997,0.1658,54,72.2,2.3135541243646194,0.1394,0.85,37.57427525,126.99045283,관광숙박업,숙박시설,6,1353.0,29,33.168735535641154,15.225018368600068,2059,827,-1232
종로구,수송동,신라스테이 광화문,2015,0.4643,2,50.0,0.589606501619105,0.1136,0.08,37.56990125,126.98030475,관광숙박업,"숙박시설(관광호텔 및 부대시설),업무시설,판매시설",23,17595.0,11,22.655836171804374,8.02521015604945,3388,3276,-112
종로구,인의동,호텔 아트리움,2004,0.2167,31,74.2,0.3467462995973981,0.1293,0.18,37.56913495,126.99733645,관광숙박업,호텔,17,9969.0,22,19.37255677810952,10.12379572531319,3673,2619,-1054
종로구,낙원동,베스트웨스턴 종로(인사동),2016,0.1658,18,61.1,1.8758425864385964,0.1122,0.85,37.5696394,126.98875606,관광숙박업,숙박시설,12,1604.0,10,28.208762389859825,11.49417553256021,2723,2198,-525
종로구,숭인동,아이비씨호텔,2016,0.3595,18,88.9,0.9974430536743816,0.1122,1.0,37.57050676,127.02206499,관광숙박업,호텔,22,2997.0,10,39.32644528001369,13.98485788673683,1221,1241,20
종로구,관철동,호스텔 하루,1967,0.3997,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,관광숙박업,숙박시설,14,588.0,59,23.362367236451203,9.241371567131171,3307,2914,-393
종로구,익선동,ICON,2012,0.1735,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,관광숙박업,근린생활시설,10,861.0,14,26.161304367657863,11.358851918683738,2986,2249,-737
종로구,익선동,호텔 다다-인사,2013,0.1482,22,77.3,1.9857296100625288,0.1165,0.7,37.57189895,126.98875238,관광숙박업,숙박시설,10,956.0,13,26.763410056807786,12.085425408473128,2921,1972,-949
종로구,낙원동,종로크라운,1988,0.1947,8,62.5,0.9824726387554562,0.1523,0.55,37.57131629,126.9874005,관광숙박업,숙박시설,11,4286.0,38,24.114886977951606,9.910353384994078,3228,2702,-526
종로구,평창동,동화킴스관광호텔,1990,0.5451,0,0.0,0.0,0.1494,1.0,37.60669991,126.97433044,관광숙박업,숙박시설(관광호텔),6,3170.0,36,38.205487538696616,7.161417968418063,1371,3485,2114
종로구,낙원동,오라카이 인사동 스위츠,2002,0.2337,19,94.7,0.6194439847728106,0.1322,0.08,37.57025733,126.98654665,관광숙박업,호텔,30,45510.0,24,19.72483570398456,12.86286563907659,3640,1665,-1975
종로구,관수동,호텔베뉴지,1994,0.2195,24,75.0,0.2811160606808903,0.1436,0.08,37.56598513,126.9900523,관광숙박업,숙박시설,13,6629.0,32,17.774911787519947,9.202875315547935,3802,2928,-874
종로구,관훈동,아미드 호텔 서울,1985,0.3626,5,60.0,1.2127064842946906,0.1565,0.12,37.56984481,126.98341181,관광숙박업,숙박시설,18,15679.0,41,23.04462456810718,9.956906567347973,3350,2686,-664
종로구,당주동,포시즌스 호텔 서울,2015,0.6046,11,9.1,0.0120121564480035,0.1136,0.55,37.56801651,126.97463351,관광숙박업,호텔,32,67265.0,11,33.03664615376595,10.452887822078319,2078,2532,454
종로구,와룡동,Hostel Tommy 호스텔 토미,1965,0.0959,62,69.4,2.1717454920352344,0.1851,1.0,37.5716747,126.99041695,관광숙박업,숙박시설,4,469.0,61,35.2752206196211,16.742406610280806,1756,437,-1319
종로구,운니동,노블관광호텔,2005,0.1556,22,54.5,3.049457672910154,0.1279,0.85,37.57393452,126.98887068,관광숙박업,숙박시설,6,1229.0,21,29.554524268741012,12.697444141807146,2543,1729,-814
종로구,와룡동,바운드 호스텔,2013,0.1556,90,66.7,0.9784679768260464,0.248,1.0,37.57338396,126.98952523,관광숙박업,숙박시설,6,1482.0,13,37.47751529888775,16.974289485115776,1471,386,-1085
종로구,익선동,호텔 이비스앰배서더 인사동,2013,0.1581,12,58.3,2.352052076140245,0.1165,0.7,37.57168791,126.98843016,관광숙박업,호텔,12,14346.0,13,25.434316247852685,11.526206138877928,3070,2191,-879
종로구,종로6가,주) 동승 JW메리어트 동대문 스퀘어 서울,2015,0.1658,15,73.3,1.9090851529441544,0.1136,1.0,37.56764454,127.00812433,관광숙박업,숙박시설,16,41731.0,11,31.78669423423837,14.356291743746546,2234,1124,-1110
종로구,인사동,도미인 익스프레스 서울 인사동,2018,0.2481,26,88.5,3.678599523494187,0.1094,0.7,37.56962018,126.9863919,관광숙박업,호텔,16,4543.0,8,33.42625764083424,15.748845482766614,2026,673,-1353
종로구,효제동,더도아스테이,2020,0.3718,13,84.6,2.205256749033484,0.1065,0.7,37.57184081,127.00175573,관광숙박업,업무시설,11,95.0,6,34.875704233366115,12.694401652766347,1818,1730,-88
종로구,창신동,케이스테이,1970,0.129,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412,관광숙박업,숙박시설,6,498.0,56,14.979388089466122,8.963839835601712,3985,3010,-975
종로구,창신동,오리지날 백패커스,1966,0.1433,2,100.0,1.4376179213932505,0.1837,0.18,37.56968368,127.01175024,관광숙박업,숙박시설,6,276.0,60,20.05777298498503,10.828781126881957,3612,2436,-1176
중구,장충동,앰배서더 서울 풀만 호텔,1963,0.3935,3,0.0,0.0,0.188,0.45,37.55742965,127.00160709,숙박업,"숙박시설,호텔, 관광호텔, 관람집회시설, 근린생활시설, 영업, 운동시설",20,32899.27,63,25.09512979304183,8.063905852185151,3114,3268,154
성동구,성동,호텔 포코 성수,2014,0.2394,14,42.9,4.611152257665639,0.115,0.85,37.54070199,127.0562547,관광숙박업,관광호텔,13,3177.53,12,32.61422712966497,13.999475383635831,2139,1235,-904
중구,회현동,루미아 호텔,2015,0.2223,0,0.0,0.0219789067187752,0.1136,0.12,37.55527178,126.97898241,관광숙박업,호텔,6,956.0,11,9.342894557528393,1.8823243319537912,4194,4238,44
중구,광희동,소테츠호텔즈 더 스프라지르 서울 동대문,2015,0.3196,10,70.0,1.3909133069761852,0.1136,0.7,37.5619628,127.00695765,관광숙박업,호텔,25,12563.0,11,31.16398140106455,12.31665345961778,2316,1873,-443
중구,명동,호텔 크레토,2015,0.0877,5,0.0,0.4885317068067778,0.1136,0.12,37.55924412,126.98729931,관광숙박업,관광호텔,10,1377.0,11,5.29375775591853,2.648853970278456,4240,4192,-48
중구,남창동,24게스트하우스 명동타운점,1964,0.2167,41,70.7,0.8002011767241046,0.1866,1.0,37.55661038,126.97811019,관광숙박업,"업무시설, 제1종근린생활시설",11,267.0,62,36.9637739649198,14.77483030480515,1542,977,-565
중구,쌍림동,호텔 더 디자이너스 동대문,2015,0.4213,53,67.9,0.616029877215514,0.1136,0.85,37.56091185,127.00486601,관광숙박업,관광호텔,20,4804.0,11,39.39476906484497,14.334721027076519,1211,1134,-77
중구,명동,솔라리아 니시테츠 호텔 서울 명동,1971,0.1001,23,69.6,1.7060041108251514,0.1766,0.7,37.55974994,126.98437425,관광숙박업,호텔,24,12389.0,55,26.91408993599545,14.343847875403243,2905,1129,-1776
중구,태평로2가,24게스트하우스 서울시청점,1960,0.3564,3,0.0,2.1118068261818674,0.1922,0.55,37.56195615,126.97553552,관광숙박업,제2종근린생활시설,6,358.0,66,27.864233866525147,8.637524767471355,2764,3107,343
