gu_key,dong_key,gu_label,gwr_factor,mgwr_factor
Seodaemun-gu,대현동,서대문구,데이터 없음,데이터 없음
Mapo-gu,당인동,마포구,주변건물수,데이터 없음
Jung-gu,만리동2가,중구,도로폭위험,데이터 없음
Seocho-gu,반포동,서초구,소방위험,노후도
Mapo-gu,연남동,마포구,노후도,노후도
Seocho-gu,서초동,서초구,단속위험,노후도
Nowon-gu,중계동,노원구,데이터 없음,데이터 없음
Mapo-gu,창전동,마포구,노후도,데이터 없음
Jongno-gu,무악동,종로구,데이터 없음,데이터 없음
Seodaemun-gu,대신동,서대문구,데이터 없음,데이터 없음
Gangnam-gu,대치동,강남구,주변건물수,도로폭위험
Mapo-gu,신공덕동,마포구,주변건물수,데이터 없음
Seongbuk-gu,안암동4가,성북구,데이터 없음,데이터 없음
Mapo-gu,중동,마포구,데이터 없음,데이터 없음
Nowon-gu,하계동,노원구,데이터 없음,데이터 없음
Mapo-gu,현석동,마포구,노후도,데이터 없음
Seodaemun-gu,천연동,서대문구,데이터 없음,데이터 없음
Gwangjin-gu,구의동,광진구,데이터 없음,데이터 없음
Seongdong-gu,하왕십리동,성동구,단속위험,노후도
Seongbuk-gu,정릉동,성북구,데이터 없음,데이터 없음
Songpa-gu,장지동,송파구,집중도,데이터 없음
Yeongdeungpo-gu,신길동,영등포구,소방위험,노후도
Yeongdeungpo-gu,양평동,영등포구,데이터 없음,노후도
Yeongdeungpo-gu,당산동,영등포구,데이터 없음,도로폭위험
Seongbuk-gu,보문동4가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,동선동3가,성북구,데이터 없음,데이터 없음
Yongsan-gu,용산동6가,용산구,데이터 없음,데이터 없음
Seodaemun-gu,현저동,서대문구,데이터 없음,데이터 없음
Seongbuk-gu,보문동2가,성북구,데이터 없음,데이터 없음
Seodaemun-gu,옥천동,서대문구,데이터 없음,데이터 없음
Seongbuk-gu,보문동3가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,성북동1가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,안암동3가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,동선동2가,성북구,데이터 없음,데이터 없음
Mapo-gu,구수동,마포구,노후도,데이터 없음
Songpa-gu,송파동,송파구,노후도,도로폭위험
Seocho-gu,염곡동,서초구,데이터 없음,데이터 없음
Jung-gu,인현동2가,중구,단속위험,데이터 없음
Gangdong-gu,길동,강동구,데이터 없음,데이터 없음
Gangdong-gu,성내동,강동구,데이터 없음,데이터 없음
Seongbuk-gu,동소문동1가,성북구,데이터 없음,데이터 없음
Seongdong-gu,행당동,성동구,단속위험,도로폭위험
Songpa-gu,문정동,송파구,소방위험,데이터 없음
Mapo-gu,망원동,마포구,노후도,노후도
Seongdong-gu,옥수동,성동구,주변건물수,데이터 없음
Seongdong-gu,마장동,성동구,단속위험,데이터 없음
Seongbuk-gu,동소문동3가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,보문동1가,성북구,데이터 없음,데이터 없음
Yeongdeungpo-gu,도림동,영등포구,소방위험,노후도
Yongsan-gu,청파동2가,용산구,집중도,데이터 없음
Yongsan-gu,원효로4가,용산구,주변건물수,데이터 없음
Yeongdeungpo-gu,영등포동,영등포구,소방위험,노후도
Yongsan-gu,효창동,용산구,도로폭위험,노후도
Yongsan-gu,후암동,용산구,소방위험,도로폭위험
Mapo-gu,합정동,마포구,노후도,노후도
Yongsan-gu,이태원동,용산구,노후도,도로폭위험
Yongsan-gu,한강로3가,용산구,집중도,데이터 없음
Seongdong-gu,금호동1가,성동구,단속위험,데이터 없음
Seongbuk-gu,보문동5가,성북구,데이터 없음,데이터 없음
Seongdong-gu,성수동2가,성동구,소방위험,데이터 없음
Songpa-gu,오금동,송파구,데이터 없음,데이터 없음
Songpa-gu,거여동,송파구,주변건물수,데이터 없음
Seongbuk-gu,석관동,성북구,데이터 없음,데이터 없음
Mapo-gu,신정동,마포구,데이터 없음,데이터 없음
Yangcheon-gu,신월동,양천구,집중도,데이터 없음
Yongsan-gu,이촌동,용산구,집중도,데이터 없음
Yongsan-gu,보광동,용산구,노후도,도로폭위험
Yongsan-gu,한남동,용산구,노후도,노후도
Mapo-gu,노고산동,마포구,노후도,노후도
Yeongdeungpo-gu,양평동3가,영등포구,데이터 없음,데이터 없음
Yongsan-gu,청파동1가,용산구,단속위험,데이터 없음
Yongsan-gu,한강로2가,용산구,소방위험,데이터 없음
Yongsan-gu,용산동2가,용산구,노후도,데이터 없음
Yongsan-gu,청파동3가,용산구,도로폭위험,데이터 없음
Seongdong-gu,용답동,성동구,단속위험,데이터 없음
Seongdong-gu,사근동,성동구,단속위험,데이터 없음
Seongbuk-gu,길음동,성북구,데이터 없음,데이터 없음
Seongdong-gu,금호동2가,성동구,데이터 없음,데이터 없음
Songpa-gu,방이동,송파구,노후도,소방위험
Gwangjin-gu,광장동,광진구,데이터 없음,데이터 없음
Songpa-gu,가락동,송파구,단속위험,데이터 없음
Yeongdeungpo-gu,양평동6가,영등포구,데이터 없음,데이터 없음
Mapo-gu,동교동,마포구,소방위험,노후도
Seongbuk-gu,삼선동4가,성북구,데이터 없음,데이터 없음
Yongsan-gu,원효로3가,용산구,집중도,데이터 없음
Yongsan-gu,동빙고동,용산구,노후도,데이터 없음
Seongbuk-gu,보문동7가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,동선동4가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,동선동5가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,보문동6가,성북구,데이터 없음,데이터 없음
Songpa-gu,풍납동,송파구,노후도,노후도
Songpa-gu,잠실동,송파구,노후도,도로폭위험
Seongbuk-gu,동소문동6가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,동소문동7가,성북구,데이터 없음,데이터 없음
Seongdong-gu,금호동3가,성동구,데이터 없음,데이터 없음
Seongbuk-gu,장위동,성북구,데이터 없음,데이터 없음
Yeongdeungpo-gu,양화동,영등포구,데이터 없음,데이터 없음
Yongsan-gu,남영동,용산구,소방위험,도로폭위험
Yangcheon-gu,신정동,양천구,집중도,데이터 없음
Yangcheon-gu,목동,양천구,주변건물수,데이터 없음
Songpa-gu,삼전동,송파구,집중도,노후도
Yeongdeungpo-gu,문래동5가,영등포구,데이터 없음,데이터 없음
Seongbuk-gu,동소문동2가,성북구,데이터 없음,데이터 없음
Mapo-gu,마포동,마포구,데이터 없음,데이터 없음
Seodaemun-gu,합동,서대문구,데이터 없음,데이터 없음
Seodaemun-gu,미근동,서대문구,데이터 없음,데이터 없음
Seocho-gu,잠원동,서초구,소방위험,도로폭위험
Yongsan-gu,한강로1가,용산구,소방위험,데이터 없음
Yeongdeungpo-gu,당산동4가,영등포구,데이터 없음,데이터 없음
Gwangjin-gu,화양동,광진구,노후도,데이터 없음
Seongdong-gu,홍익동,성동구,데이터 없음,데이터 없음
Mapo-gu,신수동,마포구,노후도,노후도
Seodaemun-gu,영천동,서대문구,집중도,데이터 없음
Seongbuk-gu,동소문동5가,성북구,데이터 없음,데이터 없음
Mapo-gu,용강동,마포구,주변건물수,데이터 없음
Yeongdeungpo-gu,당산동2가,영등포구,데이터 없음,데이터 없음
Seongbuk-gu,삼선동5가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,삼선동3가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,동소문동4가,성북구,데이터 없음,데이터 없음
Seongdong-gu,도선동,성동구,단속위험,노후도
Yongsan-gu,동자동,용산구,소방위험,노후도
Yongsan-gu,용문동,용산구,집중도,데이터 없음
Seongbuk-gu,삼선동1가,성북구,데이터 없음,데이터 없음
Yeongdeungpo-gu,당산동5가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,당산동3가,영등포구,주변건물수,데이터 없음
Yongsan-gu,신창동,용산구,주변건물수,데이터 없음
Yeongdeungpo-gu,당산동6가,영등포구,데이터 없음,데이터 없음
Yeongdeungpo-gu,영등포동1가,영등포구,데이터 없음,데이터 없음
Songpa-gu,석촌동,송파구,단속위험,노후도
Seongbuk-gu,안암동1가,성북구,데이터 없음,데이터 없음
Seongbuk-gu,안암동2가,성북구,데이터 없음,데이터 없음
Yeongdeungpo-gu,문래동4가,영등포구,주변건물수,데이터 없음
Yeongdeungpo-gu,양평동2가,영등포구,주변건물수,데이터 없음
