gu_key,dong_key,gwr_score,gwr_n,mgwr_score,mgwr_n
Yongsan-gu,(용산동,40.41916567388889,18.0,,
Yongsan-gu,(청파동,42.126159609411765,17.0,,
Yongsan-gu,갈월동,30.202661626153844,13.0,41.20973387051451,4.0
Yongsan-gu,관철동,24.6571815,1.0,,
Yongsan-gu,남영동,35.3017107875,4.0,16.151347125225687,1.0
Yongsan-gu,동빙고동,22.747904495,2.0,,
Yongsan-gu,동자동,38.62135464466667,15.0,37.97724092341126,7.0
Yongsan-gu,문배동,25.20935344,1.0,,
Yongsan-gu,보광동,40.22695078416667,12.0,37.36896081313104,1.0
Yongsan-gu,서계동,37.71556978512196,41.0,40.30953374767669,12.0
Yongsan-gu,신창동,31.15370284,1.0,,
Yongsan-gu,용문동,34.604721293333334,3.0,,
Yongsan-gu,용산동,,,42.25044037687445,2.0
Yongsan-gu,원효로1가,34.23150802,1.0,33.22860270659787,1.0
Yongsan-gu,원효로2가,27.26759681,4.0,,
Yongsan-gu,원효로3가,28.854269645,2.0,,
Yongsan-gu,이촌동,26.286848046666666,3.0,,
Yongsan-gu,이태원동,33.69442173253521,71.0,36.743904112999495,6.0
Yongsan-gu,청파동,,,39.84314950172168,1.0
Yongsan-gu,한강로1가,43.133589025000006,2.0,,
Yongsan-gu,한강로3가,31.620370266,10.0,,
Yongsan-gu,한남동,38.740989899999995,11.0,42.90365613589169,3.0
Yongsan-gu,효창동,34.44815724,3.0,36.32274355291237,1.0
Yongsan-gu,후암동,34.136588314,20.0,32.52750369730762,5.0
