구,법정동코드,법정동명,면적_m2,면적_ha,전체건물수,전체연면적합계_m2,상가수,상가연면적합계_m2,상가입체화재하중_분자,숙박시설수,숙박연면적합계_m2,숙박입체화재하중_분자,복합입체화재하중_분자,상가수_per_ha,숙박시설수_per_ha,상가연면적_per_ha,숙박연면적_per_ha,상가_입체화재하중밀도,숙박_입체화재하중밀도,복합_입체화재하중밀도,상가숙박_개수,상가숙박_개수_per_ha
용산구,1117010700,동자동,290965.531422,29.096553,544,473154.485,136,43975.98,71879.98,30,191893.45,191893.45,263773.43,4.674093,1.03105,1511.381083,6595.057808,0.24704,0.659506,0.906545,166,5.705143
용산구,1117012100,용문동,199292.32819,19.929233,790,210173.3635,147,35419.88,62121.61,5,1324.72,1324.72,63446.33,7.376099,0.250888,1777.282664,66.471199,0.311711,0.006647,0.318358,152,7.626987
영등포구,1156011500,당산동5가,288502.818742,28.850282,199,617425.71,42,36129.52,65389.39,4,4993.82,4993.82,70383.21,1.455792,0.138647,1252.310815,173.094323,0.226651,0.017309,0.24396,46,1.594438
영등포구,1156011300,당산동3가,364264.316753,36.426432,634,658153.1471,263,138948.362,270298.586,8,3862.74,3862.74,274161.326,7.220032,0.219621,3814.492818,106.042229,0.74204,0.010604,0.752644,271,7.439653
용산구,1117011400,신창동,63550.598655,6.35506,259,81865.68,33,6849.8,13426.66,1,445.63,445.63,13872.29,5.192713,0.157355,1077.849799,70.122077,0.211275,0.007012,0.218287,34,5.350068
영등포구,1156011600,당산동6가,158517.102584,15.85171,430,233884.462,127,93870.13,169156.36,6,2113.83,2113.83,171270.19,8.011754,0.378508,5921.766703,133.35028,1.067117,0.013335,1.080452,133,8.390262
영등포구,1156010200,영등포동1가,75760.147999,7.576015,130,205491.944,25,13504.23,19715.39,7,52679.52,52679.52,72394.91,3.299888,0.923969,1782.497838,6953.460545,0.260234,0.695346,0.95558,32,4.223857
송파구,1171010500,석촌동,951078.711874,95.107871,2215,1413728.8167,439,356493.053,1292455.547,43,36674.973,36674.973,1329130.52,4.615811,0.452118,3748.302307,385.614487,1.358936,0.038561,1.397498,482,5.06793
영등포구,1156012200,문래동4가,169829.551011,16.982955,295,109475.519,177,30799.34,42084.0,1,570.59,570.59,42654.59,10.422214,0.058883,1813.544216,33.597804,0.247801,0.00336,0.251161,178,10.481097
영등포구,1156012600,양평동2가,189569.031252,18.956903,313,392536.0799,61,44312.29,65547.57,3,3319.97,3319.97,68867.54,3.217825,0.158254,2337.527902,175.132509,0.345772,0.017513,0.363285,64,3.376079
영등포구,1156012000,문래동2가,147266.878726,14.726688,351,95245.465,189,38978.475,75830.31,1,674.64,674.64,76504.95,12.833843,0.067904,2646.791684,45.810708,0.514918,0.004581,0.519499,190,12.901747
영등포구,1156010400,영등포동3가,118224.053168,11.822405,299,331118.5896,165,167050.307,281876.76,48,68314.79,68314.79,350191.55,13.956551,4.060087,14129.976306,5778.417181,2.384259,0.577842,2.962101,213,18.016638
성동구,1120011200,금호동4가,833964.846789,83.396485,915,514570.798,127,46768.46,340576.43,1,236.03,236.03,340812.46,1.522846,0.011991,560.796539,2.830215,0.408382,0.000283,0.408665,128,1.534837
용산구,1117010400,갈월동,223616.554183,22.361655,493,292249.917,120,94008.02,186082.67,21,19293.32,19293.32,205375.99,5.366329,0.939108,4203.983034,862.785855,0.832151,0.086279,0.918429,141,6.305437
영등포구,1156010700,영등포동6가,102831.188802,10.283119,284,139726.02,124,47757.49,70455.02,9,6010.21,6010.21,76465.23,12.058598,0.875221,4644.261197,584.473453,0.685152,0.058447,0.7436,133,12.933819
성동구,1120011400,성수동1가,2830165.833978,283.016583,3379,1763884.8016,763,309558.478,588263.575,48,16122.84,16122.84,604386.415,2.695955,0.169601,1093.782118,56.967828,0.207855,0.005697,0.213552,811,2.865556
영등포구,1156010800,영등포동7가,287635.891407,28.763589,483,412705.5137,125,60561.42,93301.23,1,157.45,157.45,93458.68,4.345772,0.034766,2105.488981,5.473934,0.324373,0.000547,0.32492,126,4.380538
용산구,1117011500,산천동,94380.67598,9.438068,143,193487.21,22,17483.54,417146.135,1,148.2,148.2,417294.335,2.330986,0.105954,1852.449118,15.702367,4.419826,0.00157,4.421396,23,2.43694
용산구,1117011300,원효로2가,127595.297783,12.75953,505,136820.455,210,67497.12,124770.97,7,3297.14,3297.14,128068.11,16.458287,0.54861,5289.937887,258.406074,0.977865,0.025841,1.003706,217,17.006896
영등포구,1156010300,영등포동2가,315046.196047,31.50462,597,313012.0913,257,95036.649,145609.359,8,7081.7326,7081.7326,152691.0916,8.157534,0.253931,3016.59408,224.783942,0.462184,0.022478,0.484663,265,8.411465
영등포구,1156012100,문래동3가,672213.882623,67.221388,625,1273294.0,186,196208.58,528603.32,1,12583.76,12583.76,541187.08,2.766976,0.014876,2918.841534,187.198752,0.786362,0.01872,0.805082,187,2.781853
용산구,1117010800,서계동,254422.766079,25.442277,1566,245198.21,208,68021.13,121255.22,76,17231.81,17231.81,138487.03,8.175369,2.987154,2673.547303,677.290412,0.47659,0.067729,0.544319,284,11.162523
영등포구,1156010900,영등포동8가,163055.176802,16.305518,226,416011.1323,65,43018.81,70111.57,1,11855.15,11855.15,81966.72,3.986381,0.061329,2638.297713,727.063699,0.429987,0.072706,0.502693,66,4.04771
송파구,1171010200,신천동,4343307.854574,434.330785,392,266324888.6757,14,91763.992,306344.422,4,988453.8,988453.8,1294798.222,0.032233,0.00921,211.276739,2275.808746,0.070533,0.227581,0.298113,18,0.041443
영등포구,1156010500,영등포동4가,193640.923066,19.364092,329,573560.72,125,437463.275,1264902.665,8,687669.17,687669.17,1952571.835,6.455247,0.413136,22591.468171,35512.595123,6.532207,3.55126,10.083467,133,6.868383
영등포구,1156012900,양평동5가,223341.999168,22.3342,315,503355.4042,71,46959.38,104776.5,4,28959.47,28959.47,133735.97,3.178981,0.179098,2102.577221,1296.642374,0.46913,0.129664,0.598795,75,3.358079
영등포구,1156011100,당산동1가,219484.370172,21.948437,783,442621.32,256,84928.85,151768.31,26,12112.31,12112.31,163880.62,11.663701,1.184595,3869.471431,551.852963,0.691477,0.055185,0.746662,282,12.848295
영등포구,1156013300,대림동,1995660.557452,199.566056,5270,2525581.243,1000,606728.803,1252113.582,20,7106.36,7106.36,1259219.942,5.010872,0.100217,3040.240489,35.609062,0.627418,0.003561,0.630979,1020,5.11109
영등포구,1156012500,양평동1가,232618.143212,23.261814,552,295828.636,178,61308.83,97442.77,9,7948.49,7948.49,105391.26,7.652026,0.3869,2635.599664,341.696907,0.418896,0.03417,0.453066,187,8.038926
용산구,1117012600,용산동3가,335676.964759,33.567696,309,16420.145,34,4222.85,9318.69,2,259.76,259.76,9578.45,1.012879,0.059581,125.801006,7.738392,0.027761,0.000774,0.028535,36,1.07246
영등포구,1156011000,여의도동,8550628.004297,855.0628,828,7580360.5667,81,628740.54,18432808.31,11,513482.89,513482.89,18946291.2,0.09473,0.012865,735.315043,600.520675,2.155726,0.060052,2.215778,92,0.107594
