구,동,숙소명,위도,경도,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,업종,건물용도명,match_radius_m,fire_count_within_match_radius,is_train_matched,split,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_mean_distance_m,nearest1_distance_m,nearest1_damage_thousand_krw,nearest1_fire_year,nearest2_damage_thousand_krw,nearest2_distance_m,nearest2_fire_year,nearest3_damage_thousand_krw,nearest3_distance_m,nearest3_fire_year,nearest4_damage_thousand_krw,nearest4_distance_m,nearest4_fire_year,nearest5_damage_thousand_krw,nearest5_distance_m,nearest5_fire_year,predicted_damage_thousand_krw,prediction_model,pred_linear_raw_damage_thousand_krw,pred_ridge_log1p_damage_thousand_krw,pred_random_forest_log1p_damage_thousand_krw
종로구,창신동,동대문인순,37.56877711,127.01021919,1934,2,50.0,2.585960082443016,0.2295,0.08,6,46.0,관광숙박업,숙박시설,44,1,1,train_matched,14322746.8,50.0,76.0643377550636,16.79558118010015,50,2017,15,59.95228506561625,2018,302,88.20211486402285,2018,31,106.10426929413387,2022,71613336,109.2674383714449,2019,14028.449730087956,random_forest_log1p,2158524.2112223003,3637.409538177504,14028.449730087956
종로구,권농동,스테이 종로 온당,37.57416521,126.99046732,2009,66,71.2,2.277267285009756,0.1222,0.85,3,140.0,관광숙박업,숙박시설,44,3,1,train_matched,101.6,62.0,35.12562634261341,9.619257608319451,330,2017,16,31.132564760944522,2023,62,34.338371835991126,2022,89,50.003176707038214,2023,11,50.534760800773725,2018,625.6957317042891,random_forest_log1p,60251.34871514166,589.3870667694483,625.6957317042891
종로구,종로6가,편안정,37.56925877,127.006942,1980,2,50.0,0.7023638356648694,0.1637,0.18,6,106.0,관광숙박업,숙박시설,44,2,1,train_matched,312.4,30.0,59.89520057763603,23.272994399737403,215,2019,11,34.36804656260879,2023,1277,69.73846811853497,2018,29,71.58752916111324,2022,30,100.50896464618579,2019,887.0252000953794,random_forest_log1p,249617.81351131678,1098.0194500336245,887.0252000953794
종로구,낙원동,소락방 주식회사,37.57009871,126.98769431,1971,7,85.7,0.3642775497015497,0.1766,0.08,6,88.0,관광숙박업,숙박시설,44,1,1,train_matched,121.6,100.0,68.64502329428103,30.389362471776035,100,2017,55,69.17468017381088,2022,27,73.9640710396767,2021,162,82.48636427239482,2017,264,87.21063851374666,2022,621.7734230675827,random_forest_log1p,334671.7406212141,1098.9769337395078,621.7734230675827
종로구,연지동,스테이누아 종로,37.56957912,126.99966041,1992,17,94.1,1.4960019827707285,0.4165,0.08,6,77.0,관광숙박업,숙박시설,44,5,1,train_matched,3198.4,42.0,22.252257230488432,9.50617490950234,220,2024,42,11.272828929802957,2019,15716,12.86657506996567,2021,0,33.69077062399131,2024,14,43.92493661917989,2024,861.4236856836892,random_forest_log1p,322263.2632113095,1104.8512308803656,861.4236856836892
종로구,관철동,1996 종로인,37.56632523,126.98626896,1996,2,0.0,1.2840155119994725,0.1408,0.12,9,281.0,관광숙박업,숙박시설,44,1,1,train_matched,13867.6,330.0,110.99136359263291,31.422700125477586,61756,2021,9,55.111346008527256,2022,1,153.37510560116124,2018,330,156.02938888426473,2019,7242,159.01827734373379,2018,2750.0983442920015,random_forest_log1p,173316.14375141426,1244.6005966199539,2750.0983442920015
종로구,관수동,THE EXTAY LOUNGE,37.56665459,126.98850671,2023,21,90.5,0.8184642999558599,0.1022,0.55,13,914.0,관광숙박업,숙박시설,44,5,1,train_matched,1828.2,440.0,18.63205278574827,13.123262050503481,4097,2020,5,14.856766316935591,2022,300,14.924714810023023,2018,4299,23.492902295516487,2021,440,26.762618455762784,2021,1024.8774089876736,random_forest_log1p,23094.56822175115,696.0089415512039,1024.8774089876736
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,37.56594442,126.98577426,1992,2,0.0,1.7394910406822983,0.1465,0.08,11,315.0,관광숙박업,숙박시설,44,0,0,test_unmatched,15344.4,7242.0,106.6617530605206,66.39525140282915,9,2022,61756,89.6079388248313,2021,7242,121.22134184424553,2018,1,126.7658305093185,2018,7714,129.3184027213785,2018,2538.484397524036,random_forest_log1p,249353.37442536693,1251.8869933283856,2538.484397524036
종로구,견지동,더프리마호텔 종로,37.57038151,126.98267937,1971,0,0.0,0.414123170851279,0.1766,0.08,12,6074.0,관광숙박업,숙박시설,44,0,0,test_unmatched,121.2,31.0,107.02782450376594,81.60596364224185,97,2021,458,102.2409046634552,2021,31,107.79457204185908,2023,0,112.36393467400903,2022,20,131.13374749726455,2017,1568.4668077956292,random_forest_log1p,449420.1734661158,2052.0188209962266,1568.4668077956292
종로구,숭인동,서울앤호텔 동대문,37.5705788,127.02004352,2017,10,100.0,1.6992974632002564,0.1108,1.0,16,171.0,관광숙박업,숙박시설,44,1,1,train_matched,932.8,50.0,56.14665470970361,34.01523829257556,4374,2018,50,50.34593044043941,2020,11,59.423593867418624,2018,193,68.37040816538116,2020,36,68.5781027827033,2017,899.0443983735951,random_forest_log1p,345961.95303511515,853.8056355977114,899.0443983735951
종로구,와룡동,클래식 아파트먼트 익선,37.57389547,126.9897488,1965,76,63.2,1.244643844056864,0.1851,1.0,6,392.0,관광숙박업,숙박시설,44,4,1,train_matched,107.2,73.0,30.288050332058162,13.002449173600006,28,2023,73,13.681099583490571,2018,89,23.014279281022084,2023,16,40.557114806063616,2023,330,61.18530881611453,2017,465.8885623572901,random_forest_log1p,108182.75079498896,995.5593593510187,465.8885623572901
종로구,효제동,하우스 오손 종묘점,37.56890164,127.00203539,1991,19,73.7,0.9573707576176196,0.4183,0.25,6,180.0,관광숙박업,숙박시설,44,0,0,test_unmatched,132.6,11.0,105.7753607988673,92.33902465557769,399,2017,4,101.44764455067981,2017,1,107.62055477247897,2019,248,112.1114071691218,2021,11,115.35817284647815,2018,830.7436746867132,random_forest_log1p,309967.1570015064,1884.3906202153794,830.7436746867132
종로구,관수동,HELLO HOSTEL,37.56619998,126.99118829,1965,24,87.5,0.7206876474967924,0.1851,0.12,6,288.0,관광숙박업,숙박시설,44,3,1,train_matched,83.6,100.0,42.68692160244622,18.128851965853666,121,2021,1,32.89394759499747,2020,100,35.848484167686635,2017,91,57.39304402460992,2019,105,69.17028025908336,2024,757.412318664307,random_forest_log1p,383275.3726195367,919.3817376581143,757.412318664307
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,37.56915801,126.9800544,1971,0,0.0,2.597384633214691,0.1766,0.18,7,228.0,관광숙박업,숙박시설,44,0,0,test_unmatched,120.2,90.0,65.27759662089416,48.89915895289562,11,2018,34,55.222741361869154,2018,90,63.16993303903413,2017,370,75.9593671776218,2017,96,83.13678257305008,2023,1224.5388219765691,random_forest_log1p,645230.0197287992,1537.506289790291,1224.5388219765691
종로구,숭인동,브릭 스테이 (BRIC STAY),37.57248011,127.01971336,1999,27,55.6,0.3035351275471273,0.1365,0.85,4,258.0,관광숙박업,숙박시설,44,3,1,train_matched,98872.8,373.0,47.87960229766219,31.222146371406268,493223,2017,469,40.00384557727076,2022,0,42.60395522548573,2024,299,56.64644724425715,2019,373,68.92161706989104,2022,3076.0517941487255,random_forest_log1p,130693.34820603688,1126.5592779900603,3076.0517941487255
