구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,창신동,동대문인순,1934,0.129,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,200902.8069487202,452137.584767697,1,관광숙박업,숙박시설,6,46.0
종로구,권농동,스테이 종로 온당,2009,0.1632,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,199157.9029485418,452735.5949044859,1,관광숙박업,숙박시설,3,140.0
종로구,종로6가,편안정,1980,0.2365,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,200613.2820190108,452191.01697398326,1,관광숙박업,숙박시설,6,106.0
종로구,낙원동,소락방 주식회사,1971,0.192,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,198912.88192580824,452284.2890572832,0,관광숙박업,숙박시설,6,88.0
종로구,연지동,스테이누아 종로,1992,0.2954,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,199969.99948880167,452226.5494915817,1,관광숙박업,숙박시설,6,77.0
종로구,관철동,1996 종로인,1996,0.3349,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,198786.9014396665,451865.4942857504,1,관광숙박업,숙박시설,9,281.0
종로구,관수동,THE EXTAY LOUNGE,2023,0.2744,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,198984.60479649177,451902.022856804,0,관광숙박업,숙박시설,13,914.0
종로구,관철동,먼슬리브 종로 종각역 호텔 스테이,1992,0.341,2,0.0,1.7394910406822983,0.1465,0.08,37.56594442,126.98577426,198743.1896952721,451823.235338292,0,관광숙박업,숙박시설,11,315.0
종로구,견지동,더프리마호텔 종로,1971,0.3842,0,0.0,0.414123170851279,0.1766,0.08,37.57038151,126.98267937,198469.85428918863,452315.7464052829,0,관광숙박업,숙박시설,12,6074.0
종로구,숭인동,서울앤호텔 동대문,2017,0.3318,10,100.0,1.6992974632002564,0.1108,1.0,37.5705788,127.02004352,201770.6876308864,452337.6911238064,2,관광숙박업,숙박시설,16,171.0
종로구,와룡동,클래식 아파트먼트 익선,1965,0.1658,76,63.2,1.244643844056864,0.1851,1.0,37.57389547,126.9897488,199094.4271252305,452705.6635670773,0,관광숙박업,숙박시설,6,392.0
종로구,효제동,하우스 오손 종묘점,1991,0.4028,19,73.7,0.9573707576176196,0.4183,0.25,37.56890164,127.00203539,200179.81475769155,452151.3590032406,1,관광숙박업,숙박시설,6,180.0
종로구,관수동,HELLO HOSTEL,1965,0.2112,24,87.5,0.7206876474967924,0.1851,0.12,37.56619998,126.99118829,199221.50903375345,451851.5408769832,0,관광숙박업,숙박시설,6,288.0
종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,1971,0.5007,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,198237.92936146972,452179.998138356,0,관광숙박업,숙박시설,7,228.0
종로구,숭인동,브릭 스테이 (BRIC STAY),1999,0.2685,27,55.6,0.3035351275471273,0.1365,0.85,37.57248011,127.01971336,201741.47631546104,452548.7082822138,1,관광숙박업,숙박시설,4,258.0
종로구,충신동,연경당,2019,0.3749,37,67.6,0.6931471805599453,0.1079,1.0,37.57203715,127.00395269,200349.182318633,452499.3695269848,1,관광숙박업,제1종근린생활시설,9,78.0
