구,동,숙소명,위도,경도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,총층수,시설규모/연면적,nearest5_mean_damage_thousand_krw,nearest5_median_damage_thousand_krw,nearest5_min_distance_km,nearest5_mean_distance_km,nearest1_damage_thousand_krw,nearest1_distance_km,nearest2_damage_thousand_krw,nearest2_distance_km,nearest3_damage_thousand_krw,nearest3_distance_km,nearest4_damage_thousand_krw,nearest4_distance_km,nearest5_damage_thousand_krw,nearest5_distance_km
종로구,익선동,엠제이호텔,37.57227399,126.98806987,18,55.6,2.672021859258811,0.1279,0.7,8,1041.0,484.0,162.0,0.016449856179623402,0.05916177548833277,162,0.016449856179623402,1611,0.0552946660357446,139,0.06610369982023148,44,0.07223769732887392,464,0.08572295807719045
종로구,익선동,킹스가든,37.57179889,126.98893263,21,71.4,2.500969678805677,0.1179,0.7,10,365.0,577.6,464.0,0.03044683195869587,0.04290496456369038,1776,0.03044683195869587,139,0.0346076684363685,464,0.049104780510490456,37,0.0494375727006094,472,0.05092796921228769
종로구,관철동,수레지던스,37.56655068,126.98415388,5,0.0,0.5596157879354227,0.1623,0.55,6,213.0,329.8,102.0,0.05405069306796229,0.08086784180889815,11,0.05405069306796229,102,0.07919409668168266,16,0.08777102004049442,416,0.08777148113846432,1104,0.09555191811588708
종로구,창신동,동대문 서울달빛,37.56916257,127.01374879,10,40.0,1.9997770917556368,0.1608,1.0,4,385.0,382.2,210.0,0.03861299537369236,0.09001659068211028,731,0.03861299537369236,931,0.09271082202620139,210,0.09271082202620139,17,0.1075686482920667,22,0.11847966569238957
종로구,연건동,브루클린,37.57244418,127.00083322,11,63.6,1.0283354452521425,0.1,1.0,12,1331.0,362.0,54.0,0.05490044655309636,0.07520625759370718,54,0.05490044655309636,33,0.05747715198408525,253,0.06712741920770147,1465,0.08270799400500994,5,0.11381827621864286
종로구,숭인동,케이디 호스텔,37.57044997,127.01867554,22,90.9,0.7940648516932153,0.1079,0.7,11,518.0,16815.4,5214.0,0.034745874441888515,0.07278802210830056,108,0.034745874441888515,418,0.07107994191026272,5214,0.08066488497851917,37899,0.08404307500658138,40438,0.09340633420425096
종로구,장사동,센추럴,37.56604937,126.99210865,25,64.0,2.574111725223541,0.1794,0.85,10,6309.0,80.4,105.0,0.013466093694593643,0.05424166596451181,11,0.013466093694593643,105,0.01386767060502543,121,0.07661049364282008,154,0.08159308369336588,11,0.08567098818675398
종로구,창신동,VATICA HOTEL(바티카 호텔),37.56737832,127.01474752,14,71.4,0.0564856021345574,0.1794,0.85,9,3292.0,8590.2,931.0,0.06791751286854195,0.12374079299025324,36586,0.06791751286854195,931,0.12834710351459894,210,0.12834710351459894,205,0.1433855318693843,5019,0.15070671318414208
종로구,명륜4가,호스텔 데이,37.57929506,126.99713608,5,0.0,2.6288008294480694,0.138,0.18,8,349.0,5834.4,759.0,0.053008169186862415,0.1618747011359692,20901,0.053008169186862415,119,0.07036641965680025,759,0.1647610529195438,178,0.24075894748352447,7215,0.28047891643311507
종로구,숭인동,루미아호텔,37.57109607,127.02145559,2,100.0,0.2694761079552084,0.1108,0.25,15,1998.0,306.0,11.0,0.03579290713694572,0.09960470152333695,1129,0.03579290713694572,11,0.10731716327957239,6,0.10859591761447399,0,0.12166715762100838,384,0.12465036196468425
종로구,창신동,24guesthouse동대문마켓점,37.56790086,127.00943028,6,0.0,0.2810012094609484,0.1465,0.18,6,152.0,431.6,401.0,0.016403337037044257,0.05645511482532861,1100,0.016403337037044257,480,0.028292826296039478,60,0.07152901403015914,117,0.07422784414417595,401,0.09182255261922423
종로구,관철동,호스텔 클로이,37.56597443,126.98782642,14,0.0,0.4418327522790392,0.1565,0.08,6,293.0,13301.8,440.0,0.10576840848719528,0.11338162114610255,5,0.10576840848719528,4299,0.11030121873773881,9,0.11553312643534182,61756,0.11698384278796599,440,0.11832150928227092
종로구,원남동,메이플레이스 호텔 서울 동대문,37.57336561,126.99794846,17,70.6,1.2008429113170085,0.115,0.18,15,4943.0,7554.0,429.0,0.059485034855761405,0.08728657629055059,0,0.059485034855761405,429,0.06985474936918261,784,0.09368435892557402,36512,0.09840668031190976,45,0.11500205799032513
