기대피해액_순위,구,동,시설명,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,소방위험도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,반경100m_화재수
22,종로구,청진동,하나데이즈 종로광화문(Hana Days Jongno-Gwanghwamun,0.7037408205166455,0.2166719574225699,0.152480901099507,0.5007,0,0.0,2.597384633214691,0.1766,0.18,37.56915801,126.9800544,0
23,서초구,서초동,서초맘 게스트하우스,0.6233486657840076,0.2429661384652272,0.1514526182429918,0.6925,0,0.0,1.5568474327563382,0.1265,0.12,37.48340679,127.00654265,0
24,영등포구,여의도동,켄싱턴호텔 여의도,0.6555537771981008,0.2301425275144162,0.1508708032059934,0.5908,1,0.0,2.0402208285265546,0.1208,0.18,37.52750863,126.92103047,0
25,강남구,역삼동,강남게스트하우스 마루,0.7390930844521377,0.2039084139153138,0.1507072985864125,0.2984,2,0.0,2.20254373881382,0.1465,0.0,37.50059352,127.03612448,0
26,강남구,삼성동,호텔 유리앤,0.6729188953553433,0.222131149003231,0.1494762474112674,0.4521,0,0.0,1.7564201027827462,0.1122,0.08,37.50617632,127.05677848,0
27,중구,남산동,남산호스텔,0.7813032406536087,0.1897364855176934,0.1482417310052003,0.1482,0,0.0,2.978187963903081,0.1536,0.12,37.5553408,126.98379252,0
28,송파구,풍납동,순스테이,0.7846250675262284,0.1884312342069468,0.1478478698636762,0.3564,5,40.0,2.5265793461885684,0.1494,0.0,37.52664323,127.1165356,0
29,강남구,논현동,달고나 스위트 강남,0.8343480251398806,0.1766136339554251,0.1473572367034867,0.5991,10,50.0,3.329562035282516,0.4183,0.0,37.50589337,127.02380587,0
30,영등포구,여의도동,컴포트 인 여의도,0.6568198482751297,0.222589600897869,0.14620126788936,0.6209,3,0.0,3.714509713280272,0.1293,0.45,37.52757056,126.91966625,1
31,영등포구,여의도동,컴포트 인 여의도,0.6568198482751297,0.222589600897869,0.14620126788936,0.6209,3,0.0,3.714509713280272,0.1293,0.45,37.52757056,126.91966625,1
32,강서구,화곡동,딘(DEAN),0.7087115639461371,0.206234204588476,0.1461605656730864,0.412,3,0.0,2.955574951706927,0.138,0.35,37.5505894,126.85069289,0
33,강남구,신사동,세계여행자의집,0.662327731707648,0.2200570057442356,0.1457498574609564,0.7296,2,50.0,1.30287687838485,0.1723,0.0,37.51602118,127.01987968,0
34,중구,남산동,두두하우스,0.7594367320592484,0.1911444479928569,0.1451621149349642,0.1384,0,0.0,2.7072701698614114,0.1422,0.08,37.55557505,126.9834242,0
35,강남구,신사동,신사애인호텔,0.5869071900271357,0.2472994617786694,0.1451418322077419,0.7428,3,0.0,0.5343100689990601,0.1608,0.0,37.51856693,127.01835746,5
36,강서구,화곡동,이지갤러리관광호텔,0.704320138012172,0.2052345067719116,0.1445507961344528,0.3873,3,0.0,2.8218853437510085,0.1293,0.35,37.55053248,126.84972582,0
37,종로구,관철동,호스텔 하루,0.7396513693352847,0.1954295526983416,0.1445497362619105,0.3997,4,25.0,2.415417623490573,0.1823,0.08,37.56622871,126.98353342,0
38,송파구,방이동,타임모텔,0.6302369574018758,0.2291174920664308,0.1443983110874958,0.6263,4,0.0,1.513833571721639,0.1594,0.12,37.5128035,127.10793698,0
39,종로구,사간동,안국하우스,0.7425049051751835,0.1941082636283703,0.1441263378791026,0.2984,3,0.0,3.5941460310303963,0.1365,0.55,37.57507159,126.98047708,0
40,서초구,양재동,30Month hotel,0.80138978764842,0.1789412395495819,0.1434016819641845,0.5392,11,90.9,2.302585092994046,0.1365,0.0,37.48133045,127.03789154,0
41,중구,남산동,원투쓰리호스텔,0.7513117858745102,0.1902081442165271,0.1429056205191953,0.129,0,0.0,2.6556884490078847,0.1408,0.12,37.55587082,126.98398358,0
42,중구,남산동,우주 남산점,0.7513117858745102,0.1902081442165271,0.1429056205191953,0.129,0,0.0,2.6556884490078847,0.1408,0.12,37.55587082,126.98398358,0
43,영등포구,영등포동,라스베가스 관광호텔,0.7596710202686962,0.1880486912903458,0.1428551411727301,0.2834,15,13.3,1.7882070676236872,0.1079,0.04,37.51802179,126.91138356,2
44,강남구,신사동,단델리온 신사1호점,0.7217710364478815,0.1975413721674729,0.1425796409306536,0.4977,6,50.0,1.7633056668103273,0.1408,0.0,37.51859556,127.02536892,0
45,강남구,신사동,주)라까사호텔,0.7186639603442261,0.1980098627060303,0.1423025521195322,0.7251,2,100.0,1.848948441212516,0.1594,0.0,37.51923895,127.01875978,3
46,강남구,신사동,라까사호텔,0.7186639603442261,0.1980098627060303,0.1423025521195322,0.7251,2,100.0,1.848948441212516,0.1594,0.0,37.51923895,127.01875978,3
47,강서구,화곡동,드림호텔,0.6888216992063302,0.2063528065302426,0.1421402908301568,0.4028,3,0.0,2.7374024131147374,0.1337,0.35,37.55041843,126.85059472,0
48,종로구,관철동,MG HOTEL(엠지호텔),0.7417814870356436,0.1909493501409433,0.1416426928960387,0.3997,7,42.9,2.25421150870983,0.1094,0.12,37.56620274,126.98404198,0
