기대피해액_순위,구,동,시설명,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,소방위험도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,반경100m_화재수
120,종로구,창신동,Han stay,0.7363566153121368,0.1701140305253722,0.1252645917347686,0.0743,3,33.3,2.48953675368115,0.1465,0.25,37.56784218,127.01246821,0
121,강서구,화곡동,쏘스테이,0.7509245551329331,0.1668044875975081,0.1252575856433356,0.4182,12,91.7,2.763236616669501,0.1237,0.25,37.52852779,126.84363309,1
122,종로구,관철동,핑크빌,0.6143187454745219,0.2038903038911153,0.125253635700809,0.4058,4,25.0,1.3581234841531944,0.115,0.12,37.5663255,126.98416082,0
123,용산구,용산동,매버릭스 게스트하우스,0.6902646817523811,0.1814377072035531,0.1252400412207423,0.4674,10,80.0,1.5522794985941517,0.1251,0.04,37.54071299,126.98738642,0
124,중구,회현동,선물플러스,0.763979904024679,0.1638474755799778,0.1251761786682773,0.1761,0,0.0,3.9401938823948415,0.5275,0.12,37.5547866,126.98212234,0
125,강남구,역삼동,몰타 1호점(Malta 1호점),0.6317146084213505,0.1981438308413824,0.1251703525110702,0.2084,2,0.0,1.5568806616954245,0.1523,0.04,37.50134128,127.04323878,0
126,강남구,논현동,호텔 더 디자이너스 리즈 강남 프리미어,0.6190244938793937,0.2020933874977984,0.1251007569121968,0.5739,6,66.7,0.8873031950009028,0.1136,0.0,37.50271388,127.02510839,0
127,영등포구,영등포동,스테이비앤비(STAY BnB),0.7135016569037583,0.1750999147235569,0.1249340792789646,0.078,9,0.0,1.874590871825853,0.1637,0.35,37.51786715,126.90290536,0
128,송파구,문정동,정스테이서울,0.4808009988129012,0.2585103373972814,0.124292028424073,0.8006,1,0.0,0.0574320490858754,0.1436,0.04,37.47791622,127.126368,0
129,용산구,이태원동,루미하우스,0.757264264432566,0.1639382859853609,0.1241446055490399,0.2597,19,42.1,2.512050619512155,0.1394,0.45,37.53043673,126.99138323,0
130,마포구,망원동,오브스테이,0.744278292557301,0.1667867648977357,0.1241357685992427,0.6263,27,92.6,2.283387916178545,0.148,0.25,37.55474097,126.9008877,0
131,마포구,동교동,클레오,0.6466879887487799,0.1916864273051118,0.1239613101443819,0.5509,10,70.0,1.4197560012338533,0.1094,0.12,37.55864002,126.92586812,0
132,중구,남창동,드림하우스1,0.8071917762224432,0.1535668199268198,0.1239578741455618,0.2656,24,75.0,2.4332168053803827,0.115,0.25,37.55443543,126.97765578,0
133,강남구,역삼동,역삼 게하,0.5977503738411705,0.206959484862881,0.1237101094467632,0.2656,0,0.0,1.294179072212085,0.1451,0.0,37.50255735,127.04170132,2
134,강남구,역삼동,선릉 게스트 하우스 해날,0.5940157648283825,0.2080311724730693,0.1235737960247354,0.3044,3,0.0,1.0688401303344397,0.1408,0.0,37.50317601,127.04424659,0
135,성동구,송정동,송정 하우스,0.6284194953250616,0.1960579387492257,0.1232066309232602,0.2715,3,0.0,2.224623551524334,0.1122,0.55,37.54662783,127.06450219,0
136,종로구,관철동,1996 종로인,0.5898358484776023,0.2086694004475023,0.1230806928642651,0.3349,2,0.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,0
137,중구,저동,이화호텔,0.7952676733902388,0.1541646285122771,0.1226021454360291,0.1337,12,75.0,2.7322644592228045,0.148,0.08,37.56100128,126.9869874,1
138,종로구,창신동,케이스테이,0.7246104047430338,0.168853780140268,0.1223532059698308,0.129,2,50.0,2.577167206594277,0.178,0.08,37.56874973,127.01018412,0
139,종로구,익선동,ICON,0.7876311902139942,0.1553401379457644,0.1223507377382285,0.1735,19,47.4,2.7817292841849,0.1179,0.7,37.57209924,126.98812931,1
140,종로구,통인동,럭키엠,0.9305729710034976,0.1314486805135774,0.1223225891600092,0.3656,56,76.8,3.131631550182309,0.1536,0.25,37.57694906,126.96920211,0
141,중구,회현동,명동재미하우스,0.6145486004553756,0.1987884686522748,0.1221651751969228,0.1947,0,0.0,1.5587292424420378,0.148,0.08,37.55430366,126.98352534,0
142,강서구,등촌동,주)컴앤스테이 강서,0.7572670516107702,0.1608466611124075,0.1218038768220295,0.1974,19,63.2,1.8281271133989296,0.115,0.04,37.55407382,126.85915513,0
143,마포구,노고산동,아더포레,0.7969663442099436,0.152793455072178,0.1217712413080799,0.1457,9,55.6,3.900417459307838,0.1823,0.85,37.55227977,126.93375011,0
144,종로구,관철동,찰나 호스텔,0.5689280279421102,0.2138432941991435,0.1216614436573632,0.4213,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,0
145,마포구,노고산동,멜로우 스테이 2호점,0.8346500165451909,0.1456108454684022,0.1215340945793612,0.1867,29,51.7,3.0241702088745246,0.1365,0.7,37.55139021,126.93738608,0
146,마포구,망원동,아이엠하우스,0.7071191733136677,0.1718665701244898,0.1215301469866847,0.5422,21,81.0,2.0526781244810195,0.1322,0.25,37.55346886,126.90268505,0
147,영등포구,영등포동,호텔 씨엘,0.6910446892096049,0.1757998015538731,0.1214855192279064,0.1581,15,6.7,1.450181628571142,0.115,0.45,37.51633265,126.90106324,0
148,마포구,노고산동,스테이 위드 신촌,0.7326603444776691,0.1656507281189433,0.1213657195266017,0.1384,3,66.7,2.531863632875772,0.1322,0.12,37.55212789,126.93278105,0
149,강남구,역삼동,더 화이트 하우스,0.6955866471651834,0.1744410949487549,0.1213388963632279,0.3595,9,77.8,1.752325399982648,0.1337,0.04,37.50437903,127.04219061,0
150,영등포구,여의도동,63House,0.601198513495518,0.2017072452699084,0.1212660960175448,0.3287,2,0.0,1.7591832987934422,0.1766,0.25,37.51794347,126.936319,0
151,중구,신당동,리마인드 스테이,0.8263887855822912,0.1466931594769347,0.1212255819133735,0.1658,26,73.1,2.3912751677087645,0.1265,0.18,37.55594051,127.01130571,1
