,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m
주변_노후건물비율_30년이상_100m,0.2614352556049985,0.15979513725665734,-0.165123718614476,0.3706965827848892,0.7986180604941726,0.407465702812722,0.5453951715530071,0.7154869292694528,0.6818236504764442,0.5947786495724782,-0.7157436758614398,-0.04097430279153877,0.6167058373358719,0.40028496937418273,-0.11815753844394578,-0.1962645433185422,0.30603038527433196,0.20071561342693955,-0.16261464794409505,0.4299135828847657,1.0,0.482629463678894,0.6090890081779072,0.804087106561343,0.7809255382189878,0.6027754005244618,-0.804763874063999,-0.05248534647782356,0.6991197593072203,0.4276559459600578,-0.19829726159579622,-0.24985133022502617
주변_초노후건물수_50년이상_100m,0.6878003144522886,0.5582183798651101,-0.021795516245651292,0.6775913656192414,0.4151920493559617,0.8936686661676018,0.6185608365144301,0.617569770498364,0.5546394374895248,0.7178674638132498,-0.6173653918504415,-0.01844640125713295,0.25896748554345006,0.39583802189332634,-0.278158216034249,-0.4164763729681989,0.7355867029196177,0.6075814079151611,0.013327683685883603,0.7440739841573702,0.482629463678894,1.0,0.6366403943313842,0.6394133229489642,0.561740313880306,0.7100645756177733,-0.6394417212268678,-0.017102182002560553,0.2453656858403276,0.37757940988798966,-0.356653433955744,-0.5424030621663404
주변_초노후건물비율_50년이상_100m,0.16931961460536707,-0.003441722479260711,-0.3283214604678693,0.16157315247746654,0.46805233496126725,0.5257269733008121,0.8380251116357952,0.7597479218012441,0.7146187361268671,0.6181725552191474,-0.7592591335317249,-0.01998938154062927,0.3188337743494931,0.633516568195637,-0.02024895077654868,-0.2224216559392767,0.20082321157434968,0.017571962499749447,-0.3781182345985928,0.20163276921482748,0.6090890081779072,0.6366403943313842,1.0,0.904859180182121,0.8623057604149089,0.7113037225310554,-0.9049077687830946,-0.019628431030758578,0.3205815775201091,0.7192676060030992,-0.04616825337848429,-0.24564863204113285
주변_평균건물연한_100m,0.2244993724356067,0.04621867143685622,-0.3306194389506162,0.25294137626739044,0.6288706772083177,0.5316526113874264,0.7783289425703245,0.8553812022166323,0.8027749241844481,0.6897127999221746,-0.854925544419426,-0.02756058556224849,0.4646165142691829,0.5844951088383129,-0.042643264127922874,-0.22882394104342446,0.2634520630939225,0.07619856691893882,-0.3665552141810908,0.3024052098929829,0.804087106561343,0.6394133229489642,0.904859180182121,1.0,0.9431762559287764,0.7640969787382951,-0.9999594819299201,-0.0316037155992402,0.5037224721729472,0.6432359340988458,-0.07888772098198135,-0.24303463473309866
주변_중위건물연한_100m,0.15801050544801468,-0.000523860636669771,-0.3056695949052304,0.19954255435874166,0.6127455809307164,0.46175038221691916,0.7343225445604482,0.8042321692071417,0.7943585931258403,0.5907505640080706,-0.8038341550095432,-0.024283056800434976,0.4607364710612548,0.5636669740323537,-0.031035479067442102,-0.18405516589164772,0.18639545199665367,0.021847337376953505,-0.3362420305589019,0.2408271425438285,0.7809255382189878,0.561740313880306,0.8623057604149089,0.9431762559287764,1.0,0.640060397108354,-0.9432839751760392,-0.022019590094959664,0.49058287848570603,0.6180806814639168,-0.0766892497635979,-0.20191575307515916
주변_최대건물연한_100m,0.4618306625912182,0.3245768112642661,-0.15871703123904837,0.43582898745914156,0.4571435814618276,0.5891520940580612,0.6174301846224948,0.652475802145344,0.5593161993354673,0.8025492795577709,-0.6520698556613351,-0.023165334410111982,0.2790605886283916,0.40633683145087734,-0.14188380134840115,-0.2547947703535178,0.5304960806986652,0.3855111844806545,-0.1507415798914158,0.5166105636725423,0.6027754005244618,0.7100645756177733,0.7113037225310554,0.7640969787382951,0.640060397108354,1.0,-0.7640407580912442,-0.02173891874447271,0.28270518103996023,0.4162054080465991,-0.2493224056002905,-0.3789047374445591
주변_평균사용승인연도_100m,-0.22486824005260497,-0.04675561983864826,0.33052636471534835,-0.25336428897705127,-0.6293366795402208,-0.5316676407819496,-0.7782409253090803,-0.8553361813234891,-0.8027486563862358,-0.6896411001847698,0.8549392790201087,0.027599676661740916,-0.4649057900782162,-0.5842070886654314,0.04270826832222694,0.22851672459382286,-0.2638786924143457,-0.0768097158162808,0.3661462460663814,-0.3029121195781155,-0.804763874063999,-0.6394417212268678,-0.9049077687830946,-0.9999594819299201,-0.9432839751760392,-0.7640407580912442,1.0,0.03162879147294691,-0.5042221109551603,-0.6431689826547982,0.07956763812461971,0.24301970678183824
주변_연면적합계_m2_100m,-0.009893610613203804,-0.0036101104700389116,0.03670914501711932,-0.01711052847839459,-0.040525271928203335,-0.0145737368610832,-0.028332187730028255,-0.03495343294662732,-0.03259225135378087,-0.04110997217862456,0.03498993149717461,0.9831698138062624,-0.05214233233806002,-0.032494086170211364,-0.010856712787719583,0.012591107555713644,-0.015062684706014465,-0.007730839868671711,0.0433700685511849,-0.026553451880692563,-0.05248534647782356,-0.017102182002560553,-0.019628431030758578,-0.0316037155992402,-0.022019590094959664,-0.02173891874447271,0.03162879147294691,1.0,-0.07449282218737587,-0.053303901674574314,-0.02660089299340274,0.043351627686372324
주변_노후연면적비율_30년이상_100m,0.13572650928911462,0.08207412160149408,-0.10412739799432816,0.22747863589275866,0.6235261544745293,0.20271002599963966,0.2978376312340839,0.4787694144403368,0.45847625436240064,0.3431064427879162,-0.47902075529465876,-0.04039475528241027,0.7091328320952485,0.32091925344081523,-0.09172867027473247,-0.10903452094012142,0.16576855405985044,0.11305681888344508,-0.09498065717491555,0.26849471542064585,0.6991197593072203,0.2453656858403276,0.3205815775201091,0.5037224721729472,0.49058287848570603,0.28270518103996023,-0.5042221109551603,-0.07449282218737587,1.0,0.4762228656544332,-0.11231407172528995,-0.12538403851663335
주변_초노후연면적비율_50년이상_100m,0.06460495468808551,-0.043482684272619566,-0.26364221511711755,0.07060683067990804,0.3769769695463376,0.30241635079200735,0.6563338185958019,0.5826160261507629,0.5553308338508022,0.4288339370468544,-0.5822406477724008,-0.02510715159550108,0.37454521893341197,0.7263062406640464,-0.008916788136389157,-0.1331933310691418,0.08365094494197325,-0.030320201587503783,-0.2731090828458314,0.09575462613919666,0.4276559459600578,0.37757940988798966,0.7192676060030992,0.6432359340988458,0.6180806814639168,0.4162054080465991,-0.6431689826547982,-0.053303901674574314,0.4762228656544332,1.0,0.04181617024915119,-0.10999516702353443
최근접_노후건물거리_30년이상_m_100m,-0.5584127020117563,-0.6012065845725582,-0.41824045047834935,-0.563741730816255,-0.5035202123076198,-0.3780634940377432,-0.1913469931060627,-0.3212087761738825,-0.2976392634471217,-0.5028977823156787,0.3214636670835941,-0.018070077443284923,-0.35068797836467436,-0.09572804738975611,1.0,0.5804104830976031,-0.5278316010518207,-0.5761668351551239,-0.3804271360578462,-0.5353299412052449,-0.19829726159579622,-0.356653433955744,-0.04616825337848429,-0.07888772098198135,-0.0766892497635979,-0.2493224056002905,0.07956763812461971,-0.02660089299340274,-0.11231407172528995,0.04181617024915119,1.0,0.6903573669873149
최근접_초노후건물거리_50년이상_m_100m,-0.5508727653246142,-0.5209374747893029,-0.15882829681653413,-0.527624895898195,-0.39573415332048145,-0.5917158379127111,-0.530084267411343,-0.4751568687467658,-0.40665223756003327,-0.663848370624681,0.4753261563341658,0.04877934688287503,-0.23553461619206323,-0.33162323312600867,0.48661326460802606,1.0,-0.5111975766359471,-0.48295381910961427,-0.1227285720953295,-0.4982876728052908,-0.24985133022502617,-0.5424030621663404,-0.24564863204113285,-0.24303463473309866,-0.20191575307515916,-0.3789047374445591,0.24301970678183824,0.043351627686372324,-0.12538403851663335,-0.10999516702353443,0.6903573669873149,1.0
