좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
9.0,199177.06429675664,552360.6268234181,1964199135114520404000000000,제1종근린생활시설,6.0,0.0,6,31.48
9.0,199177.06429675664,552360.6268234181,1967199141754520410900000000,제2종근린생활시설,6.0,0.0,6,37.18
9.0,199177.06429675664,552360.6268234181,0000199065764520351400000000,제1종근린생활시설,4.0,0.0,4,46.37
9.0,199177.06429675664,552360.6268234181,1965199076064520358500000000,제1종근린생활시설,6.0,0.0,6,37.0
9.0,199177.06429675664,552360.6268234181,1969199089344520366300000000,제2종근린생활시설,10.0,2.0,12,26.1
9.0,199177.06429675664,552360.6268234181,1970199099264520380000000000,제2종근린생활시설,5.0,1.0,6,19.26
9.0,199177.06429675664,552360.6268234181,1960199108734520381600000000,제2종근린생활시설,5.0,1.0,6,17.32
9.0,199177.06429675664,552360.6268234181,1971199082384520534600000000,제1종근린생활시설,2.0,1.0,3,25.15
9.0,199177.06429675664,552360.6268234181,2013199108734520549600000000,제2종근린생활시설,5.0,1.0,6,1.36
9.0,199177.06429675664,552360.6268234181,1988199059144520560400000000,제1종근린생활시설,5.0,1.0,6,48.32
9.0,199177.06429675664,552360.6268234181,0000199097874520589700000000,단독주택,1.0,0.0,1,10.21
9.0,199177.06429675664,552360.6268234181,0000199116564520595000000000,,1.0,0.0,1,9.98
9.0,199177.06429675664,552360.6268234181,1990199068554520598600000000,제2종근린생활시설,7.0,1.0,8,39.16
9.0,199177.06429675664,552360.6268234181,0000199106584520644500000000,단독주택,1.0,0.0,1,9.06
9.0,199177.06429675664,552360.6268234181,0000199084614520652200000000,,1.0,0.0,1,24.85
9.0,199177.06429675664,552360.6268234181,0000199116234520716800000000,,1.0,0.0,1,18.47
9.0,199177.06429675664,552360.6268234181,1978199077964520718000000000,숙박시설,4.0,1.0,5,33.73
9.0,199177.06429675664,552360.6268234181,0000199095544520723200000000,제2종근린생활시설,2.0,0.0,2,20.67
9.0,199177.06429675664,552360.6268234181,0000199108794520727700000000,,1.0,0.0,1,17.39
9.0,199177.06429675664,552360.6268234181,2012199128754520552900000000,제2종근린생활시설,5.0,1.0,6,21.3
9.0,199177.06429675664,552360.6268234181,0000199136164520602000000000,제1종근린생활시설,2.0,0.0,2,29.1
9.0,199177.06429675664,552360.6268234181,0000199125464520608700000000,,1.0,0.0,1,18.81
9.0,199177.06429675664,552360.6268234181,0000199102234520741500000000,제2종근린생활시설,1.0,0.0,1,19.43
9.0,199177.06429675664,552360.6268234181,0000199079904520806500000000,,1.0,0.0,1,37.35
9.0,199177.06429675664,552360.6268234181,0000199095154520816300000000,제2종근린생활시설,1.0,0.0,1,28.94
9.0,199177.06429675664,552360.6268234181,0000199078484520860000000000,근린생활시설,1.0,0.0,1,42.12
9.0,199177.06429675664,552360.6268234181,2001199105024520918600000000,숙박시설,6.0,1.0,7,36.51
9.0,199177.06429675664,552360.6268234181,1984199087114520948500000000,제2종근린생활시설,3.0,1.0,4,44.36
9.0,199177.06429675664,552360.6268234181,1998199099224521046600000000,노유자시설,3.0,1.0,4,49.91
10.0,200833.12138128167,552040.3239096423,0000200770794517420300000000,,1.0,0.0,1,10.05
10.0,200833.12138128167,552040.3239096423,0000200754954517497700000000,,1.0,0.0,1,16.99
10.0,200833.12138128167,552040.3239096423,0000200755854517532600000000,,1.0,0.0,1,19.71
10.0,200833.12138128167,552040.3239096423,0000200739784517319000000000,,1.0,0.0,1,23.95
10.0,200833.12138128167,552040.3239096423,0000200742194517357000000000,,1.0,0.0,1,21.34
10.0,200833.12138128167,552040.3239096423,0000200744654517395800000000,,1.0,0.0,1,19.39
11.0,199243.96095949816,552293.899531079,1966199161764519513600000000,숙박시설,4.0,1.0,5,39.41
11.0,199243.96095949816,552293.899531079,0000199177464519564400000000,제2종근린생활시설,1.0,0.0,1,32.41
11.0,199243.96095949816,552293.899531079,0000199147064519571600000000,제2종근린생활시설,1.0,0.0,1,41.71
11.0,199243.96095949816,552293.899531079,1926199136444519618700000000,단독주택,1.0,0.0,1,46.44
11.0,199243.96095949816,552293.899531079,1965199162214519624500000000,제2종근린생활시설,4.0,1.0,5,28.93
11.0,199243.96095949816,552293.899531079,1967199216434519758900000000,제1종근린생활시설,6.0,0.0,6,43.98
11.0,199243.96095949816,552293.899531079,2011199134984519780900000000,제2종근린생활시설,10.0,3.0,13,40.77
11.0,199243.96095949816,552293.899531079,0000199146924519787300000000,제1종근린생활시설,1.0,0.0,1,29.18
11.0,199243.96095949816,552293.899531079,0000199171344519804200000000,제1종근린생활시설,1.0,0.0,1,8.81
11.0,199243.96095949816,552293.899531079,0000199196834519805400000000,제1종근린생활시설,3.0,0.0,3,23.92
11.0,199243.96095949816,552293.899531079,1967199216524519853500000000,업무시설,11.0,1.0,12,42.31
12.0,198568.7779223695,551891.2996229794,0000198516414515439000000000,,1.0,0.0,1,45.6
12.0,198568.7779223695,551891.2996229794,1979198520494515699700000000,업무시설,16.0,3.0,19,26.75
12.0,198568.7779223695,551891.2996229794,1986198490194515793200000000,업무시설,15.0,3.0,18,11.25
12.0,198568.7779223695,551891.2996229794,0000198515704516141000000000,,1.0,0.0,1,32.52
13.0,201801.30013730587,552526.9513245515,1979201758094522117700000000,공동주택,8.0,1.0,9,28.19
13.0,201801.30013730587,552526.9513245515,1971201757004522446200000000,제1종근린생활시설,1.0,0.0,1,34.12
13.0,201801.30013730587,552526.9513245515,0000201744624522645400000000,,1.0,0.0,1,44.73
13.0,201801.30013730587,552526.9513245515,1994201693524521966700000000,교육연구시설,3.0,1.0,4,45.67
13.0,201801.30013730587,552526.9513245515,1994201705134522048800000000,제1종근린생활시설,5.0,1.0,6,31.47
