구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,prediction,residual,coef_구조노후도
종로구,숭인동,종로03,2,고위험군,37.5770678,127.0164702,201454.8875,453057.8337,42.85265611,41.10676129343923,1.7458948165607708,3.8845674748567807
종로구,숭인동,우드 브릿지,2,고위험군,37.5776089,127.0160414,201416.9959,453117.883,33.78967505,39.89962540193597,-6.1099503519359715,3.8845674748567807
종로구,누상동,서로 우리 하우스,2,고위험군,37.57821014,126.9651853,196924.7075,453185.0626,42.59248438,39.85298606067335,2.7394983193266498,3.8845674748567807
종로구,동숭동,루나,2,고위험군,37.57716262,127.0050959,200450.1458,453068.2423,36.15249321,40.5772675955753,-4.424774385575297,3.8845674748567807
종로구,동숭동,자갈자갈집,2,고위험군,37.58075611,127.0036716,200324.3085,453467.0726,30.26264809,40.04503040704887,-9.78238231704887,3.8845674748567807
종로구,동숭동,혜화비앤비,2,고위험군,37.57826684,127.0048888,200431.84,453190.7971,41.75313856,39.89962540193597,1.8535131580640254,3.8845674748567807
종로구,충신동,무이하우스,2,고위험군,37.57259223,127.0051718,200456.873,452560.9822,45.96679891,40.96409977898884,5.002699131011163,3.8845674748567807
종로구,동숭동,혜화디어홈,2,고위험군,37.5770991,127.0040568,200358.3534,453061.1879,36.70825939,40.04503040704887,-3.336771017048868,3.8845674748567807
종로구,숭인동,더모던한옥,2,고위험군,37.57338388,127.0156867,201385.7439,452648.9493,43.90240384,54.950415176451514,-11.048011336451516,3.8845674748567807
종로구,누하동,호랑주택,2,고위험군,37.575989,126.9687868,197242.7592,452938.4298,38.47912658,47.29058924673088,-8.811462666730883,3.8845674748567807
종로구,사직동,지니크 인,2,고위험군,37.57199422,126.9649162,196900.6794,452495.1761,49.41784938,40.190435412161754,9.227413967838245,3.8845674748567807
종로구,동숭동,Hyehwa the hill,2,고위험군,37.58081972,127.0052234,200461.3832,453474.1391,35.44910295,39.70758105556046,-4.258478105560464,3.8845674748567807
종로구,숭인동,토토스테이,2,고위험군,37.57483903,127.0153908,201359.5789,452810.4498,35.94240913,40.190435412161754,-4.248026282161753,3.8845674748567807
종로구,숭인동,스테이별빛숭인,2,고위험군,37.57231353,127.0185069,201634.8996,452530.1982,35.59002371,43.59785081499594,-8.00782710499594,3.8845674748567807
종로구,숭인동,Today Sinseol,2,고위험군,37.57315713,127.0212725,201879.1962,452623.8797,31.2441916,39.94900823386111,-8.704816633861107,3.8845674748567807
종로구,동숭동,스테이 릴리헤이븐,2,고위험군,37.57796653,127.0038134,200336.8489,453157.4617,29.20497017,38.88453385680824,-9.67956368680824,3.8845674748567807
종로구,누상동,seochon visit,2,고위험군,37.57824488,126.9653134,196936.0209,453188.9141,42.58194229,39.85298606067335,2.7289562293266485,3.8845674748567807
종로구,연건동,노마드 컴퍼니,2,고위험군,37.57377342,126.9995655,199961.6205,452692.0681,34.52245346,39.99564757512373,-5.473194115123732,3.8845674748567807
