구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_단속위험도,bw_intercept,bw_단속위험도
마포구,연남동,화이트브라운,2,고위험군,37.55609972,126.9192324,192863.4377,450733.5608,49.40263585,5.975497899778176,43.422249372201705,0.15135284365265142,46.0,165.0
마포구,성산동,Calm and cozy house,2,고위험군,37.55679066,126.916712,192640.804,450810.4413,32.4486153,-8.448360223072697,40.89821330424383,-0.021568429444812076,46.0,165.0
마포구,성산동,스테이 순,2,고위험군,37.55690407,126.9112361,192156.9686,450823.4713,39.25681616,-2.5152673466546247,42.04324386738707,0.43089217920795064,46.0,165.0
마포구,상암동,스마일 하우스,2,고위험군,37.57474511,126.8944596,190676.855,452805.1505,39.33540194,-1.363704518868552,41.102276366951465,0.47297747967554193,46.0,165.0
마포구,대흥동,낙원하우스,2,고위험군,37.54675942,126.943957,195047.4636,449695.3096,39.25542684,-2.6751876318898553,41.78241092956143,-1.3714528812803701,46.0,165.0
마포구,서교동,써니하우스,2,고위험군,37.55063756,126.9223728,193140.4134,450127.0925,27.76479498,-15.843672475227972,41.15140154173575,3.2015348503034637,46.0,165.0
마포구,창전동,라파벨라 하우스,2,고위험군,37.55036615,126.9259633,193457.6704,450096.7133,38.12576774,-0.6806741106758878,41.40043153350368,2.5850534020534552,46.0,165.0
마포구,합정동,포시즌하우스,2,고위험군,37.54859316,126.9093925,191993.1847,449901.2149,27.47385379,-14.943742172248442,42.11136580641987,1.1723636471215597,46.0,165.0
마포구,망원동,스테이 선선,2,고위험군,37.55668401,126.9040414,191521.2328,450799.6719,48.90870976,5.2862568101215,44.04771836613219,0.8333462279521869,46.0,165.0
마포구,연남동,스테이우아,2,고위험군,37.55903315,126.920769,192999.4814,451059.0212,37.16385739,-6.113541035748007,43.26611150645775,-0.20755442516662106,46.0,165.0
마포구,망원동,프라이빗 하우스,2,고위험군,37.55740113,126.9019853,191339.64,450879.4512,47.13305975,3.21927007247276,44.04339887326633,0.7634005733516679,46.0,165.0
마포구,연남동,솔로몬하우스,2,고위험군,37.56061592,126.9253273,193402.3706,451234.3603,52.1304351,4.302006642642716,47.81173314455421,-0.018238098817509,46.0,165.0
마포구,망원동,비비에이비 스테이,2,고위험군,37.55172181,126.904924,191598.6611,450248.8475,33.4526944,-9.70112784443311,42.74115355641811,1.146430779241395,46.0,165.0
마포구,창전동,스테이 뤼느,2,고위험군,37.55086366,126.928749,193703.8761,450151.7407,37.03055702,-1.802124530394913,40.57696187759388,1.6431187138553631,46.0,165.0
마포구,서교동,어반우드,2,고위험군,37.55098756,126.9136726,192371.6514,450166.6087,38.38826751,1.8469302247282045,37.92606065107853,1.3693758916537302,46.0,165.0
마포구,연남동,Maru Stay,2,고위험군,37.55845119,126.9192223,192862.7625,450994.5469,43.67430502,0.5305192218322077,43.072304811798595,-0.34683694435382073,46.0,165.0
마포구,연남동,데일리 하우스,2,고위험군,37.5588598,126.9243205,193313.2642,451039.5229,42.46851253,-3.1967125454413647,45.5650880930011,-0.1686991029271458,46.0,165.0
마포구,연남동,베인하우스,2,고위험군,37.55866919,126.9246619,193343.4067,451018.3432,41.26325584,-4.114999877605477,45.3934499612725,-0.16126094879469305,46.0,165.0
마포구,도화동,도레미 게스트하우스,2,고위험군,37.53880348,126.9502972,195607.2848,448811.9818,29.41224769,-9.765106686273171,39.14549930487458,-0.044549150350357725,46.0,165.0
마포구,연남동,위자드 하우스,2,고위험군,37.5572601,126.9177554,192733.0367,450862.4624,42.27265485,0.6610384705785322,41.59183406273378,-0.17866339976588647,46.0,165.0
마포구,노고산동,노고산스테이,2,고위험군,37.55242607,126.9398451,194684.4963,450324.4642,55.59006803,10.78593259082318,42.84843638430479,-1.8422759608197614,46.0,165.0
마포구,서교동,JH HOUSE,2,고위험군,37.55340327,126.9166802,192637.661,450434.4838,40.56534319,3.161930211139733,37.396977938321676,1.7722121617318165,46.0,165.0
마포구,동교동,이레스테이,2,고위험군,37.55462383,126.9269901,193548.7725,450569.1939,48.90812702,7.745364164867105,41.3938804033338,2.214454417421876,46.0,165.0
마포구,서교동,어반포레스트,2,고위험군,37.55118684,126.9175119,192710.9309,450188.4217,32.45505985,-5.175283325789387,37.70021128823248,1.8720656387768053,46.0,165.0
마포구,상수동,무드하우스 2호점,2,고위험군,37.54568008,126.9239713,193281.2229,449576.7564,55.84490496,8.13340802828899,41.67823734412818,2.272104512055246,46.0,165.0
마포구,노고산동,헤이스 하우스1,2,고위험군,37.55082404,126.9377856,194502.3902,450146.7765,39.53113283,-2.9269076820387383,42.58111457258528,-2.03592643701548,46.0,165.0
마포구,서교동,문하우스,2,고위험군,37.5527925,126.9276317,193605.3058,450365.8943,45.37297648,6.1802902233283135,40.549898259734675,1.9569529876892637,46.0,165.0
마포구,연남동,연트럴,2,고위험군,37.56322788,126.9206454,192988.9502,451524.5961,50.25250944,6.357555940751169,44.047515720961286,0.18369490300789176,46.0,165.0
마포구,연남동,SeeU House,2,고위험군,37.55762156,126.9216893,193080.6692,450902.2833,35.08698913,-7.031402909488882,42.60491644316409,-0.5966412002458299,46.0,165.0
마포구,서교동,cooKorean Home,2,고위험군,37.5549824,126.9134127,192349.0963,450610.0094,35.5991867,-5.266773109073284,40.299712560392024,1.158551723026611,46.0,165.0
마포구,연남동,모모하우스,2,고위험군,37.55789477,126.9244937,193328.4762,450932.4037,43.01149415,0.42615333750337214,42.85431026566572,-0.20238924654079918,46.0,165.0
마포구,연남동,huayuan house2,2,고위험군,37.55737926,126.9207388,192996.6627,450875.4613,49.79388465,6.379270964396561,43.20787497851842,-0.6310861927056555,46.0,165.0
마포구,서교동,Homi house,2,고위험군,37.55269953,126.9233619,193228.0105,450355.8747,51.75327173,5.926292619870964,41.07227473354341,3.471561719712213,46.0,165.0
마포구,노고산동,마인힐 스테이,2,고위험군,37.55214457,126.9413936,194821.3096,450293.1347,46.39488079,2.4325743529819803,42.12711306050127,-1.7287591526875705,46.0,165.0
마포구,동교동,연밤 게스트하우스,2,고위험군,37.55712309,126.9232575,193219.1835,450846.8448,31.83127004,-6.9023592640826195,38.645182667895504,-0.22653453639840143,46.0,165.0
마포구,동교동,거인,2,고위험군,37.55255355,126.9308814,193892.4392,450339.1576,28.08153853,-7.143887614986685,35.667459596154,0.7469609608547304,46.0,165.0
마포구,서교동,엔케 하우스,2,고위험군,37.5536264,126.9266455,193518.2369,450458.5148,33.99776315,-4.800733522439998,38.67250843324064,2.4343881889549,46.0,165.0
마포구,서교동,Mimi's house,2,고위험군,37.55108117,126.9173686,192698.257,450176.7048,37.45929743,-0.1409997229147848,37.687636595179164,1.7837180245765965,46.0,165.0
마포구,망원동,스테이인 망원,2,고위험군,37.55455056,126.9077188,191845.9347,450562.5589,48.74363117,3.2087794336874964,44.985085588084665,1.1437114183094486,46.0,165.0
