구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_도로폭위험도,bw_intercept,bw_도로폭위험도
중구,(광희동,트리쉐이도호텔,2,고위험군,37.56259916,127.0051718,200456.9375,451451.8682,37.68394494,-6.652348635628748,42.334395933799385,2.2200441975416205,43.0,125.0
중구,신당동,재화여관,2,고위험군,37.56191425,127.0171769,201517.6227,451375.9774,31.38874892,-6.511914044308664,40.54899509297395,2.8006558737910647,43.0,125.0
중구,신당동,S(에스)모텔,2,고위험군,37.5592684,127.0167706,201481.7731,451082.3129,35.56436047,-0.6795327917418277,40.47795493968994,3.1221571343814625,43.0,125.0
중구,을지로7가,백금여관,2,고위험군,37.56224445,127.00925,200817.2577,451412.5273,40.09465915,-3.968121927662274,42.214342891559454,2.0498622825800306,43.0,125.0
중구,남학동,진포레스트인(JIN FOREST Inn),2,고위험군,37.55791929,126.9904146,199153.0654,450932.4886,54.48620758,13.767309374135095,40.81980192469034,0.3059279698205584,43.0,125.0
중구,신당동,은성여관,2,고위험군,37.56201847,127.01763,201557.6539,451387.552,44.83448931,1.8011902855598336,40.38779393436945,2.93378547537094,43.0,125.0
중구,초동,호텔베네,2,고위험군,37.56229779,126.9916416,199261.5166,451418.44,36.83462921,-1.27647253303752,38.8198240975081,2.1487611516551244,43.0,125.0
중구,(광희동,호텔 아라,2,고위험군,37.56264071,127.0047345,200418.3012,451456.4778,37.89811068,-5.0548013044515585,42.31133944863522,2.243616033010115,43.0,125.0
중구,북창동,피넛호텔,2,고위험군,37.55942482,126.9770407,197971.4237,451099.7892,40.49299842,0.47145366240427933,40.302970383050024,-0.9841615875370464,43.0,125.0
중구,신당동,청구 리빙텔,2,고위험군,37.55972529,127.0140647,201242.6817,451132.983,36.44685439,-3.664892384868857,40.935424348863165,2.4972915858010687,43.0,125.0
중구,신당동,야코리아 게스트하우스,2,고위험군,37.55703059,127.0123014,201086.9289,450833.8814,44.50329156,2.0498255351629595,41.70319419743977,2.623743703309322,43.0,125.0
중구,산림동,화성여관,2,고위험군,37.56537071,126.9960702,199652.8115,451759.4724,34.62094554,-7.159862637799691,38.75371395792575,3.3569563287470756,43.0,125.0
중구,신당동,성도여관,2,고위험군,37.56123239,127.0132212,201168.1343,451300.2425,55.29117997,11.794432406143315,41.43730249773765,2.283862558035318,43.0,125.0
중구,황학동,대림,2,고위험군,37.5634477,127.0221786,201959.4955,451546.2648,40.59147195,-2.7517716371223173,40.74410558632415,2.8823657697148697,43.0,125.0
중구,남창동,황금장여관,2,고위험군,37.55485434,126.9769752,197965.5104,450592.5216,58.11570833,14.781365736217495,41.905476680215855,-0.6562927985247462,43.0,125.0
중구,산림동,상원장,2,고위험군,37.56530472,126.9962994,199673.0571,451752.1475,44.70278919,2.8442604532685962,38.833605115885476,3.3545491997926993,43.0,125.0
중구,산림동,H2O,2,고위험군,37.56416937,126.9942189,199489.2406,451626.1462,27.36606951,-4.032852633818873,38.81655547295015,3.4069952189246777,43.0,125.0
중구,황학동,중앙여관,2,고위험군,37.56691122,127.0177256,201565.9953,451930.5914,39.75988958,0.17896583914312458,39.94987749060907,1.1186235049933213,43.0,125.0
중구,북창동,호텔 문(hotel moon),2,고위험군,37.55959687,126.9775768,198018.7937,451118.8733,35.50166098,-4.37554602501762,40.159821533777645,-0.9883192507310202,43.0,125.0
중구,남창동,노마드호스텔,2,고위험군,37.55419408,126.9758113,197862.6529,450519.2665,31.90686691,-9.798360609783249,41.612061134308945,-0.28246930336612885,43.0,125.0
중구,중림동,다림여인숙,2,고위험군,37.55551958,126.9675696,197134.4538,450666.6005,44.35497193,3.730300498038922,42.863225009891984,1.2671138318387427,43.0,125.0
중구,명동,57 명동 호스텔,2,고위험군,37.55824724,126.9826565,198467.5818,450968.9854,37.44411815,-4.0854198272054845,41.23599359066739,-0.8899913627681041,43.0,125.0
중구,신당동,쉐어하우스 다함,2,고위험군,37.55482988,127.0106132,200937.7867,450589.6106,34.56352014,-1.165410110520753,42.39375837958202,2.7042856797320773,43.0,125.0
중구,신당동,그리네 스테이,2,고위험군,37.56247269,127.0181304,201601.8512,451437.9735,50.58848177,11.312196375078912,40.24439181292195,2.935182513358395,43.0,125.0
중구,황학동,창덕여인숙,2,고위험군,37.56373275,127.0179396,201584.967,451577.8221,50.63477071,8.280348637599417,40.16259407513619,2.430671241956955,43.0,125.0
중구,(만리동,천안 여인숙,2,고위험군,37.55375612,126.9669521,197079.8183,450470.8965,40.94413181,-3.0277870925596346,42.54544162660874,1.5819203405953606,43.0,125.0
중구,(장충동,장충인(J C INN),2,고위험군,37.55828977,127.0044674,200394.7263,450973.5737,41.81657639,0.5558158098869157,43.63359194589891,2.5093091724310765,43.0,125.0
중구,을지로7가,박포루,2,고위험군,37.56219798,127.009432,200833.3321,451407.3712,45.70415764,1.650406490356552,42.2015331424161,2.0540539903776223,43.0,125.0
중구,(광희동,왕도여관,2,고위험군,37.56253871,127.0053044,200468.6489,451445.1597,38.48646871,-4.4961085204913545,42.34887104863003,2.2161069410999437,43.0,125.0
용산구,서계동,금강,2,고위험군,37.55085442,126.9662031,197013.5185,450148.8661,37.57168604,-4.997847288210352,40.819523277092244,1.9407084450501713,43.0,125.0
용산구,(청파동,한글게스트하우스,2,고위험군,37.54166996,126.9694399,197299.2119,449129.4041,42.59103974,-8.152894257324057,50.115744407017935,2.196815103357764,43.0,125.0
용산구,서계동,계림모텔,2,고위험군,37.55143152,126.9661315,197007.2137,450212.9195,43.53947443,1.1518902346223427,40.707912544118415,1.8627052778511035,43.0,125.0
용산구,(청파동,신진장,2,고위험군,37.54626035,126.9696446,197317.4662,449638.8759,64.26579662,17.208383203071186,45.58391051339584,1.6340703454047754,43.0,125.0
용산구,후암동,스위트75서울역점,2,고위험군,37.54972353,126.9757675,197858.6521,450023.09,57.05694425,13.489533426787695,42.11240665247655,1.6135558078229155,43.0,125.0
용산구,이태원동,뷰 모텔,2,고위험군,37.531191,126.9958013,199628.8782,447965.9376,42.05678898,-1.589969906998796,41.57352411549155,2.2991549260331787,43.0,125.0
용산구,동자동,광주여인숙,2,고위험군,37.55051278,126.9741946,197719.6876,450110.7243,44.56725223,0.37827039823366704,42.24515931156559,2.1556406365906597,43.0,125.0
용산구,남영동,로망스모텔,2,고위험군,37.54136675,126.9725538,197574.3988,449095.6666,42.11372007,-4.001943052010098,51.36742589369185,1.727966341849794,43.0,125.0
용산구,동자동,서울네스트,2,고위험군,37.55022009,126.9753306,197820.0591,450078.2122,43.23672609,-0.4652406781246299,42.17745356464875,1.6906392318637296,43.0,125.0
용산구,(용산동,스테이코,2,고위험군,37.5314273,126.9740431,197705.711,447992.4723,38.87550836,-0.7334890342569054,41.74600982753723,2.2599266756799996,43.0,125.0
용산구,원효로2가,크래쉬인 용산,2,고위험군,37.5333324,126.9607882,196534.2236,448204.3208,47.846509,10.787122583009591,41.96281144138479,1.8088104901942348,43.0,125.0
용산구,남영동,지용산인,2,고위험군,37.53912265,126.9726027,197578.6496,448846.5976,44.46064439,0.19222591605814898,50.260187462666465,1.9714476054561063,43.0,125.0
용산구,이태원동,현대,2,고위험군,37.52919726,126.9961934,199663.5282,447744.6557,43.4161129,0.9305266836164137,41.823412614441786,2.315659145325355,43.0,125.0
용산구,(청파동,동산장,2,고위험군,37.54393815,126.9688855,197250.2985,449381.1617,48.02565565,-2.515655862537052,49.879777351499,2.31342298373219,43.0,125.0
용산구,남영동,코지 모텔,2,고위험군,37.54191116,126.9726015,197578.6329,449156.0883,46.81847571,-0.5336354031357757,51.54625347085513,1.7017931891269507,43.0,125.0
용산구,이태원동,KAZI FAMILY HOTEL(카지패밀리호텔),2,고위험군,37.52867881,126.9957038,199620.2475,447687.116,46.66331313,4.157520579929624,41.84420086906994,2.3136241343467177,43.0,125.0
용산구,이태원동,이태원모텔,2,고위험군,37.53110489,126.9936781,199441.2134,447956.3909,55.66755603,17.035103935069102,41.71655544340721,2.2741887116962016,43.0,125.0
용산구,갈월동,더메종컴퍼니,2,고위험군,37.54016648,126.9714266,197474.7366,448962.4809,49.46843396,4.513606145769252,50.366226410289386,1.9961954141191653,43.0,125.0
용산구,동자동,경기,2,고위험군,37.55029277,126.9734347,197652.5306,450086.3245,40.78256731,0.39366947605312674,42.61448817911485,2.353599310819357,43.0,125.0
용산구,후암동,서광,2,고위험군,37.55193238,126.9765224,197925.4214,450268.2289,32.70554029,-7.564779770510484,41.32467534768281,0.4842762189843622,43.0,125.0
용산구,동자동,나나장,2,고위험군,37.55044744,126.9745591,197751.895,450103.4635,43.06447744,-0.9484771865824655,42.225767447491464,1.9819367603810476,43.0,125.0
용산구,동자동,서정여인숙,2,고위험군,37.55041744,126.9737056,197676.4711,450100.1546,40.17836539,-0.08426613059885568,42.47794689184555,2.342733352673766,43.0,125.0
용산구,동자동,성남여인숙,2,고위험군,37.55028632,126.9737328,197678.8732,450085.6012,39.20245565,-1.1690005356986575,42.54535680226137,2.2989365513919853,43.0,125.0
용산구,동자동,광신여인숙,2,고위험군,37.55032361,126.9738668,197690.7154,450089.7367,39.5687293,-4.928749420912574,42.45578187617571,2.264180315011059,43.0,125.0
용산구,동자동,미경여인숙,2,고위험군,37.55026667,126.9738536,197689.5428,450083.4173,33.17587756,-7.151201694936461,42.48460643168915,2.281621362756178,43.0,125.0
용산구,동자동,송림여인숙,2,고위험군,37.5502854,126.973681,197674.2932,450085.5004,58.94523885,14.310940977238921,42.546562721831975,2.315235410132371,43.0,125.0
성동구,송정동,건대스테이,2,고위험군,37.54594785,127.0631179,205577.8078,449605.6313,40.70060303,0.21676443281491942,43.80689708873017,3.5141903776198338,43.0,125.0
용산구,서계동,MK 리버티하우스,2,고위험군,37.55183526,126.9678297,197157.2945,450257.6771,40.6847221,-1.4602193944376651,40.5552295491674,1.7629426730503506,43.0,125.0
용산구,동자동,덕성,2,고위험군,37.55051627,126.9743702,197735.2012,450111.1074,44.43159593,0.3452830096447528,42.20995442510478,2.0808250646032715,43.0,125.0
용산구,동자동,명신,2,고위험군,37.55014919,126.9737769,197682.7624,450070.3803,52.60761495,7.965271874568401,42.56381882898655,2.305020794446398,43.0,125.0
용산구,동자동,24게스트 하우스 모텔 서울역,2,고위험군,37.54890816,126.9733025,197640.8014,449932.6527,37.36896655,-7.385824102605326,42.94630383336809,2.0055574198634996,43.0,125.0
용산구,보광동,삼성장,2,고위험군,37.52394807,127.0015803,200139.6906,447162.0554,45.58448818,4.91195330299545,41.45230807919969,2.3641787978174618,43.0,125.0
용산구,(용산동,수정여관,2,고위험군,37.53137311,126.973614,197667.7801,447986.4684,35.80130093,-3.9152309670420493,41.82901295459088,2.23398433227415,43.0,125.0
성동구,성동,복래여관,2,고위험군,37.54590134,127.0231574,202046.4475,449598.8491,62.00238696,15.722121048281096,42.32335468400471,4.388095388956429,43.0,125.0
성동구,마장동,제이하우스,2,고위험군,37.56687292,127.0360577,203185.5726,451926.804,49.09968426,5.475725619843793,43.20793558353557,1.454856540497441,43.0,125.0
성동구,행당동,모텔로,2,고위험군,37.55763832,127.0324228,202864.7962,450901.7552,35.42208879,-1.25202387995801,41.25287192627696,2.591766953241311,43.0,125.0
성동구,성동,천일장여관,2,고위험군,37.53247613,127.0555995,204914.2771,448110.0155,45.84143812,-0.6800433684267375,42.74383074293745,4.1893009126073535,43.0,125.0
성동구,성동,크리스호스텔,2,고위험군,37.55120472,127.0190163,201680.3776,450187.3783,35.77931754,-4.31178081660709,41.309422361214395,3.6938122167525718,43.0,125.0
