구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_구조노후도,bw_intercept,bw_구조노후도
종로구,효제동,스타호스텔 동대문 스위트,2,고위험군,37.56891882,127.0021479,200189.7543,452153.266,27.00323146,-8.687963344628567,37.289221949806034,4.240947502152113,43.0,435.0
종로구,명륜4가,호텔 달스테어(Hotel DALSTAIR),2,고위험군,37.58004227,126.9969759,199732.8774,453387.8425,58.33196648,7.854644631047634,39.39528829286289,4.117942901350527,43.0,435.0
종로구,관철동,한평,2,고위험군,37.56696198,126.9842319,198606.9413,451936.1943,34.17025885,-0.409768547396375,36.08467038311208,3.9931185969892073,43.0,435.0
종로구,창신동,현대,2,고위험군,37.56819149,127.0107164,200946.7409,452072.5927,35.54286008,-1.7351456922939406,38.08823096286878,4.256323778401189,43.0,435.0
종로구,종로6가,저스트포유(JUST4U),2,고위험군,37.56882658,127.0066505,200587.535,452143.0471,48.90870587,-2.698972639430515,37.65655013865798,4.252252462632027,43.0,435.0
종로구,창신동,동해,2,고위험군,37.56823753,127.0108347,200957.188,452077.7038,46.8412654,-4.940035873874862,38.08748606349579,4.256284425920441,43.0,435.0
종로구,창신동,NOOK INN 누크인,2,고위험군,37.56817138,127.010478,200925.6806,452070.3583,33.12462701,-3.9759244325451277,38.070162406463794,4.256610840020931,43.0,435.0
종로구,숭인동,만남모텔,2,고위험군,37.57340694,127.0214372,201893.7385,452651.609,35.8959241,0.298701853607227,36.555690248705446,4.207693023569765,43.0,435.0
종로구,숭인동,스테이 42 동묘,2,고위험군,37.57221599,127.0184885,201633.279,452519.372,56.48822658,6.745918684715846,37.04072308651088,4.220246901326409,43.0,435.0
종로구,창신동,디디엠 스테이,2,고위험군,37.56858682,127.0114738,201013.6489,452116.4776,34.56898523,-3.017227507175093,38.185621673923414,4.2535342176361395,43.0,435.0
종로구,창신동,대진,2,고위험군,37.56943843,127.0101945,200900.6186,452210.9833,43.95079617,5.870543773628668,38.252958386755296,4.250474589200372,43.0,435.0
종로구,관수동,풀리 미니호텔,2,고위험군,37.56718956,126.9905287,199163.2427,451961.3783,41.5548098,5.991462378866949,36.18829808828439,4.086607376370895,43.0,435.0
종로구,관수동,브레드 힐 호텔(Bread Hill Hotel),2,고위험군,37.56708795,126.9905269,199163.0834,451950.1008,35.63344025,0.1386194206311302,36.17183649868873,4.087293953787722,43.0,435.0
종로구,숭인동,메종호텔,2,고위험군,37.57469579,127.0218552,201930.6264,452794.665,41.66958079,-7.04988917235849,36.470475068221035,4.203017040716683,43.0,435.0
종로구,숭인동,가야,2,고위험군,37.57401858,127.0216359,201911.2775,452719.498,58.72604468,10.103588693820654,36.49995235621989,4.205475485427633,43.0,435.0
종로구,숭인동,메트로 21(Metro 21),2,고위험군,37.57022964,127.0193705,201711.2396,452298.926,36.32694724,-0.6754476447242439,37.38579456231625,4.223571011538538,43.0,435.0
종로구,효제동,어바웃스테이 동대문,2,고위험군,37.56951008,127.0033108,200292.4909,452218.892,35.15587756,-1.8049813303967568,37.66351392552384,4.242084499401084,43.0,435.0
종로구,효제동,구월호텔,2,고위험군,37.56884387,127.0025535,200225.5843,452144.9483,32.29166394,-4.117672391973876,37.11220633900122,4.243382332506012,43.0,435.0
종로구,종로6가,디하이브,2,고위험군,37.56884393,127.0068372,200604.0252,452144.9739,32.48426828,-4.72639485062119,37.64772618083954,4.252309833527148,43.0,435.0
종로구,숭인동,호스텔 서울,2,고위험군,37.57569436,127.0215682,201905.2535,452905.4889,33.95162918,-1.8151441205020973,36.46264435706932,4.201128114184559,43.0,435.0
종로구,창신동,창신기지,2,고위험군,37.56848774,127.0114066,201007.7117,452105.4801,58.70687078,6.357070389095625,38.18801099274012,4.254188683483208,43.0,435.0
종로구,창신동,이지스테이,2,고위험군,37.56959298,127.0093634,200827.1964,452228.1289,44.6088199,-7.678751595508189,38.274620690292224,4.250053434798955,43.0,435.0
